scene_min_x,scene_min_z,scene_max_x,scene_max_z,render,collision,water
192,-280,196,-276,1,1,0
196,-280,200,-276,1,1,0
200,-280,204,-276,1,1,0
204,-280,208,-276,1,1,0
208,-280,212,-276,1,1,0
192,-276,196,-272,1,1,0
196,-276,200,-272,1,1,0
200,-276,204,-272,1,1,0
204,-276,208,-272,1,1,0
208,-276,212,-272,1,1,0
192,-272,196,-268,1,1,0
196,-272,200,-268,1,1,0
200,-272,204,-268,1,1,0
204,-272,208,-268,1,1,0
208,-272,212,-268,1,1,0
192,-268,196,-264,1,1,0
196,-268,200,-264,1,1,0
200,-268,204,-264,1,1,0
204,-268,208,-264,1,1,0
208,-268,212,-264,1,1,0
192,-264,196,-260,1,1,0
196,-264,200,-260,1,1,0
200,-264,204,-260,1,1,0
204,-264,208,-260,1,1,0
208,-264,212,-260,1,1,0
192,-260,196,-256,1,1,0
196,-260,200,-256,1,1,0
200,-260,204,-256,1,1,0
204,-260,208,-256,1,1,0
208,-260,212,-256,1,1,0
192,-256,196,-252,1,1,0
196,-256,200,-252,1,1,0
200,-256,204,-252,1,1,0
204,-256,208,-252,1,1,0
208,-256,212,-252,1,1,0
192,-252,196,-248,1,1,0
196,-252,200,-248,1,1,0
200,-252,204,-248,1,1,0
204,-252,208,-248,1,1,0
208,-252,212,-248,1,1,0
192,-248,196,-244,1,1,0
196,-248,200,-244,1,1,0
200,-248,204,-244,1,1,0
204,-248,208,-244,1,1,0
208,-248,212,-244,1,1,0
192,-244,196,-240,1,1,0
196,-244,200,-240,1,1,0
200,-244,204,-240,1,1,0
204,-244,208,-240,1,1,0
208,-244,212,-240,1,1,0
192,-240,196,-236,1,1,0
196,-240,200,-236,1,1,0
200,-240,204,-236,1,1,0
204,-240,208,-236,1,1,0
208,-240,212,-236,1,1,0
192,-236,196,-232,1,1,0
196,-236,200,-232,1,1,0
200,-236,204,-232,1,1,0
204,-236,208,-232,1,1,0
208,-236,212,-232,1,1,0
192,-232,196,-228,1,1,0
196,-232,200,-228,1,1,0
200,-232,204,-228,1,1,0
204,-232,208,-228,1,1,0
208,-232,212,-228,1,1,0
-72,-228,-68,-224,1,1,0
-68,-228,-64,-224,1,1,0
-64,-228,-60,-224,1,1,0
-60,-228,-56,-224,1,1,0
-56,-228,-52,-224,1,1,0
188,-228,192,-224,1,1,0
192,-228,196,-224,1,1,0
196,-228,200,-224,1,1,0
200,-228,204,-224,1,1,0
204,-228,208,-224,1,1,0
208,-228,212,-224,1,1,0
212,-228,216,-224,1,1,0
