chunk_offset,chunk_size,object_name,super_index,sub_index,material,sub_flag,vert_stride,vert_count,index_count,blend_flags,flags2,alpha_min,alpha_max,alpha_unique,color_samples,uv_bounds,bounds
9895584,150464,_con_fu013_h    ,0,0,model   con_f01c,2266,36,3659,6855,0,0,255,255,1,"[(33, 33, 33, 255), (61, 61, 61, 255), (70, 70, 70, 255), (77, 77, 77, 255), (79, 79, 79, 255), (84, 84, 84, 255), (89, 89, 89, 255), (91, 91, 91, 255)]","(0.00390625, 0.00390625, 0.99609375, 1.25)","(-5.773439884185791, -15.429800033569336, -5.773439884185791, 5.773439884185791, -0.0, 5.773439884185791)"
9895584,150464,_con_fu013_h    ,0,1,model   con_f01c,2266,36,124,199,8192,0,255,255,1,"[(102, 102, 102, 255), (114, 114, 114, 255), (128, 128, 128, 255)]","(0.00390625, 0.12890625, 0.99609375, 1.0)","(0.6320840120315552, -11.953499794006348, -4.003640174865723, 5.662010192871094, -1.2456799745559692, 2.157550096511841)"
10046048,135952,_con_fu013_m    ,0,0,model   con_f01c,2034,36,3423,6293,0,0,255,255,1,"[(33, 33, 33, 255), (70, 70, 70, 255), (77, 77, 77, 255), (79, 79, 79, 255), (89, 89, 89, 255), (98, 98, 98, 255), (99, 99, 99, 255), (102, 102, 102, 255)]","(0.00390625, 0.00390625, 0.99609375, 1.25)","(-5.773439884185791, -15.429800033569336, -5.773439884185791, 5.773439884185791, -0.0, 5.773439884185791)"
10182000,1184,_con_hana_01_h  ,0,0,model   con_f01c,0,48,20,42,8192,0,255,255,1,"[(128, 128, 128, 255)]","(0.50390625, 0.50390625, 0.80859375, 0.99609375)","(-0.09988799691200256, -0.2581019997596741, -0.09988799691200256, 0.09988799691200256, -0.0, 0.11098500341176987)"
10183184,288,_con_hana_01_m  ,0,0,model   con_f01c,2,36,4,4,8192,0,255,255,1,"[(128, 128, 128, 255)]","(0.50390625, 0.50390625, 0.62109375, 0.62109375)","(-0.08092399686574936, -0.2581019997596741, -0.05046899989247322, 0.08092399686574936, -0.24681399762630463, 0.11098500341176987)"
10183472,1184,_con_hana_02_h  ,0,0,model   con_f01c,0,48,20,42,8192,0,255,255,1,"[(128, 128, 128, 255)]","(0.50390625, 0.75390625, 0.80859375, 0.99609375)","(-0.09988799691200256, -0.2581019997596741, -0.09988799691200256, 0.09988799691200256, -0.0, 0.11098500341176987)"
10184656,288,_con_hana_02_m  ,0,0,model   con_f01c,2,36,4,4,8192,0,255,255,1,"[(128, 128, 128, 255)]","(0.50390625, 0.75390625, 0.62109375, 0.87109375)","(-0.08092399686574936, -0.2581019997596741, -0.05046899989247322, 0.08092399686574936, -0.24681399762630463, 0.11098500341176987)"
10184944,1184,_con_hana_03_h  ,0,0,model   con_f01c,0,48,20,42,8192,0,255,255,1,"[(128, 128, 128, 255)]","(0.50390625, 0.62890625, 0.80859375, 0.99609375)","(-0.09988799691200256, -0.2581019997596741, -0.09988799691200256, 0.09988799691200256, -0.0, 0.11098500341176987)"
10186128,288,_con_hana_03_m  ,0,0,model   con_f01c,2,36,4,4,8192,0,255,255,1,"[(128, 128, 128, 255)]","(0.62890625, 0.62890625, 0.7265625, 0.74609375)","(-0.08092399686574936, -0.2581019997596741, -0.05046899989247322, 0.08092399686574936, -0.24681399762630463, 0.11098500341176987)"
10186416,1184,_con_hana_04_h  ,0,0,model   con_f01c,0,48,20,42,8192,0,255,255,1,"[(128, 128, 128, 255)]","(0.50390625, 0.5078125, 0.80859375, 0.99609375)","(-0.09988799691200256, -0.2581019997596741, -0.09988799691200256, 0.09988799691200256, -0.0, 0.11098500341176987)"
10187600,288,_con_hana_04_m  ,0,0,model   con_f01c,2,36,4,4,8192,0,255,255,1,"[(128, 128, 128, 255)]","(0.62890625, 0.5078125, 0.7265625, 0.62109375)","(-0.08092399686574936, -0.2581019997596741, -0.05046899989247322, 0.08092399686574936, -0.24681399762630463, 0.11098500341176987)"
10187888,1184,_con_hana_05_h  ,0,0,model   con_f01c,0,48,20,42,8192,0,255,255,1,"[(128, 128, 128, 255)]","(0.40625, 0.5703125, 0.80859375, 0.99609375)","(-0.09988799691200256, -0.2581019997596741, -0.09988799691200256, 0.09988799691200256, -0.0, 0.11098500341176987)"
10189072,288,_con_hana_05_m  ,0,0,model   con_f01c,2,36,4,4,8192,0,255,255,1,"[(128, 128, 128, 255)]","(0.40625, 0.5703125, 0.49609375, 0.68359375)","(-0.08092399686574936, -0.2581019997596741, -0.05046899989247322, 0.08092399686574936, -0.24681399762630463, 0.11098500341176987)"
10189360,1184,_con_hana_06_h  ,0,0,model   con_f01c,0,48,20,42,8192,0,255,255,1,"[(128, 128, 128, 255), (172, 51, 22, 255)]","(0.40625, 0.5703125, 0.80859375, 0.99609375)","(-0.09988799691200256, -0.2581019997596741, -0.09988799691200256, 0.09988799691200256, -0.0, 0.11098500341176987)"
