"Index","Name","Category","X","Y","Z","RotX","RotY","RotZ","ScaleX","ScaleY","ScaleZ","VecX","VecY","VecZ","VecW","Flag0","Flag1"
"0","pl_mob_coo1_m","Terrain / Roads / Cliffs / Rocks","100","-72","-860","0","4.712395","0","-1","-3.999939","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"1","pl_mob_st1_m","No Matching Geometry Chunk","-0.0703","0.0586","0.0061","NaN","-0.910951","NaN","-4","-4","1.007812","0","10","100","1000","0","4278190080"
"2","????????????????","No Matching Geometry Chunk","-0.0703","0.0586","-783.9999","0","4.712395","0","1","1","1","0","10","100","1000","4294967040","4294967295"
"3","????????oi1_m","No Matching Geometry Chunk","140","-72","-780","0","0","0","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"4","pl_mob_st1_m","No Matching Geometry Chunk","300","-72","0.0028","NaN","-1.429202","NaN","-4","-4","-4","NaN","-0.4375","100.001945","1000","0","0"
"5","p???????????????","No Matching Geometry Chunk","-0.0298","0.0586","0.0064","NaN","-2.858403","NaN","1","1","1","0","10","100","1000","0","4294967295"
"6","????????????????","No Matching Geometry Chunk","140","-72","-660","0","1.570798","0","1","1","1","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"7","pl_mob_coi1_m","Terrain / Roads / Cliffs / Rocks","300","-72","-780","0","-0.910964","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","1071.999878","0","0"
"8","pl_m????????????","No Matching Geometry Chunk","-0.0155","0.0586","0.0052","NaN","NaN","NaN","1","1","1","0","10","100","1000","0","4294967295"
"9","????????????????","No Matching Geometry Chunk","100.0019","-72","-780","0","1.570798","0","1","1","1","0","10","-0.044922","-0.004089","4294967295","4294967295"
"10","pl_mob_coo1_m","Terrain / Roads / Cliffs / Rocks","100","-72","-820","0","4.712395","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"11","pl_mob_coi1_m","Terrain / Roads / Cliffs / Rocks","-0.0698","0.0586","0.0055","NaN","-1.429202","NaN","-4","-4","-4","NaN","10.000243","100","1000","0","0"
"12","????????????????","No Matching Geometry Chunk","-0.0703","0.0586","0.0064","NaN","4.712287","0","1","1","1","0","10","100","1000","4278190080","4294967295"
"13","??????????1_m","No Matching Geometry Chunk","100","-72","-740","0","3.141597","0","1","1","-3.984375","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"14","pl_mob_coi1_m","Terrain / Roads / Cliffs / Rocks","140","-72","-740","NaN","-2.858403","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","0","0"
"15","pl_?????????????","No Matching Geometry Chunk","-0.0449","0.0586","0.0064","NaN","NaN","NaN","1.007812","1","1","0","10","100","1000","0","4294967040"
"16","????????????????","No Matching Geometry Chunk","-0.0703","0.0586","-860","0","4.712395","0","1","1","1","0","10","-0.044921","-0.004089","4294967295","4294967295"
"17","???mob_coo1_m","No Matching Geometry Chunk","220","-72","-860","0","1.570798","0","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"18","pl_mob_coi1_m","Terrain / Roads / Cliffs / Rocks","260","0.0586","0.0058","NaN","-2.858403","NaN","-4","-4","-4","NaN","10.062499","100","1000","0","0"
"19","????????????????","No Matching Geometry Chunk","-0.02","0.0586","0.0058","NaN","5.716806","0","1","1","1","0","10","100","1000","0","4294967295"
"20","????????????????","No Matching Geometry Chunk","260.0078","-72","-820","0","4.712395","0","1","1","1","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"21","pl_mob_coi1_m","Terrain / Roads / Cliffs / Rocks","180","-72","-780","0","3.141597","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"22","pl_mob_st1??????","No Matching Geometry Chunk","-0.0249","0.0586","0.0061","NaN","-0.910951","NaN","-4","-4","1.00003","0","10","100","1000","0","0"
"23","????????????????","No Matching Geometry Chunk","-0.0298","0.0586","0.0055","NaN","-2.858403","0","1","1","1","0","10","100","1000","0","4294967295"
"24","???????????????","No Matching Geometry Chunk","180","-72","-700","0","4.712395","0","-1","1","1","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"25","pl_mob_st1_m","No Matching Geometry Chunk","180","-72","-820","NaN","NaN","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","0","0"
"26","pl_mob_c????????","No Matching Geometry Chunk","-0.02","0.0586","0.0055","NaN","NaN","NaN","-4","-4","1.007812","0","10","100","1000","0","0"
"27","????????????????","No Matching Geometry Chunk","-0.0155","0.0586","0.0061","NaN","3.155278","0","1","1","1","0","10","100","1000","4294967040","4294967295"
"28","????????t1_m","No Matching Geometry Chunk","180","-72","-660","0","4.712395","0","1","1","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"29","pl_flb_1_m","Terrain / Roads / Cliffs / Rocks","180","-72","0.0033","NaN","-1.429202","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","255","0"
"30","pl_roa_br???????","No Matching Geometry Chunk","-0.2187","-0.125","-0.0143","NaN","NaN","NaN","-4","-4","1","0","10","100","1000","0","4294901760"
"31","????????????????","No Matching Geometry Chunk","-0.0249","-0.1875","340","0","3.141597","0","1","1","1","0","10","-0.044678","-0.004089","4294967295","4294967295"
"32","?l_roa_ed1_m","No Matching Geometry Chunk","-300","-40","-300","0","3.141597","0","-3.999939","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"33","pl_mobsla_st1_m","Terrain / Roads / Cliffs / Rocks","-140","NaN","-0.2187","NaN","-0.910951","NaN","4","-4","4","NaN","27.999998","100","1000","0","0"
"34","pl??????????????","No Matching Geometry Chunk","-0.2187","-0.125","-0.0118","NaN","NaN","NaN","1.00003","1","1","0","10","100","1000","0","4294967295"
"35","???????????????","No Matching Geometry Chunk","180","24","380","0","0","0","1","1","1","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"36","pl_roasla_st1_m","Terrain / Roads / Cliffs / Rocks","140","32","380","0","-2.844722","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"37","pl_roa_co1_?????","No Matching Geometry Chunk","-0.0143","-0.1875","-0.0131","NaN","-2.858403","NaN","-4","-4","1.00003","0","10","100","1000","0","4278190080"
"38","????????????????","No Matching Geometry Chunk","-0.0155","-0.1875","100.5","0","4.712395","0","1","1","1","0","10","100","-0.004059","4294967295","4294967295"
"39","????????t1_m","No Matching Geometry Chunk","380","16","60","0","3.141597","0","1","-3.999939","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"40","pl_roa_st1_m","Terrain / Roads / Cliffs / Rocks","300","24","-0.0977","NaN","-0.910951","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","1003.999939","0","0"
"41","p???????????????","No Matching Geometry Chunk","-0.0118","-0.25","-0.0449","NaN","-2.858403","NaN","1","1","1","0","10","100","1000","0","4294967295"
"42","???????????o1_m","No Matching Geometry Chunk","-220","24","180","0","0","0","1","1","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
