chunk_offset,name,type,width,height,bits_per_pal_color,codec,codec_norm,alpha_min,alpha_max,alpha_unique,alpha_zero,alpha_low_1_127,alpha_mid_128_254,alpha_opaque,dxt1_transparent_codes,alpha_note
24064,smoke   bsmk    ,0xA1,128,256,32,3TXD,DXT3,0,68,5,19634,13134,0,0,0,
58592,sea     sea01   ,0xA1,128,256,32,3TXD,DXT3,17,102,6,0,32768,0,0,0,
91456,sea     sea02   ,0xA1,128,256,32,3TXD,DXT3,17,85,5,0,32768,0,0,0,
443376,light   lt      ,0xB1,128,128,32,,,,,,,,,,,
462352,bird    kamome01,0xA1,64,64,32,3TXD,DXT3,0,136,9,1043,1620,1433,0,0,
2306944,model   kin_w02c,0xA1,128,128,32,3TXD,DXT3,0,136,3,4198,6043,6143,0,0,
2323424,model   kin_w03c,0xA1,128,256,32,3TXD,DXT3,0,136,4,8365,12169,12234,0,0,
2356288,model   kin_w04c,0xA1,128,128,32,3TXD,DXT3,0,136,3,10290,2999,3095,0,0,
2372768,model   sel_f1  ,0xA1,128,256,32,3TXD,DXT3,0,136,9,30951,1546,271,0,0,
2405632,model   sel_f2  ,0xA1,128,256,32,3TXD,DXT3,0,136,9,30954,1528,286,0,0,
2438496,model   sel_f3  ,0xA1,128,256,32,3TXD,DXT3,119,136,2,0,16384,16384,0,0,
2471360,model   sel_fg1 ,0xA1,512,256,32,3TXD,DXT3,0,136,9,87366,30203,13503,0,0,
2602528,model   sel_hus1,0xA1,512,256,32,3TXD,DXT3,0,136,9,128436,2348,288,0,0,
2733696,model   sel_kai ,0xA1,256,256,32,3TXD,DXT3,0,136,9,55845,7727,1964,0,0,
2799328,model   sel_kai1,0xA1,128,256,32,3TXD,DXT3,119,136,2,0,16384,16384,0,0,
2832192,model   sel_kmn1,0xA1,128,256,32,3TXD,DXT3,119,136,2,0,16384,16384,0,0,
2865056,model   sel_kmn2,0xA1,512,256,32,3TXD,DXT3,0,136,3,116542,7187,7343,0,0,
2996224,model   sel_kmn3,0xA1,256,256,32,3TXD,DXT3,0,136,3,9409,28544,27583,0,0,
3061856,model   sel_kmn4,0xA1,128,128,32,3TXD,DXT3,0,136,3,14192,1092,1100,0,0,
3078336,model   sel_koy1,0xA1,256,256,32,3TXD,DXT3,119,136,2,0,32768,32768,0,0,
3143968,model   sel_wl1 ,0xA1,512,256,32,3TXD,DXT3,0,136,9,101405,21396,8271,0,0,
3275136,model   sel_wl2 ,0xA1,512,256,32,3TXD,DXT3,0,136,6,97819,23422,9831,0,0,
6294752,suny    suny_a01,0xB1,256,256,32,,,,,,,,,,,
6391472,lf01    lf01    ,0xB1,128,256,32,,,,,,,,,,,
6429744,moon    moonshap,0xA1,256,256,32,3TXD,DXT3,0,136,9,44785,13488,7263,0,0,
6495376,moon    kasa    ,0xA1,128,128,32,3TXD,DXT3,119,136,2,0,8192,8192,0,0,
6517392,star    star01  ,0xA1,64,64,32,3TXD,DXT3,51,68,2,0,4096,0,0,0,
6521584,star    star02  ,0xA1,128,128,32,3TXD,DXT3,255,255,1,0,0,0,16384,0,
6585744,clod    clod_a01,0xA1,256,256,32,3TXD,DXT3,102,136,3,0,59476,6060,0,0,
6681264,lf03    lf03    ,0xB1,128,256,32,,,,,,,,,,,
6722144,dryw    fine_a01,0xA1,256,128,32,3TXD,DXT3,0,136,9,4745,27573,450,0,0,
6766528,lf02    lf02    ,0xB1,128,256,32,,,,,,,,,,,
6804960,moon    moonshap,0xA1,256,256,32,3TXD,DXT3,0,136,9,44785,13488,7263,0,0,
6870592,moon    kasa    ,0xA1,128,128,32,3TXD,DXT3,119,136,2,0,8192,8192,0,0,
6892608,star    star01  ,0xA1,64,64,32,3TXD,DXT3,51,68,2,0,4096,0,0,0,
6896800,star    star02  ,0xA1,128,128,32,3TXD,DXT3,255,255,1,0,0,0,16384,0,
6961488,dust    suny_c01,0xA1,256,256,32,3TXD,DXT3,0,136,9,624,64198,714,0,0,
7027120,dust    dust00  ,0xA1,128,128,32,3TXD,DXT3,0,136,9,8873,7346,165,0,0,
7079056,moon    moonshap,0xA1,256,256,32,3TXD,DXT3,0,136,9,44785,13488,7263,0,0,
7144688,moon    kasa    ,0xA1,128,128,32,3TXD,DXT3,119,136,2,0,8192,8192,0,0,
7165952,lf01    lf01    ,0xB1,128,256,32,,,,,,,,,,,
7203920,star    star01  ,0xA1,64,64,32,3TXD,DXT3,51,68,2,0,4096,0,0,0,
7208112,star    star02  ,0xA1,128,128,32,3TXD,DXT3,255,255,1,0,0,0,16384,0,
7271808,fine    fine_a01,0xB1,256,128,32,,,,,,,,,,,
7316608,star    star01  ,0xA1,64,64,32,3TXD,DXT3,51,68,2,0,4096,0,0,0,
7320800,star    star02  ,0xA1,128,128,32,3TXD,DXT3,255,255,1,0,0,0,16384,0,
7384256,moon    moonshap,0xA1,256,256,32,3TXD,DXT3,0,136,9,44785,13488,7263,0,0,
7449888,moon    kasa    ,0xA1,128,128,32,3TXD,DXT3,119,136,2,0,8192,8192,0,0,
7471152,lf02    lf02    ,0xB1,128,256,32,,,,,,,,,,,
7509840,mist    clod_a01,0xA1,256,256,32,3TXD,DXT3,102,136,3,0,59476,6060,0,0,
7605984,lf03    lf03    ,0xB1,128,256,32,,,,,,,,,,,
