index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Snipper,4097,256,00 00 00 00 00 00 00 00 00 00 00 00 01 10 00 01
2,64,Snipper,4098,256,00 00 00 00 00 00 00 00 00 00 00 00 02 10 00 01
3,96,Big Jaw,4099,256,00 00 00 00 00 00 00 00 00 00 00 00 03 10 00 01
4,128,Fishtrap,4100,256,00 00 00 00 00 00 00 00 00 00 00 00 04 10 00 01
5,160,Protozoan,4101,256,00 00 00 00 00 00 00 00 00 00 00 00 05 10 00 01
6,192,Aipaloovik,4102,256,00 00 00 00 00 00 00 00 00 00 00 00 06 10 00 01
7,224,Thickshell,4103,256,00 00 00 00 00 00 00 00 00 00 00 00 07 10 00 01
8,256,Giant Pugil,4104,256,00 00 00 00 00 00 00 00 00 00 00 00 08 10 00 01
9,288,Flytrap,4105,256,00 00 00 00 00 00 00 00 00 00 00 00 09 10 00 01
10,320,Flytrap,4106,256,00 00 00 00 00 00 00 00 00 00 00 00 0a 10 00 01
11,352,Ooze,4107,256,00 00 00 00 00 00 00 00 00 00 00 00 0b 10 00 01
12,384,Thunder Elementa,4108,256,6c 00 00 00 00 00 00 00 00 00 00 00 0c 10 00 01
13,416,Water Elemental,4109,256,00 00 00 00 00 00 00 00 00 00 00 00 0d 10 00 01
14,448,Vodyanoi,4110,256,00 00 00 00 00 00 00 00 00 00 00 00 0e 10 00 01
15,480,Stubborn Dredvod,4111,256,64 00 00 00 00 00 00 00 00 00 00 00 0f 10 00 01
16,512,Orc's Wyvern,4112,256,00 00 00 00 00 00 00 00 00 00 00 00 10 10 00 01
17,544,Achieve Master,4115,256,00 00 00 00 00 00 00 00 00 00 00 00 13 10 00 01
18,576,Unity Master,4117,256,00 00 00 00 00 00 00 00 00 00 00 00 15 10 00 01
19,608,Laiteconce,4124,256,00 00 00 00 00 00 00 00 00 00 00 00 1c 10 00 01
20,640,Luquillaue,4125,256,00 00 00 00 00 00 00 00 00 00 00 00 1d 10 00 01
21,672,FXTEST,4126,256,00 00 00 00 00 00 00 00 00 00 00 00 1e 10 00 01
22,704,Riche,4127,256,00 00 00 00 00 00 00 00 00 00 00 00 1f 10 00 01
23,736,Roi,4128,256,00 00 00 00 00 00 00 00 00 00 00 00 20 10 00 01
24,768,,4129,256,00 00 00 00 00 00 00 00 00 00 00 00 21 10 00 01
25,800,Ineuteniace,4130,256,00 00 00 00 00 00 00 00 00 00 00 00 22 10 00 01
26,832,Eunirange,4131,256,00 00 00 00 00 00 00 00 00 00 00 00 23 10 00 01
27,864,Moogle,4133,256,00 00 00 00 00 00 00 00 00 00 00 00 25 10 00 01
28,896,Moogle,4134,256,00 00 00 00 00 00 00 00 00 00 00 00 26 10 00 01
29,928,Moogle,4135,256,00 00 00 00 00 00 00 00 00 00 00 00 27 10 00 01
30,960,Moogle,4136,256,00 00 00 00 00 00 00 00 00 00 00 00 28 10 00 01
31,992,Moogle,4137,256,00 00 00 00 00 00 00 00 00 00 00 00 29 10 00 01
32,1024,Moogle,4138,256,00 00 00 00 00 00 00 00 00 00 00 00 2a 10 00 01
33,1056,Moogle,4139,256,00 00 00 00 00 00 00 00 00 00 00 00 2b 10 00 01
34,1088,Moogle,4140,256,00 00 00 00 00 00 00 00 00 00 00 00 2c 10 00 01
