offset,token
698,fdi2
715,sj05
732,sj05E
747,fdo1
764,fdo1F
783,fdi1
822,fdi2
839,sj2n
856,sj2nE
871,fdo1
888,fdo1F
907,fdi1
946,fdi2
963,sj4n
980,sj4nE
995,fdo1
1012,fdo1F
1031,fdi1
1073,fdo0
1135,fdi0
1152,sj1n
1185,sj1nE
1200,fdo2
1238,fdo0
1255,fdo0G
1282,fdi0
1339,fdo0
1401,fdi0
1418,sj03
1451,sj03E
1466,fdo2
1504,fdo0
1521,fdo0G
1548,fdi0
1605,fdo0
1667,fdi0
1684,sj7n
1717,sj7nE
1732,fdo2
1770,fdo0
1787,fdo0G
1814,fdi0
1866,fdo0
1883,fdo0F
1900,sfj0
1935,corpS
1948,corpE
1963,fdi0
1980,fdi0
2015,fdo0
2032,fdo0F
2057,fdi0
2094,fdo0
2111,fdo0F
2128,sfj1
2163,corpS
2176,corpE
2191,fdi0
2208,fdi0
2243,fdo0
2260,fdo0F
2285,fdi0
2322,fdo0
2339,fdo0F
2356,sfj2
2391,corpS
2404,corpE
2419,fdi0
2436,fdi0
2471,fdo0
2488,fdo0F
2513,fdi0
2575,fdo1
2592,fdo1
2664,z000
2681,fdi1
2746,z001
2774,z001E
2789,ovl1
2806,z002
2823,z002
2872,z003
2930,z003
2986,z004
3019,z004N
3077,z005
3094,z005#'
3147,z006
3187,z006E
3202,ovl1
3219,z007
3310,z008
3396,z009
3431,z00a
3448,z00a
3536,z011
3576,z012
3633,z013
3672,z013'
3694,z014
3754,z015
3804,fdo2
3860,fdi2
3957,fdo1
3974,fdo1
4018,z000
4035,fdi1
4075,z000E
4090,ovl1
4107,z001
4214,z002
4234,s089
4275,ovl1
4292,bash
4309,z00b
4364,z003
4432,z003EL
4447,z004
4493,z004E
4508,ovl1
4525,z005
4608,z005EL
4623,z006
4640,z006
4669,ovl1
4686,z00d
4762,ovl1
4779,z007
4822,z007EL
4837,z008
4924,z008EL
4939,z00c
4959,z00cEL
4974,z009
5054,z00a
5086,fdo2
5103,fdo2RL
5151,fdi2
5406,z010E
5421,z000
5438,z000
5474,tlk0
5490,tlk1
5865,ch02
5948,ch01
5974,ch00
5992,s090
6010,tlk0
6026,tlk1S
6039,tlk1
6055,thk1S
6068,thk1
6084,thk2S
6097,thk2
6426,tlk0
6442,tlk1S
6455,tlk1
6471,thk1S
6484,thk1
6500,thk2S
6513,thk2
6678,ch02
6694,ch00
6710,ch01
7926,main
7994,main
8062,main
8130,main
8174,main
8205,fdo1
8378,fdo1
8485,s044
8502,fdi1
8544,s044E
8559,ovl1
8584,s051
8612,s053
8640,s053
8668,s051
8688,s045
8792,s051
8818,s053
8844,s053
8870,s051
8888,s045E
8903,s046
8970,s046E
8985,ovl1
9002,s047
9049,s047
9072,s052
9100,s052
9128,s052
9148,s048
9218,s052
9244,s052
9270,s052
9288,s048E
9303,s049
9385,s049E
9400,s050
9448,fdo1
9468,s050N
9504,fdi1
9860,tlk0
9874,tlk0
9890,tlk1
9904,tlk1
9920,thk1
9934,thk1
9950,thk2
9964,thk2
9980,pas0
9994,pas0
10010,poi0
10024,poi0
10040,poi1
10054,poi1
10070,dis0
10084,dis0
10100,oro0
10114,oro0
10130,oro1
10144,oro1
10160,tlb0
10174,tlb0
10190,tlb1
10204,tlb1
10220,sit0
10234,sit0
10250,sit1
10264,sit1
10280,sitl
10294,sitl
11256,fdo1
11276,fdi1
11297,qstc
12545,eg00
12562,fdi2
12592,eg00E
12607,eg01
12646,eg01'
12668,eg02
12685,fdi2
12723,eg02E
12738,eg03
12802,eg03E
12817,eg00
12834,fdi2
12881,eg00
12910,fdi2
12927,qstc
12946,fdi0
12963,fdi0
12979,fdo0
12996,fdo0
13012,fdi1
13029,fdi1
13045,fdo1
13062,fdo1
13078,whi1
13095,whi1
13111,who1
13128,who1
13144,who2
13161,who2
13177,who3
13194,who3
13210,main
13230,fdo1
13247,fdo1
13263,fdi1
13280,main
13300,fdi1
13316,blon
13333,blon
13351,whi0
13368,whi0
13384,who0
13401,who0
13417,efon
13434,efon
13450,fdis
13468,fdos
13485,fdos
13501,fdif
13519,fdof
13536,fdof
13552,fdip
13570,fdop
13587,fdop
13722,main
13749,stop
33606,fdo1
