npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
291,Diving Beetle,8483,256,4,8139,8271,7.68,15.36,12.8,65,768,1536,1280,768 1280 1536 2048 1911296 1911552 1911808 1912064
328,Chuaie,8529,256,2,6856,6916,74.87,72.45,0.03,70,7487,7245,3,7487 3 7245 129 -1040896 1933311 67314560 353370640
329,Ratoulle,8530,256,2,7064,7124,74.87,72.45,0.03,70,7487,7245,3,7487 3 7245 144 -1040896 1933311 67314560 353370640
330,Felourie,8531,256,2,7284,7344,74.87,72.45,0.03,70,7487,7245,3,7487 3 7245 129 -1040896 1933311 67314560 353370640
331,ship,8532,256,1,7492,7540,-1250.42,0.0,727.86,95,-125042,0,72786,-125042 72786 0 2560 32 -2147476480 8388943 1333788700
332,Guilloud,8533,256,29,5212,5304,-60.0,1.16,0.9,35,-6000,116,90,-6000 90 116 0 7268 167 -1811865088 -2047
333,Louverance,8534,256,68,5496,5576,-59.36,-30.0,28.95,90,-5936,-3000,2895,-5936 2895 -3000 13 3000 40 123535 -405042
334,Louverance,8535,256,5,6716,6872,0.13,1.44,74.89,30,13,144,7489,13 7489 144 60 0 7486 1 7485
336,Louverance,8537,256,21,6172,6232,-59.36,-20.0,28.95,105,-5936,-2000,2895,-5936 2895 -2000 60 13 2048 2000 4000
337,Chocobo,8538,256,9,6588,6624,-59.1,2.21,36.08,90,-5910,221,3608,-5910 3608 221 75 -134114304 -1837105153 -2047 -2147469441
351,Ramblix,8553,256,2,7592,7716,73.99,0.6,2.0,70,7399,60,200,7399 200 60 485 1107369984 -266469342 1249902591 2147483632
353,???,8555,256,1,8220,8340,74.77,74.79,74.78,40,7477,7479,7478,7477 7478 7479 1158 1107369984 6095174 1166016896 -491518
354,Anguenet,8556,256,107,11064,11188,1.2,2.01,74.41,70,120,201,7441,120 7441 201 104 -2147476224 553656355 -2147410688 553656355
355,Lourdaude,8557,256,6,11136,11188,1.2,2.01,74.41,70,120,201,7441,120 7441 201 104 -2147476224 553656355 -2147410688 553656355
356,Logging Point,8558,256,1,11308,11348,74.13,74.17,74.15,45,7413,7417,7415,7413 7415 7417 85 -261209600 8388607 -1009280 151224319
360,Cofisephe,8562,256,1,11452,11524,74.61,74.47,3.0,70,7461,7447,300,7461 300 7447 215 -1040896 1933311 18686848 35922816
361,Coupulie,8563,256,1,11756,11828,74.61,74.47,3.0,70,7461,7447,300,7461 300 7447 215 -1040896 1933311 18686848 35922816
362,Echanie,8564,256,1,12060,12132,74.61,74.47,3.0,70,7461,7447,300,7461 300 7447 215 -1040896 1933311 18686848 35922816
366,Perseus,8568,256,12,13592,13636,-2.13,0.0,21.68,35,-213,0,2168,-213 2168 0 1 128 38 92 20119552
368,Ethereal Junctio,8570,256,1,22960,22980,0.23,75.6,75.59,30,23,7560,7559,23 7559 7560 1 0 827 8 15
369,Ethereal Junctio,8571,256,1,24324,24344,0.23,75.6,75.59,30,23,7560,7559,23 7559 7560 1 0 827 8 15
370,Ethereal Junctio,8572,256,1,25688,25708,0.23,75.6,75.59,30,23,7560,7559,23 7559 7560 1 0 827 8 15
371,Survival Guide,8573,256,2,27052,27184,-0.02,76.02,75.87,50,-2,7602,7587,-2 7587 7602 26 27 7601 8 15
