offset,token
1000,fdi2
1017,sp00
1034,sp00E
1049,fdo1
1066,fdo1F
1085,fdi1
1124,fdi2
1141,sp02
1158,sp02E
1173,fdo1
1190,fdo1F
1209,fdi1
1251,fdo0
1313,fdi0
1330,sp01
1363,sp01E
1378,fdo2
1416,fdo0
1433,fdo0G
1460,fdi0
1517,fdo0
1551,fdi0
1568,sp03
1601,sp03E
1616,fdo2
1654,fdo0
1671,fdo0G
1698,fdi0
1750,fdo0
1767,fdo0F
1784,sfp0
1819,corpS
1832,corpE
1847,fdi0
1864,fdi0
1899,fdo0
1916,fdo0F
1941,fdi0
2345,sha0S
2358,sha0
2382,sha1S
2395,sha1
2419,fdo0
2436,fdo0N
2537,s105
2554,fdi1
2654,s105E
2669,fdo1
2686,fdo1F
2703,qstc
2720,fdi2
2748,fdi1
2773,tlk0+
2804,tlk1
2878,pas0+
2901,fdo1
2918,fdo1F
2935,qstc
2952,fdi2
6141,fdo1
6200,s033
6217,fdi1
6254,atf0S
6267,atf0E
6282,fdo1
6306,s033N
6334,fdi1
6360,fdo1
6498,s033
6515,fdi1
6550,s033E
6565,s034
6626,s034E
6641,s036
6674,ovl1
6691,s038
6734,s038E
6749,ovl1
6766,s037
6839,s037E
6854,s035
6888,s035
6906,main
6931,s039
6948,kill
6975,who1
7129,s039E
7144,s042
7161,fdi1
7178,whi1
7198,s042E
7213,s040
7273,s040E
7288,s041
7358,s041E
7373,ovl1
7390,s044
7504,s044E
7519,s045
7608,s045E
7623,s046
7720,s046E
7735,s047
7781,s047+
7817,ovl1
7834,s050
7921,s050E
7936,s048
8011,s048E
8026,s052
8081,s052E
8096,ovl1
8113,s049
8168,s049E
8183,s054
8253,s054E
8268,ovl1
8285,s051
8318,s051E
8333,s055
8402,s055E
8417,s056
8484,s056E
8499,s057
8554,s057E
8569,s058
8631,s058E
8646,ovl1
8663,s059
8730,s060
8784,s060E
8799,s061
8848,s061E
8863,s043
8900,s043E
8915,ovl1
8932,s062
9000,s062E
9015,s064
9061,s064E
9076,ovl1
9093,s063
9155,s063E
9170,s107
9217,s107E
9232,s109
9265,s109E
9280,ovl1
9297,blon
9314,blon
9331,s108
9363,blof
9395,s108E
9410,s110
9457,s110E
9472,s111
9502,who1
9522,s1114U
9548,str0
9565,s118
9582,whi1
9602,s118E
9617,blon
9634,s119
9654,who1
9674,blof
9691,s119
9706,kill
9824,s112
9841,whi1
9911,s112E
9926,s113
10001,s113
10024,s117
10052,s117
10072,s114
10142,s117
10168,s117
10186,s114E
10201,s115
10240,fdo1
10260,s115'
10282,s116
10299,fdi1
10319,fdo1
10375,fdi1
10401,fdo1
10523,corpS
10536,corpEc
10551,s068
10568,fdi1
10588,s068E
10603,ovl1
10620,s070
10637,blon
10654,blon
10681,s070E
10696,ovl1
10713,s069
10730,blof
10786,s069Ec
10801,s071
10851,s071Ec
10866,s072
10904,fdo1
10924,s072N
10952,fdi1
10993,fdo1
11102,s073
11119,fdi1
11196,s073Ec
11211,s074
11251,s074Ec
11266,s075
11298,fdo1
11330,res1S
11343,res1y
11406,s075Ec
11421,s076
11438,fdi1
11458,s076E
11473,ovl1
11490,s077
11550,fdo1
11741,s078
11756,res2E
11771,fdi1
11794,res2y
11827,s078Ec
11842,s079
11979,s079Ec
11994,s080
12176,s080Ec
12191,s081
12282,s082
12422,s082Ec
12437,s083
12476,s083Ec
12491,s084
12625,s084Ec
12640,s085
12755,s085Ec
12770,s086
12880,s086Ec
12895,s087
12977,s087Ec
12992,s088
13053,s088Ec
13068,s089
13144,s089Ec
13159,s090
13210,res2S
13302,s091
13332,fdo1
13352,s091+
13419,s092
13436,fdi1
13461,s092E
13476,ovl1
13493,s087
13564,s087Ec
13579,s090
13640,s090
13663,s100
13691,s100
13711,s093
13848,s100
13874,s100
13892,s093Ec
13907,s090
13989,s090E
14004,ovl1
14021,s094
14092,s094
14115,s101
14143,s101
14163,s095
14285,s101
14311,s101
14329,s095Ec
14344,s096
14413,s096
14436,s102
14464,s102
14484,s098
14531,s102
14557,s102
14619,s103
14647,s103
14667,s097
14758,s103
14784,s103
14802,s097
14841,s103
14869,s103
14889,s097
14980,s103
15006,s103
15024,s097
15042,s099
15145,fdo1
15173,s099N
15201,fdi1
15232,fdo1
15364,fdi1
15453,s094
15476,s117
15496,s100
15543,s117
15561,s100+
15584,fdo1
15632,s095
15649,fdi1
15678,s095E
15693,ovl1
15710,s097
15747,s097E
15762,s096
15862,s096E
15877,s098
15926,s098E
15941,ovl1
15958,s099
16016,s099E
16031,s101
16083,s101E
16098,ovl1
16115,s102
16140,s102E
16155,ovl1
16172,s103
16241,s103E
16256,s104
16322,s104E
16337,ovl1
16354,s105
16387,s105E
16402,ovl1
16419,s106
16468,s106E
16483,ovl1
16500,s107
16530,fdo1
16550,s107
16572,s108
16589,fdi1
16670,s108E
16685,s109
16743,s109E
16758,s110
16839,s099
16948,s099E
16963,s112
17115,fdo1
17192,s118
17220,s115
17248,s115
17276,s118
17296,s113
17313,fdi1
17356,s118
17382,s115
17408,s115
17434,s118
17452,s113E
17467,ovl1
17484,s114
17517,s114E
17532,s116
17572,fdo1
17628,fdi1
17794,deadS
17820,corpS
17833,corp
18724,tlk0
18738,tlk0f
18753,tlk1S
18766,tlk1
18782,thk1
18796,thk1
18812,thk2
18826,thk2
18842,shk0
18856,shk0
18872,dis0
18886,dis0
18902,poi0
18916,poi0
18932,pas0
18946,pas0
18962,syu0
18976,syu0
18992,wav0
19006,wav0
19022,ehn0
19060,ehn1
19074,ehn1
19090,msu0
19104,msu0
19120,msu1
19158,ghn1
19172,ghn1
19188,iro0
19202,iro0
19218,wai0
19232,wai0
19248,bik0
19262,bik0
19278,bik1
19292,bik1
19308,gkr0
19322,gkr0
19338,gkr1
19352,gkr1
19368,ohh0
19406,shk0S
19419,shk0f
19434,zit0
19450,zit0
19464,zit0
19568,deadS
19581,dead
19606,cabk
19620,cabk
19636,spef
19650,spef
19666,okir
19680,okir
19696,usi0
19710,usi0
19726,usi1
19740,usi1
19756,teh0
19770,teh0
19786,teh1
19800,teh1
19816,mdq0
19830,mdq0
19846,mdq3
19860,mdq3
20267,btl0S
20280,btl0
20296,out0S
20309,out0
20325,msu0
20341,msu1
20357,okir
20375,se13A
20395,se14A
20415,se15A
20435,se16A
20453,au01
20469,hi03
20485,ghn1
20503,se07A
20518,ghn1
20534,ehn0S
20547,ehn0
21081,lklr
21095,lklr
21111,utah
21125,utah
21141,utan
21155,utan
21171,hapy
21185,hapy
21201,sin0
