npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
372,TAKARA_GOB_NPC,16765,256,1,3344,3420,72.48,0.0,0.01,45,7248,0,1,7248 1 0 511 7254 7255 2 6401
373,Fheli Lapatzuo,16766,256,2,3108,3140,0.0,72.41,72.42,70,0,7241,7242,0 7242 7241 43 -1040896 67338239 353370640 -2147479548
374,Noih Tahparawh,16767,256,1,3200,3228,0.0,72.41,72.42,70,0,7241,7242,0 7242 7241 42 -1040896 67338239 353370640 -2147479548
375,ship,16768,256,1,3288,3420,72.48,0.0,0.01,45,7248,0,1,7248 1 0 511 7254 7255 2 6401
381,Toh Zonikki,16774,256,1,3380,3420,72.48,0.0,0.01,45,7248,0,1,7248 1 0 511 7254 7255 2 6401
382,Clamming Point,16775,256,3,3976,4000,72.71,0.39,0.0,35,7271,39,0,7271 0 39 1 75 -1029632 1099399167 4718848
383,Clamming Point,16776,256,3,4096,4120,72.71,0.39,0.0,35,7271,39,0,7271 0 39 1 75 -1029632 1099464703 4718848
384,Clamming Point,16777,256,3,4216,4240,72.71,0.39,0.0,35,7271,39,0,7271 0 39 1 75 -1029632 1099530239 4718848
385,Clamming Point,16778,256,3,4336,4360,72.71,0.39,0.0,35,7271,39,0,7271 0 39 1 75 -1029632 1099595775 4718848
386,Clamming Point,16779,256,3,4456,4480,72.71,0.39,0.0,35,7271,39,0,7271 0 39 1 75 -1029632 1099661311 4718848
387,Clamming Point,16780,256,3,4576,4600,72.71,0.39,0.0,35,7271,39,0,7271 0 39 1 75 -1029632 1099726847 4718848
388,Clamming Point,16781,256,3,4696,4720,72.71,0.39,0.0,35,7271,39,0,7271 0 39 1 75 -1029632 1099792383 4718848
389,Clamming Point,16782,256,3,4816,4840,72.71,0.39,0.0,35,7271,39,0,7271 0 39 1 75 -1029632 1099857919 4718848
391,???,16784,256,1,5192,5268,73.92,0.3,2.19,45,7392,30,219,7392 219 30 3267 7393 7394 7395 7396
392,??? Warmachine,16785,256,28,17640,17752,0.32,0.01,40.96,90,32,1,4096,32 4096 1 12 -333712 -766844 -2584 200
395,Mame01,16788,256,46,22216,22316,-100.0,0.4,100.0,105,-10000,40,10000,-10000 10000 40 2048 -347668 -951507 -2853 3180
396,Mame02,16789,256,31,22856,22952,-100.0,0.4,100.0,105,-10000,40,10000,-10000 10000 40 2048 -347068 -951507 -2853 3180
397,Mame03,16790,256,34,23488,23584,-100.0,0.4,100.0,105,-10000,40,10000,-10000 10000 40 2048 -348268 -951507 -2853 3180
398,Tori01,16791,256,8,24096,24256,-33.03,0.15,31.8,50,-3303,15,3180,-3303 3180 15 176 0 7391 270 30
399,???,16792,256,1,24224,24256,-33.03,0.15,31.8,50,-3303,15,3180,-3303 3180 15 176 0 7391 270 30
401,Rohemolipaud,16794,256,17,25300,25460,-32.83,0.0,18.21,35,-3283,0,1821,-3283 1821 0 20 21 26 27 29
403,Novice Moogle,16796,256,125,22804,22952,-100.0,0.4,100.0,105,-10000,40,10000,-10000 10000 40 2048 -347068 -951507 -2853 3180
404,Rhalo Davigoh,16797,256,9,28452,28536,75.2,75.22,75.21,45,7520,7522,7521,7520 7521 7522 289 -2147460352 2147483640 2147483640 812346484
417,Ramblix,16811,256,2,32572,32696,74.69,0.6,2.0,70,7469,60,200,7469 200 60 485 1107369984 -266469342 1249902591 2147483632
419,Tswe Panipahr,16813,256,1,33200,33260,0.8,74.87,74.88,45,80,7487,7488,80 7488 7487 653 500 7511 10 7513
424,Kukki-Chebukki,16818,256,72,42460,42628,-26.41,-30.0,14.65,105,-2641,-3000,1465,-2641 1465 -3000 3000 40 -332654 -947045 -1861
425,Cherukiki,16819,256,72,43556,43732,-26.08,-30.0,14.65,105,-2608,-3000,1465,-2608 1465 -3000 3000 40 -333768 -947459 -1910
428,Planar Rift,16822,256,1,53928,53996,77.48,0.02,0.01,45,7748,2,1,7748 1 2 1539 7749 7750 7751 7752
429,Planar Rift,16823,256,1,72756,72824,0.04,0.02,77.48,45,4,2,7748,4 7748 2 1539 7749 7750 7751 7752
430,Planar Rift,16824,256,1,91584,91652,0.04,0.01,77.48,45,4,1,7748,4 7748 1 1539 7749 7750 7751 7752
431,Riftworn Pyxis,16825,256,1,110412,110552,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
432,Riftworn Pyxis,16826,256,1,111844,111984,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
433,Riftworn Pyxis,16827,256,1,113276,113416,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
434,Ethereal Junctio,16828,256,1,114708,114728,0.23,86.4,86.39,30,23,8640,8639,23 8639 8640 1 0 825 8 15
435,Ethereal Junctio,16829,256,1,116072,116092,0.23,86.4,86.39,30,23,8640,8639,23 8639 8640 1 0 825 8 15
436,Ethereal Junctio,16830,256,1,117436,117456,0.23,86.4,86.39,30,23,8640,8639,23 8639 8640 1 0 825 8 15
437,Survival Guide,16831,256,2,118800,118932,-0.02,86.82,86.67,50,-2,8682,8667,-2 8667 8682 26 27 8681 8 15
