offset,token
413,tat1
431,main
451,fdo1
486,fdi1
506,main
578,tat2
596,main
616,fdo1
651,fdi1
671,main
743,tat3
761,main
781,fdo1
816,fdi1
836,main
1182,fdo1
1278,s086
1306,s086
1326,s076
1343,fdi1
1404,s086
1430,s086
1448,s076E
1463,ovl1
1480,s077
1527,s077E
1542,s078
1641,fdo1
1661,s078J
1720,s079
1737,fdi1
1784,s079E
1799,s080
1859,s080E
1874,s081
1936,s081
1959,s087
1987,s085
2015,s085
2043,s087
2063,s082
2185,s087
2211,s085
2237,s085
2263,s087
2281,s082E
2296,s083
2334,s083E
2349,s084
2381,fdo1
2401,s084E
2416,qstc
2454,fdi1
2674,qstc
3116,lklr
3130,lklr
3146,utah
3160,utah
3176,utan
3190,utan
3206,hapy
3220,hapy
3236,sin0
3250,sin0
3266,swo0
3280,swo0
3296,swo1
3310,swo1
3326,tlk0
3340,tlk0
3356,tlk1
3370,tlk1
3386,thk1
3400,thk1
3416,thk2
3430,thk2
3446,sha0
3460,sha0
3476,sha1
3490,sha1
3506,sha0S
3519,sha0f
3534,sha1S
3547,sha1
3563,sir0
3577,sir0
3593,sir1
3607,sir1
3623,btls
3637,btls
3653,kei0
3667,kei0
3683,kei1
3697,kei1
3713,srd0
3727,srd0
3743,srd1
3757,srd1
3773,jmp0
3787,jmp0
3803,twa0
3817,twa0
3833,twa1
3847,twa1
3863,twb0
3877,twb0
3893,twb1
3907,twb1
4038,corpS
4051,corp
4065,res1S
4078,res1
4092,res2S
4105,res2
4554,main
4622,main
4690,main
4758,main
4802,main
4833,fdo1
4993,tlk0
5032,tlk0
5066,tlk0
5952,b200E
5967,srd0
6003,lb00
6029,lb00E
6044,lb01
6070,lb01E
6085,lb02
6114,lb02E
6129,lb03
6221,lb03E
6236,lb04
6273,b300S
6286,b300R
6301,lb04E
6316,lb05
6336,a200
6354,lb05E
6369,lb06
6394,main
6417,lb06kidl0
6430,kidl0
6481,kill
6522,b400E
6537,lb08
6557,lb08E
6572,lb10
6589,b500
6607,lb10E
6622,lb11
6639,lb11E
6654,lb12
6700,lb12E
6715,lb13
6745,a400E
6780,lb13E
6795,lb14
6815,a500
6853,lb14E
6868,lb15
6885,a501l
6946,lb15E
6961,lb16
6978,a700
7002,a700R
7017,lb16E
7032,lb17
7049,a800
7075,lb17E
7090,lb19
7107,a900
7133,lb19E
7148,lb20
7165,aa00
7199,lb20E
7214,lb21
7220,kidl0
7240,lb21E
7255,lb22
7272,sin0+
7301,sin0'
7326,lb22E
7341,lb23
7379,lb23x
7416,fdi2
7435,fdi0
7452,fdi0
7468,fdo0
7485,fdo0
7501,fdi1
7518,fdi1
7534,fdo1
7551,fdo1
7567,whi1
7584,whi1
7600,who1
7617,who1
7633,who2
7650,who2
7666,who3
7683,who3
7699,main
7719,fdo1
7736,fdo1
7752,fdi1
7769,main
7789,fdi1
7805,blon
7822,blon
7840,whi0
7857,whi0
7873,who0
7890,who0
7906,efon
7923,efon
7939,fdis
7957,fdos
7974,fdos
7990,fdif
8008,fdof
8025,fdof
8041,fdip
8059,fdop
8076,fdop
81540,bind
85517,main
85537,fdo1
85558,fdi1
85575,main
85595,fdi1
92108,bind
96085,main
96105,fdo1
96126,fdi1
96143,main
96163,fdi1
102676,bind
106653,main
106673,fdo1
106694,fdi1
106711,main
106731,fdi1
113244,bind
117221,main
117241,fdo1
117262,fdi1
117279,main
117299,fdi1
123812,bind
127789,main
127809,fdo1
127830,fdi1
127847,main
127867,fdi1
