index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Variable Hare,20481,256,00 00 00 00 00 00 00 00 00 00 00 00 01 50 00 01
2,64,Variable Hare,20482,256,00 00 00 00 00 00 00 00 00 00 00 00 02 50 00 01
3,96,Variable Hare,20483,256,00 00 00 00 00 00 00 00 00 00 00 00 03 50 00 01
4,128,Uleguerand Tiger,20484,256,00 00 00 00 00 00 00 00 00 00 00 00 04 50 00 01
5,160,Uleguerand Tiger,20485,256,00 00 00 00 00 00 00 00 00 00 00 00 05 50 00 01
6,192,Uleguerand Tiger,20486,256,00 00 00 00 00 00 00 00 00 00 00 00 06 50 00 01
7,224,Cwn Annwn,20487,256,00 00 00 00 00 00 00 00 00 00 00 00 07 50 00 01
8,256,Variable Hare,20488,256,00 00 00 00 00 00 00 00 00 00 00 00 08 50 00 01
9,288,Variable Hare,20489,256,00 00 00 00 00 00 00 00 00 00 00 00 09 50 00 01
10,320,Variable Hare,20490,256,00 00 00 00 00 00 00 00 00 00 00 00 0a 50 00 01
11,352,Uleguerand Tiger,20491,256,00 00 00 00 00 00 00 00 00 00 00 00 0b 50 00 01
12,384,Uleguerand Tiger,20492,256,00 00 00 00 00 00 00 00 00 00 00 00 0c 50 00 01
13,416,Uleguerand Tiger,20493,256,00 00 00 00 00 00 00 00 00 00 00 00 0d 50 00 01
14,448,Cwn Annwn,20494,256,00 00 00 00 00 00 00 00 00 00 00 00 0e 50 00 01
15,480,Variable Hare,20495,256,00 00 00 00 00 00 00 00 00 00 00 00 0f 50 00 01
16,512,Variable Hare,20496,256,00 00 00 00 00 00 00 00 00 00 00 00 10 50 00 01
17,544,Variable Hare,20497,256,00 00 00 00 00 00 00 00 00 00 00 00 11 50 00 01
18,576,Uleguerand Tiger,20498,256,00 00 00 00 00 00 00 00 00 00 00 00 12 50 00 01
19,608,Uleguerand Tiger,20499,256,00 00 00 00 00 00 00 00 00 00 00 00 13 50 00 01
20,640,Uleguerand Tiger,20500,256,00 00 00 00 00 00 00 00 00 00 00 00 14 50 00 01
21,672,Cwn Annwn,20501,256,00 00 00 00 00 00 00 00 00 00 00 00 15 50 00 01
22,704,Snoll,20502,256,00 00 00 00 00 00 00 00 00 00 00 00 16 50 00 01
23,736,Snoll,20503,256,00 00 00 00 00 00 00 00 00 00 00 00 17 50 00 01
24,768,Snoll,20504,256,00 00 00 00 00 00 00 00 00 00 00 00 18 50 00 01
25,800,Snoll,20505,256,00 00 00 00 00 00 00 00 00 00 00 00 19 50 00 01
26,832,Buffalo,20506,256,00 00 00 00 00 00 00 00 00 00 00 00 1a 50 00 01
27,864,Buffalo,20507,256,00 00 00 00 00 00 00 00 00 00 00 00 1b 50 00 01
28,896,Buffalo,20508,256,00 00 00 00 00 00 00 00 00 00 00 00 1c 50 00 01
29,928,Buffalo,20509,256,00 00 00 00 00 00 00 00 00 00 00 00 1d 50 00 01
30,960,Cwn Annwn,20510,256,00 00 00 00 00 00 00 00 00 00 00 00 1e 50 00 01
31,992,Variable Hare,20511,256,00 00 00 00 00 00 00 00 00 00 00 00 1f 50 00 01
32,1024,Variable Hare,20512,256,00 00 00 00 00 00 00 00 00 00 00 00 20 50 00 01
33,1056,Variable Hare,20513,256,00 00 00 00 00 00 00 00 00 00 00 00 21 50 00 01
34,1088,Variable Hare,20514,256,00 00 00 00 00 00 00 00 00 00 00 00 22 50 00 01
35,1120,Variable Hare,20515,256,00 00 00 00 00 00 00 00 00 00 00 00 23 50 00 01
36,1152,Variable Hare,20516,256,00 00 00 00 00 00 00 00 00 00 00 00 24 50 00 01
37,1184,Variable Hare,20517,256,00 00 00 00 00 00 00 00 00 00 00 00 25 50 00 01
38,1216,Snoll,20518,256,00 00 00 00 00 00 00 00 00 00 00 00 26 50 00 01
39,1248,Variable Hare,20519,256,00 00 00 00 00 00 00 00 00 00 00 00 27 50 00 01
40,1280,Ice Elemental,20520,256,00 00 00 00 00 00 00 00 00 00 00 00 28 50 00 01
41,1312,Snoll,20521,256,00 00 00 00 00 00 00 00 00 00 00 00 29 50 00 01
42,1344,Frost Flambeau,20522,256,00 00 00 00 00 00 00 00 00 00 00 00 2a 50 00 01
43,1376,Snoll,20523,256,00 00 00 00 00 00 00 00 00 00 00 00 2b 50 00 01
44,1408,Snoll,20524,256,00 00 00 00 00 00 00 00 00 00 00 00 2c 50 00 01
45,1440,Snoll,20525,256,00 00 00 00 00 00 00 00 00 00 00 00 2d 50 00 01
46,1472,Snoll,20526,256,00 00 00 00 00 00 00 00 00 00 00 00 2e 50 00 01
47,1504,Ice Elemental,20527,256,00 00 00 00 00 00 00 00 00 00 00 00 2f 50 00 01
48,1536,Variable Hare,20528,256,00 00 00 00 00 00 00 00 00 00 00 00 30 50 00 01
49,1568,Variable Hare,20529,256,00 00 00 00 00 00 00 00 00 00 00 00 31 50 00 01
50,1600,Variable Hare,20530,256,00 00 00 00 00 00 00 00 00 00 00 00 32 50 00 01
51,1632,Esbat,20531,256,00 00 00 00 00 00 00 00 00 00 00 00 33 50 00 01
52,1664,Glacier Eater,20532,256,00 00 00 00 00 00 00 00 00 00 00 00 34 50 00 01
53,1696,Glacier Eater,20533,256,00 00 00 00 00 00 00 00 00 00 00 00 35 50 00 01
54,1728,Esbat,20534,256,00 00 00 00 00 00 00 00 00 00 00 00 36 50 00 01
55,1760,Glacier Eater,20535,256,00 00 00 00 00 00 00 00 00 00 00 00 37 50 00 01
56,1792,Glacier Eater,20536,256,00 00 00 00 00 00 00 00 00 00 00 00 38 50 00 01
57,1824,Nival Raptor,20537,256,00 00 00 00 00 00 00 00 00 00 00 00 39 50 00 01
58,1856,Nival Raptor,20538,256,00 00 00 00 00 00 00 00 00 00 00 00 3a 50 00 01
59,1888,Polar Hare,20539,256,00 00 00 00 00 00 00 00 00 00 00 00 3b 50 00 01
60,1920,Polar Hare,20540,256,00 00 00 00 00 00 00 00 00 00 00 00 3c 50 00 01
61,1952,Nival Raptor,20541,256,00 00 00 00 00 00 00 00 00 00 00 00 3d 50 00 01
62,1984,Nival Raptor,20542,256,00 00 00 00 00 00 00 00 00 00 00 00 3e 50 00 01
63,2016,Nival Raptor,20543,256,00 00 00 00 00 00 00 00 00 00 00 00 3f 50 00 01
64,2048,Polar Hare,20544,256,00 00 00 00 00 00 00 00 00 00 00 00 40 50 00 01
65,2080,Polar Hare,20545,256,00 00 00 00 00 00 00 00 00 00 00 00 41 50 00 01
66,2112,Polar Hare,20546,256,00 00 00 00 00 00 00 00 00 00 00 00 42 50 00 01
67,2144,Nival Raptor,20547,256,00 00 00 00 00 00 00 00 00 00 00 00 43 50 00 01
68,2176,Nival Raptor,20548,256,00 00 00 00 00 00 00 00 00 00 00 00 44 50 00 01
69,2208,Nival Raptor,20549,256,00 00 00 00 00 00 00 00 00 00 00 00 45 50 00 01
70,2240,Nival Raptor,20550,256,00 00 00 00 00 00 00 00 00 00 00 00 46 50 00 01
71,2272,Nival Raptor,20551,256,00 00 00 00 00 00 00 00 00 00 00 00 47 50 00 01
72,2304,Polar Hare,20552,256,00 00 00 00 00 00 00 00 00 00 00 00 48 50 00 01
73,2336,Polar Hare,20553,256,00 00 00 00 00 00 00 00 00 00 00 00 49 50 00 01
74,2368,Skvader,20554,256,00 00 00 00 00 00 00 00 00 00 00 00 4a 50 00 01
75,2400,Polar Hare,20555,256,00 00 00 00 00 00 00 00 00 00 00 00 4b 50 00 01
76,2432,Polar Hare,20556,256,00 00 00 00 00 00 00 00 00 00 00 00 4c 50 00 01
77,2464,Polar Hare,20557,256,00 00 00 00 00 00 00 00 00 00 00 00 4d 50 00 01
78,2496,Polar Hare,20558,256,00 00 00 00 00 00 00 00 00 00 00 00 4e 50 00 01
79,2528,Polar Hare,20559,256,00 00 00 00 00 00 00 00 00 00 00 00 4f 50 00 01
80,2560,Polar Hare,20560,256,00 00 00 00 00 00 00 00 00 00 00 00 50 50 00 01
81,2592,Morozko,20561,256,00 00 00 00 00 00 00 00 00 00 00 00 51 50 00 01
82,2624,Ice Elemental,20562,256,00 00 00 00 00 00 00 00 00 00 00 00 52 50 00 01
83,2656,Nival Raptor,20563,256,00 00 00 00 00 00 00 00 00 00 00 00 53 50 00 01
84,2688,Nival Raptor,20564,256,00 00 00 00 00 00 00 00 00 00 00 00 54 50 00 01
85,2720,Nival Raptor,20565,256,00 00 00 00 00 00 00 00 00 00 00 00 55 50 00 01
86,2752,Nival Raptor,20566,256,00 00 00 00 00 00 00 00 00 00 00 00 56 50 00 01
87,2784,Polar Hare,20567,256,00 00 00 00 00 00 00 00 00 00 00 00 57 50 00 01
88,2816,Polar Hare,20568,256,00 00 00 00 00 00 00 00 00 00 00 00 58 50 00 01
89,2848,Nival Raptor,20569,256,00 00 00 00 00 00 00 00 00 00 00 00 59 50 00 01
90,2880,Nival Raptor,20570,256,00 00 00 00 00 00 00 00 00 00 00 00 5a 50 00 01
91,2912,Nival Raptor,20571,256,00 00 00 00 00 00 00 00 00 00 00 00 5b 50 00 01
92,2944,Nival Raptor,20572,256,00 00 00 00 00 00 00 00 00 00 00 00 5c 50 00 01
93,2976,Nival Raptor,20573,256,00 00 00 00 00 00 00 00 00 00 00 00 5d 50 00 01
94,3008,Giant Buffalo,20574,256,00 00 00 00 00 00 00 00 00 00 00 00 5e 50 00 01
95,3040,Giant Buffalo,20575,256,00 00 00 00 00 00 00 00 00 00 00 00 5f 50 00 01
96,3072,Giant Buffalo,20576,256,00 00 00 00 00 00 00 00 00 00 00 00 60 50 00 01
97,3104,Giant Buffalo,20577,256,00 00 00 00 00 00 00 00 00 00 00 00 61 50 00 01
98,3136,Giant Buffalo,20578,256,00 00 00 00 00 00 00 00 00 00 00 00 62 50 00 01
99,3168,Giant Buffalo,20579,256,00 00 00 00 00 00 00 00 00 00 00 00 63 50 00 01
100,3200,Giant Buffalo,20580,256,00 00 00 00 00 00 00 00 00 00 00 00 64 50 00 01
101,3232,Nival Raptor,20581,256,00 00 00 00 00 00 00 00 00 00 00 00 65 50 00 01
102,3264,Nival Raptor,20582,256,00 00 00 00 00 00 00 00 00 00 00 00 66 50 00 01
103,3296,Brontotaur,20583,256,00 00 00 00 00 00 00 00 00 00 00 00 67 50 00 01
104,3328,Nival Raptor,20584,256,00 00 00 00 00 00 00 00 00 00 00 00 68 50 00 01
105,3360,Brontotaur,20585,256,00 00 00 00 00 00 00 00 00 00 00 00 69 50 00 01
106,3392,Brontotaur,20586,256,00 00 00 00 00 00 00 00 00 00 00 00 6a 50 00 01
107,3424,Nival Raptor,20587,256,00 00 00 00 00 00 00 00 00 00 00 00 6b 50 00 01
108,3456,Brontotaur,20588,256,00 00 00 00 00 00 00 00 00 00 00 00 6c 50 00 01
109,3488,Brontotaur,20589,256,00 00 00 00 00 00 00 00 00 00 00 00 6d 50 00 01
110,3520,Morozko,20590,256,00 00 00 00 00 00 00 00 00 00 00 00 6e 50 00 01
111,3552,Morozko,20591,256,00 00 00 00 00 00 00 00 00 00 00 00 6f 50 00 01
112,3584,Morozko,20592,256,00 00 00 00 00 00 00 00 00 00 00 00 70 50 00 01
113,3616,Snow Maiden,20593,256,00 00 00 00 00 00 00 00 00 00 00 00 71 50 00 01
114,3648,Father Frost,20594,256,00 00 00 00 00 00 00 00 00 00 00 00 72 50 00 01
115,3680,Ice Elemental,20595,256,00 00 00 00 00 00 00 00 00 00 00 00 73 50 00 01
116,3712,Phasma,20596,256,00 00 00 00 00 00 00 00 00 00 00 00 74 50 00 01
117,3744,Succubus Bats,20597,256,00 00 00 00 00 00 00 00 00 00 00 00 75 50 00 01
118,3776,Succubus Bats,20598,256,00 00 00 00 00 00 00 00 00 00 00 00 76 50 00 01
119,3808,Succubus Bats,20599,256,00 00 00 00 00 00 00 00 00 00 00 00 77 50 00 01
120,3840,Succubus Bats,20600,256,00 00 00 00 00 00 00 00 00 00 00 00 78 50 00 01
121,3872,Doom Soldier,20601,256,00 00 00 00 00 00 00 00 00 00 00 00 79 50 00 01
122,3904,Doom Soldier,20602,256,00 00 00 00 00 00 00 00 00 00 00 00 7a 50 00 01
123,3936,Succubus Bats,20603,256,00 00 00 00 00 00 00 00 00 00 00 00 7b 50 00 01
124,3968,Morozko,20604,256,00 00 00 00 00 00 00 00 00 00 00 00 7c 50 00 01
