index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Snoll Tzar,24577,256,00 00 00 00 00 00 00 00 00 00 00 00 01 60 00 01
2,64,Snoll Tzar,24578,256,00 00 00 00 00 00 00 00 00 00 00 00 02 60 00 01
3,96,Snoll Tzar,24579,256,00 00 00 00 00 00 00 00 00 00 00 00 03 60 00 01
4,128,Bearclaw Rabbit,24580,256,00 00 00 00 00 00 00 00 00 00 00 00 04 60 00 01
5,160,Bearclaw Leveret,24581,256,00 00 00 00 00 00 00 00 00 00 00 00 05 60 00 01
6,192,Bearclaw Leveret,24582,256,00 00 00 00 00 00 00 00 00 00 00 00 06 60 00 01
7,224,Bearclaw Leveret,24583,256,00 00 00 00 00 00 00 00 00 00 00 00 07 60 00 01
8,256,Bearclaw Leveret,24584,256,00 00 00 00 00 00 00 00 00 00 00 00 08 60 00 01
9,288,Bearclaw Leveret,24585,256,00 00 00 00 00 00 00 00 00 00 00 00 09 60 00 01
10,320,Armoury Crate,24586,256,00 00 00 00 00 00 00 00 00 00 00 00 0a 60 00 01
11,352,Bearclaw Rabbit,24587,256,00 00 00 00 00 00 00 00 00 00 00 00 0b 60 00 01
12,384,Bearclaw Leveret,24588,256,00 00 00 00 00 00 00 00 00 00 00 00 0c 60 00 01
13,416,Bearclaw Leveret,24589,256,00 00 00 00 00 00 00 00 00 00 00 00 0d 60 00 01
14,448,Bearclaw Leveret,24590,256,00 00 00 00 00 00 00 00 00 00 00 00 0e 60 00 01
15,480,Bearclaw Leveret,24591,256,00 00 00 00 00 00 00 00 00 00 00 00 0f 60 00 01
16,512,Bearclaw Leveret,24592,256,00 00 00 00 00 00 00 00 00 00 00 00 10 60 00 01
17,544,Armoury Crate,24593,256,00 00 00 00 00 00 00 00 00 00 00 00 11 60 00 01
18,576,Bearclaw Rabbit,24594,256,00 00 00 00 00 00 00 00 00 00 00 00 12 60 00 01
19,608,Bearclaw Leveret,24595,256,00 00 00 00 00 00 00 00 00 00 00 00 13 60 00 01
20,640,Bearclaw Leveret,24596,256,00 00 00 00 00 00 00 00 00 00 00 00 14 60 00 01
21,672,Bearclaw Leveret,24597,256,00 00 00 00 00 00 00 00 00 00 00 00 15 60 00 01
22,704,Bearclaw Leveret,24598,256,00 00 00 00 00 00 00 00 00 00 00 00 16 60 00 01
23,736,Bearclaw Leveret,24599,256,00 00 00 00 00 00 00 00 00 00 00 00 17 60 00 01
24,768,Armoury Crate,24600,256,00 00 00 00 00 00 00 00 00 00 00 00 18 60 00 01
25,800,,24601,256,00 00 00 00 00 00 00 00 00 00 00 00 19 60 00 01
26,832,Snow Devil,24602,256,00 00 00 00 00 00 00 00 00 00 00 00 1a 60 00 01
27,864,Snow Devil,24603,256,00 00 00 00 00 00 00 00 00 00 00 00 1b 60 00 01
28,896,Snow Devil,24604,256,00 00 00 00 00 00 00 00 00 00 00 00 1c 60 00 01
29,928,Snow Devil,24605,256,00 00 00 00 00 00 00 00 00 00 00 00 1d 60 00 01
30,960,Snow Devil,24606,256,00 00 00 00 00 00 00 00 00 00 00 00 1e 60 00 01
31,992,Snow Devil,24607,256,00 00 00 00 00 00 00 00 00 00 00 00 1f 60 00 01
32,1024,Armoury Crate,24608,256,00 00 00 00 00 00 00 00 00 00 00 00 20 60 00 01
33,1056,,24609,256,00 00 00 00 00 00 00 00 00 00 00 00 21 60 00 01
34,1088,Snow Devil,24610,256,00 00 00 00 00 00 00 00 00 00 00 00 22 60 00 01
35,1120,Snow Devil,24611,256,00 00 00 00 00 00 00 00 00 00 00 00 23 60 00 01
36,1152,Snow Devil,24612,256,00 00 00 00 00 00 00 00 00 00 00 00 24 60 00 01
37,1184,Snow Devil,24613,256,00 00 00 00 00 00 00 00 00 00 00 00 25 60 00 01
38,1216,Snow Devil,24614,256,00 00 00 00 00 00 00 00 00 00 00 00 26 60 00 01
39,1248,Snow Devil,24615,256,00 00 00 00 00 00 00 00 00 00 00 00 27 60 00 01
40,1280,Armoury Crate,24616,256,00 00 00 00 00 00 00 00 00 00 00 00 28 60 00 01
41,1312,,24617,256,00 00 00 00 00 00 00 00 00 00 00 00 29 60 00 01
42,1344,Snow Devil,24618,256,00 00 00 00 00 00 00 00 00 00 00 00 2a 60 00 01
43,1376,Snow Devil,24619,256,00 00 00 00 00 00 00 00 00 00 00 00 2b 60 00 01
44,1408,Snow Devil,24620,256,00 00 00 00 00 00 00 00 00 00 00 00 2c 60 00 01
45,1440,Snow Devil,24621,256,00 00 00 00 00 00 00 00 00 00 00 00 2d 60 00 01
46,1472,Snow Devil,24622,256,00 00 00 00 00 00 00 00 00 00 00 00 2e 60 00 01
47,1504,Snow Devil,24623,256,00 00 00 00 00 00 00 00 00 00 00 00 2f 60 00 01
48,1536,Armoury Crate,24624,256,00 00 00 00 00 00 00 00 00 00 00 00 30 60 00 01
49,1568,Eldertaur,24625,256,00 00 00 00 00 00 00 00 00 00 00 00 31 60 00 01
50,1600,Mindertaur,24626,256,00 00 00 00 00 00 00 00 00 00 00 00 32 60 00 01
51,1632,Armoury Crate,24627,256,00 00 00 00 00 00 00 00 00 00 00 00 33 60 00 01
52,1664,Eldertaur,24628,256,00 00 00 00 00 00 00 00 00 00 00 00 34 60 00 01
53,1696,Mindertaur,24629,256,00 00 00 00 00 00 00 00 00 00 00 00 35 60 00 01
54,1728,Armoury Crate,24630,256,00 00 00 00 00 00 00 00 00 00 00 00 36 60 00 01
55,1760,Eldertaur,24631,256,00 00 00 00 00 00 00 00 00 00 00 00 37 60 00 01
56,1792,Mindertaur,24632,256,00 00 00 00 00 00 00 00 00 00 00 00 38 60 00 01
57,1824,Armoury Crate,24633,256,00 00 00 00 00 00 00 00 00 00 00 00 39 60 00 01
58,1856,Apis,24634,256,00 00 00 00 00 00 00 00 00 00 00 00 3a 60 00 01
59,1888,Armoury Crate,24635,256,00 00 00 00 00 00 00 00 00 00 00 00 3b 60 00 01
60,1920,Apis,24636,256,00 00 00 00 00 00 00 00 00 00 00 00 3c 60 00 01
61,1952,Armoury Crate,24637,256,00 00 00 00 00 00 00 00 00 00 00 00 3d 60 00 01
62,1984,Apis,24638,256,00 00 00 00 00 00 00 00 00 00 00 00 3e 60 00 01
63,2016,Armoury Crate,24639,256,00 00 00 00 00 00 00 00 00 00 00 00 3f 60 00 01
64,2048,,24640,256,00 00 00 00 00 00 00 00 00 00 00 00 40 60 00 01
65,2080,Predataur,24641,256,00 00 00 00 00 00 00 00 00 00 00 00 41 60 00 01
66,2112,Predataur,24642,256,00 00 00 00 00 00 00 00 00 00 00 00 42 60 00 01
67,2144,Predataur,24643,256,00 00 00 00 00 00 00 00 00 00 00 00 43 60 00 01
68,2176,Predataur,24644,256,00 00 00 00 00 00 00 00 00 00 00 00 44 60 00 01
69,2208,Predataur,24645,256,00 00 00 00 00 00 00 00 00 00 00 00 45 60 00 01
70,2240,Armoury Crate,24646,256,00 00 00 00 00 00 00 00 00 00 00 00 46 60 00 01
71,2272,,24647,256,00 00 00 00 00 00 00 00 00 00 00 00 47 60 00 01
72,2304,Predataur,24648,256,00 00 00 00 00 00 00 00 00 00 00 00 48 60 00 01
73,2336,Predataur,24649,256,00 00 00 00 00 00 00 00 00 00 00 00 49 60 00 01
74,2368,Predataur,24650,256,00 00 00 00 00 00 00 00 00 00 00 00 4a 60 00 01
75,2400,Predataur,24651,256,00 00 00 00 00 00 00 00 00 00 00 00 4b 60 00 01
76,2432,Predataur,24652,256,00 00 00 00 00 00 00 00 00 00 00 00 4c 60 00 01
77,2464,Armoury Crate,24653,256,00 00 00 00 00 00 00 00 00 00 00 00 4d 60 00 01
78,2496,,24654,256,00 00 00 00 00 00 00 00 00 00 00 00 4e 60 00 01
79,2528,Predataur,24655,256,00 00 00 00 00 00 00 00 00 00 00 00 4f 60 00 01
80,2560,Predataur,24656,256,00 00 00 00 00 00 00 00 00 00 00 00 50 60 00 01
81,2592,Predataur,24657,256,00 00 00 00 00 00 00 00 00 00 00 00 51 60 00 01
82,2624,Predataur,24658,256,00 00 00 00 00 00 00 00 00 00 00 00 52 60 00 01
83,2656,Predataur,24659,256,00 00 00 00 00 00 00 00 00 00 00 00 53 60 00 01
84,2688,Armoury Crate,24660,256,00 00 00 00 00 00 00 00 00 00 00 00 54 60 00 01
85,2720,Achieve Master,24661,256,00 00 00 00 00 00 00 00 00 00 00 00 55 60 00 01
86,2752,Unity Master,24663,256,00 00 00 00 00 00 00 00 00 00 00 00 57 60 00 01
87,2784,Wind Pillar,24673,256,00 00 00 00 00 00 00 00 00 00 00 00 61 60 00 01
88,2816,Wind Pillar,24674,256,00 00 00 00 00 00 00 00 00 00 00 00 62 60 00 01
89,2848,Wind Pillar,24675,256,00 00 00 00 00 00 00 00 00 00 00 00 63 60 00 01
90,2880,Wind Pillar,24676,256,00 00 00 00 00 00 00 00 00 00 00 00 64 60 00 01
91,2912,Wind Pillar,24677,256,00 00 00 00 00 00 00 00 00 00 00 00 65 60 00 01
92,2944,Wind Pillar,24678,256,00 00 00 00 00 00 00 00 00 00 00 00 66 60 00 01
93,2976,Wind Pillar,24679,256,00 00 00 00 00 00 00 00 00 00 00 00 67 60 00 01
94,3008,Wind Pillar,24680,256,00 00 00 00 00 00 00 00 00 00 00 00 68 60 00 01
95,3040,Wind Pillar,24681,256,00 00 00 00 00 00 00 00 00 00 00 00 69 60 00 01
96,3072,Wind Pillar,24682,256,00 00 00 00 00 00 00 00 00 00 00 00 6a 60 00 01
97,3104,exit_01,24683,256,00 00 00 00 00 00 00 00 00 00 00 00 6b 60 00 01
98,3136,exit_02,24684,256,00 00 00 00 00 00 00 00 00 00 00 00 6c 60 00 01
99,3168,exit_03,24685,256,00 00 00 00 00 00 00 00 00 00 00 00 6d 60 00 01
100,3200,exit_04,24686,256,00 00 00 00 00 00 00 00 00 00 00 00 6e 60 00 01
101,3232,exit_05,24687,256,00 00 00 00 00 00 00 00 00 00 00 00 6f 60 00 01
102,3264,???,24693,256,00 00 00 00 00 00 00 00 00 00 00 00 75 60 00 01
103,3296,Prishe,24694,256,00 00 00 00 00 00 00 00 00 00 00 00 76 60 00 01
104,3328,Ulmia,24695,256,00 00 00 00 00 00 00 00 00 00 00 00 77 60 00 01
105,3360,Louverance,24696,256,00 00 00 00 00 00 00 00 00 00 00 00 78 60 00 01
106,3392,Shikaree Z,24697,256,00 00 00 00 00 00 00 00 00 00 00 00 79 60 00 01
107,3424,Shikaree Y,24698,256,00 00 00 00 00 00 00 00 00 00 00 00 7a 60 00 01
108,3456,Shikaree X,24699,256,00 00 00 00 00 00 00 00 00 00 00 00 7b 60 00 01
109,3488,,24700,256,00 00 00 00 00 00 00 00 00 00 00 00 7c 60 00 01
110,3520,???,24701,256,00 00 00 00 00 00 00 00 00 00 00 00 7d 60 00 01
111,3552,???,24702,256,00 00 00 00 00 00 00 00 00 00 00 00 7e 60 00 01
112,3584,Louverance2,24703,256,00 00 00 00 00 00 00 00 00 00 00 00 7f 60 00 01
113,3616,Moogle,24705,256,00 00 00 00 00 00 00 00 00 00 00 00 81 60 00 01
114,3648,Moogle,24706,256,00 00 00 00 00 00 00 00 00 00 00 00 82 60 00 01
115,3680,Moogle,24707,256,00 00 00 00 00 00 00 00 00 00 00 00 83 60 00 01
116,3712,Moogle,24708,256,00 00 00 00 00 00 00 00 00 00 00 00 84 60 00 01
117,3744,Moogle,24709,256,00 00 00 00 00 00 00 00 00 00 00 00 85 60 00 01
118,3776,Moogle,24710,256,00 00 00 00 00 00 00 00 00 00 00 00 86 60 00 01
119,3808,Moogle,24711,256,00 00 00 00 00 00 00 00 00 00 00 00 87 60 00 01
120,3840,Moogle,24712,256,00 00 00 00 00 00 00 00 00 00 00 00 88 60 00 01
121,3872,Ramblix,24713,256,00 00 00 00 00 00 00 00 00 00 00 00 89 60 00 01
122,3904,Goblin Footprint,24714,256,00 00 00 00 00 00 00 00 00 00 00 00 8a 60 00 01
