npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
421,Excavation Point,29154,256,1,160,200,72.33,72.37,72.35,45,7233,7237,7235,7233 7235 7237 80 -261209600 8388607 -1009280 151224319
427,Jakaka,29160,256,1,296,364,73.65,73.62,73.66,45,7365,7362,7366,7365 7366 7362 82 -1040896 1933311 2171776 -1040830
428,Planar Rift,29161,256,1,9640,9708,73.87,0.02,0.01,45,7387,2,1,7387 1 2 1539 7388 7389 7390 7391
429,Planar Rift,29162,256,1,28468,28536,0.04,0.02,73.87,45,4,2,7387,4 7387 2 1539 7388 7389 7390 7391
430,Planar Rift,29163,256,1,47296,47364,0.04,0.01,73.87,45,4,1,7387,4 7387 1 1539 7388 7389 7390 7391
431,Riftworn Pyxis,29164,256,1,66124,66264,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
432,Riftworn Pyxis,29165,256,1,67556,67696,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
433,Riftworn Pyxis,29166,256,1,68988,69128,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
435,Home Point #1,29168,256,1,70420,70544,82.58,0.27,82.65,50,8258,27,8265,8258 8265 27 28 -2 8261 8266 8270
436,Home Point #2,29169,256,1,80988,81112,82.58,0.27,82.65,50,8258,27,8265,8258 8265 27 28 -2 8261 8266 8270
437,Home Point #3,29170,256,1,91556,91680,82.58,0.27,82.65,50,8258,27,8265,8258 8265 27 28 -2 8261 8266 8270
438,Home Point #4,29171,256,1,102124,102248,82.58,0.27,82.65,50,8258,27,8265,8258 8265 27 28 -2 8261 8266 8270
439,Home Point #5,29172,256,1,112692,112816,82.58,0.27,82.65,50,8258,27,8265,8258 8265 27 28 -2 8261 8266 8270
440,Ethereal Junctio,29173,256,1,123260,123280,0.23,83.13,83.12,30,23,8313,8312,23 8312 8313 1 0 861 8 15
441,Ethereal Junctio,29174,256,1,124624,124644,0.23,83.13,83.12,30,23,8313,8312,23 8312 8313 1 0 861 8 15
442,Ethereal Junctio,29175,256,1,125988,126008,0.23,83.13,83.12,30,23,8313,8312,23 8312 8313 1 0 861 8 15
