npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
201,DROPFLOOR_A,45265,256,1,34272,34408,0.37,0.0,10.23,15,37,0,1023,37 1023 0 15 16 31 1 2
202,DROPFLOOR_B,45267,256,1,34312,34492,22.59,63.61,43.07,45,2259,6361,4307,2259 4307 6361 3456 255 6371 6368 6365
203,DROPFLOOR_C,45269,256,1,34352,34492,22.59,63.61,43.07,45,2259,6361,4307,2259 4307 6361 3456 255 6371 6368 6365
208,???,45277,256,1,17744,17844,-113.59,4.9,79.96,90,-11359,490,7996,-11359 7996 490 13 -208367 -17439 8019 94
209,Selh'teus,45278,256,6,17772,17844,-113.59,4.9,79.96,90,-11359,490,7996,-11359 7996 490 13 -208367 -17439 8019 94
210,Louverance,45279,256,32,17972,18044,-464.39,35.09,79.99,90,-46439,3509,7999,-46439 7999 3509 40 -259665 -31628 94 2228224
211,???,45280,256,1,18168,18216,0.25,0.02,77.5,30,25,2,7750,25 7750 2 10 7751 7752 3 5
212,Brakobrik,45281,256,54,22356,22524,-446.88,22.44,139.96,105,-44688,2244,13996,-44688 13996 2244 13 160312 -42685 13980 161341
217,Jabbos,45286,256,20,23932,23972,-446.88,22.44,139.96,105,-44688,2244,13996,-44688 13996 2244 13 160312 -42685 13980 161341
229,Bartabaq,45298,256,1,28192,28284,73.22,0.06,73.19,65,7322,6,7319,7322 7319 6 622 66304 33755138 504365824 2147483632
238,Ramblix,45308,256,2,28924,29048,77.07,0.6,2.0,70,7707,60,200,7707 200 60 485 1107369984 -266469342 1249902591 2147483632
240,Mining Point,45310,256,1,29552,29592,77.25,77.29,77.27,45,7725,7729,7727,7725 7727 7729 80 -261209600 8388607 -1009280 151224319
247,Pawnpix,45317,256,91,29688,29816,1597.51,119.99,-577.99,75,159751,11999,-57799,159751 -57799 11999 3413 145 0 3080226 2147483640
248,Stufstix,45318,256,72,29984,30116,1615.36,119.99,-576.16,75,161536,11999,-57616,161536 -57616 11999 2883 140 0 3080226 2147483640
249,Twinkbrix,45319,256,1,30276,30460,79.7,3.0,2.66,35,7970,300,266,7970 266 300 200 458 -1040896 1933311 2171776
251,Chekochuk,45321,256,57,32064,32148,-992.01,20.52,0.25,90,-99201,2052,25,-99201 25 2052 13 -275840 -98792 517 -272055
252,Movamuq,45322,256,48,32372,32456,-1007.15,22.77,1.24,80,-100715,2277,124,-100715 124 2277 13 -277167 -100760 283 -273029
253,Trikotrak,45323,256,22,32680,32748,349.03,14.34,1219.99,60,34903,1434,121999,34903 121999 1434 79 2228224 -524241 -127107073 8388607
254,Swipostik,45324,256,23,32844,32912,324.03,16.34,1219.99,60,32403,1634,121999,32403 121999 1634 79 2228224 -524241 -127107073 8388607
255,5,45325,256,16,33008,33076,306.74,17.34,1219.99,60,30674,1734,121999,30674 121999 1734 79 2228224 -524241 -127107073 8388607
256,6,45326,256,16,33172,33240,288.15,19.34,1219.99,60,28815,1934,121999,28815 121999 1934 79 2228224 -524241 -127107073 8388607
257,7,45327,256,17,33336,33404,322.46,16.34,1219.99,60,32246,1634,121999,32246 121999 1634 79 2228224 -524241 -127107073 8388607
258,8,45328,256,16,33500,33568,297.88,18.33,1219.99,60,29788,1833,121999,29788 121999 1833 79 2228224 -524241 -127107073 8388607
261,???,45331,256,3,33824,33880,-1414.52,79.24,1533.45,95,-141452,7924,153345,-141452 153345 7924 3181 21 -2147469568 -2147319807 922779651
262,Goblin Preceptor,45332,256,11,33856,33880,-1414.52,79.24,1533.45,95,-141452,7924,153345,-141452 153345 7924 3181 21 -2147469568 -2147319807 922779651
263,Mighty Minded Ge,45333,256,67,33924,33960,-1379.92,79.99,1531.51,95,-137992,7999,153151,-137992 153151 7999 2936 13 -139859 153362 -138308
264,Choplix Limblopp,45334,256,30,34104,34132,-1375.3,79.99,1524.45,95,-137530,7999,152445,-137530 152445 7999 2835 13 -138155 153526 -138730
267,Survival Guide,45337,256,2,35252,35384,-0.02,81.5,81.35,50,-2,8150,8135,-2 8135 8150 26 27 8149 8 15
270,Magh Bihu,45340,256,39,58300,58420,1403.5,120.54,-594.97,80,140350,12054,-59497,140350 -59497 12054 313 -2147460352 2147483640 2147483640 812346484
271,Dazbog,45341,256,45,58752,58856,1495.82,119.41,-619.65,80,149582,11941,-61965,149582 -61965 11941 283 -513024 -491521 1886617599 1392521520
