index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Cermet Gate,57350,256,00 00 00 00 00 00 00 00 00 00 00 00 06 e0 00 01
2,64,Cermet Gate,57351,256,00 00 00 00 00 00 00 00 00 00 00 00 07 e0 00 01
3,96,Cermet Gate,57352,256,00 00 00 00 00 00 00 00 00 00 00 00 08 e0 00 01
4,128,Large Apparatus,57353,256,00 00 00 00 00 00 00 00 00 00 00 00 09 e0 00 01
5,160,Large Apparatus,57354,256,00 00 00 00 00 00 00 00 00 00 00 00 0a e0 00 01
6,192,Large Apparatus,57355,256,00 00 00 00 00 00 00 00 00 00 00 00 0b e0 00 01
7,224,Large Apparatus,57356,256,00 00 00 00 00 00 00 00 00 00 00 00 0c e0 00 01
8,256,Large Apparatus,57357,256,00 00 00 00 00 00 00 00 00 00 00 00 0d e0 00 01
9,288,Large Apparatus,57358,256,00 00 00 00 00 00 00 00 00 00 00 00 0e e0 00 01
10,320,FXTEST,57359,256,00 00 00 00 00 00 00 00 00 00 00 00 0f e0 00 01
11,352,Wolfgang,57360,256,00 00 00 00 00 00 00 00 00 00 00 00 10 e0 00 01
12,384,???,57361,256,00 00 00 00 00 00 00 00 00 00 00 00 11 e0 00 01
13,416,Nag'molada,57362,256,00 00 00 00 00 00 00 00 00 00 00 00 12 e0 00 01
14,448,???,57363,256,00 00 00 00 00 00 00 00 00 00 00 00 13 e0 00 01
15,480,???,57364,256,00 00 00 00 00 00 00 00 00 00 00 00 14 e0 00 01
16,512,Ramblix,57365,256,00 00 00 00 00 00 00 00 00 00 00 00 15 e0 00 01
17,544,Goblin Footprint,57366,256,00 00 00 00 00 00 00 00 00 00 00 00 16 e0 00 01
18,576,???,57367,256,00 00 00 00 00 00 00 00 00 00 00 00 17 e0 00 01
19,608,???,57368,256,00 00 00 00 00 00 00 00 00 00 00 00 18 e0 00 01
20,640,Moogle,57370,256,00 00 00 00 00 00 00 00 00 00 00 00 1a e0 00 01
21,672,Moogle,57371,256,00 00 00 00 00 00 00 00 00 00 00 00 1b e0 00 01
22,704,Moogle,57372,256,00 00 00 00 00 00 00 00 00 00 00 00 1c e0 00 01
23,736,Moogle,57373,256,00 00 00 00 00 00 00 00 00 00 00 00 1d e0 00 01
24,768,Moogle,57374,256,00 00 00 00 00 00 00 00 00 00 00 00 1e e0 00 01
25,800,Moogle,57375,256,00 00 00 00 00 00 00 00 00 00 00 00 1f e0 00 01
26,832,Moogle,57376,256,00 00 00 00 00 00 00 00 00 00 00 00 20 e0 00 01
27,864,Moogle,57377,256,00 00 00 00 00 00 00 00 00 00 00 00 21 e0 00 01
28,896,Achieve Master,57378,256,00 00 00 00 00 00 00 00 00 00 00 00 22 e0 00 01
29,928,Unity Master,57380,256,00 00 00 00 00 00 00 00 00 00 00 00 24 e0 00 01
30,960,,57381,256,00 00 00 00 00 00 00 00 00 00 00 00 25 e0 00 01
31,992,Iroha,57382,256,00 00 00 00 00 00 00 00 00 00 00 00 26 e0 00 01
32,1024,Tenzen,57383,256,00 00 00 00 00 00 00 00 00 00 00 00 27 e0 00 01
33,1056,Selh'teus,57384,256,00 00 00 00 00 00 00 00 00 00 00 00 28 e0 00 01
34,1088,Diabolos,57385,256,00 00 00 00 00 00 00 00 00 00 00 00 29 e0 00 01
35,1120,Atomos,57386,256,00 00 00 00 00 00 00 00 00 00 00 00 2a e0 00 01
36,1152,Fenrir,57387,256,00 00 00 00 00 00 00 00 00 00 00 00 2b e0 00 01
37,1184,Balamor,57388,256,00 00 00 00 00 00 00 00 00 00 00 00 2c e0 00 01
38,1216,Odin,57389,256,00 00 00 00 00 00 00 00 00 00 00 00 2d e0 00 01
39,1248,Volto Oscuro,57390,256,00 00 00 00 00 00 00 00 00 00 00 00 2e e0 00 01
40,1280,,57391,256,00 00 00 00 00 00 00 00 00 00 00 00 2f e0 00 01
41,1312,,57392,256,00 00 00 00 00 00 00 00 00 00 00 00 30 e0 00 01
42,1344,,57393,256,00 00 00 00 00 00 00 00 00 00 00 00 31 e0 00 01
43,1376,???,57394,256,00 00 00 00 00 00 00 00 00 00 00 00 32 e0 00 01
44,1408,,57395,256,00 00 00 00 00 00 00 00 00 00 00 00 33 e0 00 01
