npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
1,Cermet Gate,57350,256,9,5608,5656,0.11,0.01,70.74,15,11,1,7074,11 7074 1 0 200 120 19 160
2,Cermet Gate,57351,256,1,6172,6188,0.11,0.01,70.74,15,11,1,7074,11 7074 1 0 200 120 19 160
3,Cermet Gate,57352,256,1,6504,6520,0.11,0.01,70.74,15,11,1,7074,11 7074 1 0 200 120 19 160
4,Large Apparatus,57353,256,2,8868,8960,73.05,1.8,9.0,15,7305,180,900,7305 900 180 118 30 40 70 7301
5,Large Apparatus,57354,256,1,10292,10332,0.94,0.9,72.7,15,94,90,7270,94 7270 90 240 201 120 1 336
6,Large Apparatus,57355,256,1,10700,10764,73.02,73.04,73.03,-10,7302,7304,7303,7302 7303 7304 1 1073741824 7305 900 446
7,Large Apparatus,57356,256,1,11244,11284,0.94,0.9,72.7,15,94,90,7270,94 7270 90 240 201 120 1 336
8,Large Apparatus,57357,256,1,11652,11712,73.02,73.04,73.03,-10,7302,7304,7303,7302 7303 7304 1 1073741824 7305 900 427
9,Large Apparatus,57358,256,1,13004,13044,0.94,0.9,72.7,15,94,90,7270,94 7270 90 240 201 120 1 336
10,FXTEST,57359,256,1,6836,6932,5.4,0.04,72.54,45,540,4,7254,540 7254 4 544 5 545 19 1901
11,Wolfgang,57360,256,19,5100,5152,-476.1,32.64,-807.9,90,-47610,3264,-80790,-47610 -80790 3264 410 279227 -53429 -80635 652
12,???,57361,256,46,5396,5436,-590.52,30.63,-806.35,105,-59052,3063,-80635,-59052 -80635 3063 13 -55000 10 458 456
13,Nag'molada,57362,256,47,4616,4664,-491.68,30.13,-806.35,105,-49168,3013,-80635,-49168 -80635 3013 13 -51000 467 -40000 -83013
14,???,57363,256,4,4932,4960,-446.78,8.76,-812.09,90,-44678,876,-81209,-44678 -81209 876 234 45 -523886 26509311 2147483640
15,???,57364,256,2,5028,5052,-446.78,11.76,-812.09,90,-44678,1176,-81209,-44678 -81209 1176 29 -523886 26509311 2147483640 -134114304
16,Ramblix,57365,256,2,12172,12300,73.11,0.6,2.0,70,7311,60,200,7311 200 60 486 1107369984 -266469342 1249902591 2147483632
18,???,57367,256,11,10171,10343,614.4,307.2,514.56,50,61440,30720,51456,61440 51456 30720 256 86016 18874368 1124090690 1157711361
19,???,57368,256,11,10223,10343,614.4,307.2,514.56,50,61440,30720,51456,61440 51456 30720 256 86016 18874368 1124090690 1157711361
31,Iroha,57382,256,53,21756,21856,-190.99,14.42,18.31,90,-19099,1442,1831,-19099 1831 1442 29 0 -2147470848 -2147418081 -2147254270
32,Tenzen,57383,256,99,21800,21856,-190.99,14.42,18.31,90,-19099,1442,1831,-19099 1831 1442 29 0 -2147470848 -2147418081 -2147254270
33,Selh'teus,57384,256,45,21904,22020,0.06,11.45,27.42,15,6,1145,2742,6 2742 1145 0 1 128 120 43
34,Diabolos,57385,256,29,21980,22020,0.06,11.45,27.42,15,6,1145,2742,6 2742 1145 0 1 128 120 43
