index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Wanderer,1,257,00 00 00 00 00 00 00 00 00 00 00 00 01 00 01 01
2,64,Wanderer,2,257,00 00 00 00 00 00 00 00 00 00 00 00 02 00 01 01
3,96,Weeper,3,257,00 00 00 00 00 00 00 00 00 00 00 00 03 00 01 01
4,128,Wanderer,4,257,00 00 00 00 00 00 00 00 00 00 00 00 04 00 01 01
5,160,Wanderer,5,257,00 00 00 00 00 00 00 00 00 00 00 00 05 00 01 01
6,192,Weeper,6,257,00 00 00 00 00 00 00 00 00 00 00 00 06 00 01 01
7,224,Wanderer,7,257,00 00 00 00 00 00 00 00 00 00 00 00 07 00 01 01
8,256,Wanderer,8,257,00 00 00 00 00 00 00 00 00 00 00 00 08 00 01 01
9,288,Wanderer,9,257,00 00 00 00 00 00 00 00 00 00 00 00 09 00 01 01
10,320,Weeper,10,257,00 00 00 00 00 00 00 00 00 00 00 00 0a 00 01 01
11,352,Weeper,11,257,00 00 00 00 00 00 00 00 00 00 00 00 0b 00 01 01
12,384,Weeper,12,257,00 00 00 00 00 00 00 00 00 00 00 00 0c 00 01 01
13,416,Apex Idle Drifte,13,257,72 00 00 00 00 00 00 00 00 00 00 00 0d 00 01 01
14,448,Apex Idle Drifte,14,257,72 00 00 00 00 00 00 00 00 00 00 00 0e 00 01 01
15,480,Apex Idle Drifte,15,257,72 00 00 00 00 00 00 00 00 00 00 00 0f 00 01 01
16,512,Apex Idle Drifte,16,257,72 00 00 00 00 00 00 00 00 00 00 00 10 00 01 01
17,544,Apex Idle Drifte,17,257,72 00 00 00 00 00 00 00 00 00 00 00 11 00 01 01
18,576,Apex Idle Drifte,18,257,72 00 00 00 00 00 00 00 00 00 00 00 12 00 01 01
19,608,Apex Idle Drifte,19,257,72 00 00 00 00 00 00 00 00 00 00 00 13 00 01 01
20,640,Apex Idle Drifte,20,257,72 00 00 00 00 00 00 00 00 00 00 00 14 00 01 01
21,672,Apex Idle Drifte,21,257,72 00 00 00 00 00 00 00 00 00 00 00 15 00 01 01
22,704,Apex Idle Drifte,22,257,72 00 00 00 00 00 00 00 00 00 00 00 16 00 01 01
23,736,Apex Idle Drifte,23,257,72 00 00 00 00 00 00 00 00 00 00 00 17 00 01 01
24,768,Apex Idle Drifte,24,257,72 00 00 00 00 00 00 00 00 00 00 00 18 00 01 01
25,800,Apex Idle Drifte,25,257,72 00 00 00 00 00 00 00 00 00 00 00 19 00 01 01
26,832,Apex Idle Drifte,26,257,72 00 00 00 00 00 00 00 00 00 00 00 1a 00 01 01
27,864,Thinker,27,257,00 00 00 00 00 00 00 00 00 00 00 00 1b 00 01 01
28,896,,28,257,00 00 00 00 00 00 00 00 00 00 00 00 1c 00 01 01
29,928,Memory Receptacl,29,257,65 00 00 00 00 00 00 00 00 00 00 00 1d 00 01 01
30,960,Stray,30,257,00 00 00 00 00 00 00 00 00 00 00 00 1e 00 01 01
31,992,Stray,31,257,00 00 00 00 00 00 00 00 00 00 00 00 1f 00 01 01
32,1024,Stray,32,257,00 00 00 00 00 00 00 00 00 00 00 00 20 00 01 01
33,1056,Wanderer,33,257,00 00 00 00 00 00 00 00 00 00 00 00 21 00 01 01
34,1088,Wanderer,34,257,00 00 00 00 00 00 00 00 00 00 00 00 22 00 01 01
35,1120,Wanderer,35,257,00 00 00 00 00 00 00 00 00 00 00 00 23 00 01 01
36,1152,Weeper,36,257,00 00 00 00 00 00 00 00 00 00 00 00 24 00 01 01
37,1184,Wanderer,37,257,00 00 00 00 00 00 00 00 00 00 00 00 25 00 01 01
38,1216,Wanderer,38,257,00 00 00 00 00 00 00 00 00 00 00 00 26 00 01 01
39,1248,Weeper,39,257,00 00 00 00 00 00 00 00 00 00 00 00 27 00 01 01
40,1280,Wanderer,40,257,00 00 00 00 00 00 00 00 00 00 00 00 28 00 01 01
41,1312,Wanderer,41,257,00 00 00 00 00 00 00 00 00 00 00 00 29 00 01 01
42,1344,Wanderer,42,257,00 00 00 00 00 00 00 00 00 00 00 00 2a 00 01 01
43,1376,Wanderer,43,257,00 00 00 00 00 00 00 00 00 00 00 00 2b 00 01 01
44,1408,Wanderer,44,257,00 00 00 00 00 00 00 00 00 00 00 00 2c 00 01 01
45,1440,Thinker,45,257,00 00 00 00 00 00 00 00 00 00 00 00 2d 00 01 01
46,1472,Wanderer,46,257,00 00 00 00 00 00 00 00 00 00 00 00 2e 00 01 01
47,1504,Wanderer,47,257,00 00 00 00 00 00 00 00 00 00 00 00 2f 00 01 01
48,1536,Weeper,48,257,00 00 00 00 00 00 00 00 00 00 00 00 30 00 01 01
49,1568,Weeper,49,257,00 00 00 00 00 00 00 00 00 00 00 00 31 00 01 01
50,1600,Weeper,50,257,00 00 00 00 00 00 00 00 00 00 00 00 32 00 01 01
51,1632,Weeper,51,257,00 00 00 00 00 00 00 00 00 00 00 00 33 00 01 01
52,1664,Seether,52,257,00 00 00 00 00 00 00 00 00 00 00 00 34 00 01 01
53,1696,Weeper,53,257,00 00 00 00 00 00 00 00 00 00 00 00 35 00 01 01
54,1728,Weeper,54,257,00 00 00 00 00 00 00 00 00 00 00 00 36 00 01 01
55,1760,Weeper,55,257,00 00 00 00 00 00 00 00 00 00 00 00 37 00 01 01
56,1792,Weeper,56,257,00 00 00 00 00 00 00 00 00 00 00 00 38 00 01 01
57,1824,Wanderer,57,257,00 00 00 00 00 00 00 00 00 00 00 00 39 00 01 01
58,1856,Weeper,58,257,00 00 00 00 00 00 00 00 00 00 00 00 3a 00 01 01
59,1888,Weeper,59,257,00 00 00 00 00 00 00 00 00 00 00 00 3b 00 01 01
