index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Wreaker,4097,257,00 00 00 00 00 00 00 00 00 00 00 00 01 10 01 01
2,64,Wreaker,4098,257,00 00 00 00 00 00 00 00 00 00 00 00 02 10 01 01
3,96,Wreaker,4099,257,00 00 00 00 00 00 00 00 00 00 00 00 03 10 01 01
4,128,Cogitator,4100,257,00 00 00 00 00 00 00 00 00 00 00 00 04 10 01 01
5,160,Weeper,4101,257,00 00 00 00 00 00 00 00 00 00 00 00 05 10 01 01
6,192,Weeper,4102,257,00 00 00 00 00 00 00 00 00 00 00 00 06 10 01 01
7,224,Weeper,4103,257,00 00 00 00 00 00 00 00 00 00 00 00 07 10 01 01
8,256,Enigmatic Sphere,4104,257,00 00 00 00 00 00 00 00 00 00 00 00 08 10 01 01
9,288,Cogitator,4105,257,00 00 00 00 00 00 00 00 00 00 00 00 09 10 01 01
10,320,Weeper,4106,257,00 00 00 00 00 00 00 00 00 00 00 00 0a 10 01 01
11,352,Weeper,4107,257,00 00 00 00 00 00 00 00 00 00 00 00 0b 10 01 01
12,384,Weeper,4108,257,00 00 00 00 00 00 00 00 00 00 00 00 0c 10 01 01
13,416,Enigmatic Sphere,4109,257,00 00 00 00 00 00 00 00 00 00 00 00 0d 10 01 01
14,448,Cogitator,4110,257,00 00 00 00 00 00 00 00 00 00 00 00 0e 10 01 01
15,480,Weeper,4111,257,00 00 00 00 00 00 00 00 00 00 00 00 0f 10 01 01
16,512,Weeper,4112,257,00 00 00 00 00 00 00 00 00 00 00 00 10 10 01 01
17,544,Weeper,4113,257,00 00 00 00 00 00 00 00 00 00 00 00 11 10 01 01
18,576,Enigmatic Sphere,4114,257,00 00 00 00 00 00 00 00 00 00 00 00 12 10 01 01
19,608,Recollector,4115,257,00 00 00 00 00 00 00 00 00 00 00 00 13 10 01 01
20,640,Futile Thinker,4116,257,00 00 00 00 00 00 00 00 00 00 00 00 14 10 01 01
21,672,Hollow Air,4117,257,00 00 00 00 00 00 00 00 00 00 00 00 15 10 01 01
22,704,Hollow Darkness,4118,257,00 00 00 00 00 00 00 00 00 00 00 00 16 10 01 01
23,736,Hollow Earth,4119,257,00 00 00 00 00 00 00 00 00 00 00 00 17 10 01 01
24,768,Hollow Fire,4120,257,00 00 00 00 00 00 00 00 00 00 00 00 18 10 01 01
25,800,Hollow Ice,4121,257,00 00 00 00 00 00 00 00 00 00 00 00 19 10 01 01
26,832,Hollow Light,4122,257,00 00 00 00 00 00 00 00 00 00 00 00 1a 10 01 01
27,864,Hollow Thunder,4123,257,00 00 00 00 00 00 00 00 00 00 00 00 1b 10 01 01
28,896,Hollow Water,4124,257,00 00 00 00 00 00 00 00 00 00 00 00 1c 10 01 01
29,928,Constant Wandere,4125,257,72 00 00 00 00 00 00 00 00 00 00 00 1d 10 01 01
30,960,Constant Wandere,4126,257,72 00 00 00 00 00 00 00 00 00 00 00 1e 10 01 01
31,992,Constant Wandere,4127,257,72 00 00 00 00 00 00 00 00 00 00 00 1f 10 01 01
32,1024,Constant Wandere,4128,257,72 00 00 00 00 00 00 00 00 00 00 00 20 10 01 01
