index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Wanderer,8193,257,00 00 00 00 00 00 00 00 00 00 00 00 01 20 01 01
2,64,Wanderer,8194,257,00 00 00 00 00 00 00 00 00 00 00 00 02 20 01 01
3,96,Wanderer,8195,257,00 00 00 00 00 00 00 00 00 00 00 00 03 20 01 01
4,128,Wanderer,8196,257,00 00 00 00 00 00 00 00 00 00 00 00 04 20 01 01
5,160,Wanderer,8197,257,00 00 00 00 00 00 00 00 00 00 00 00 05 20 01 01
6,192,Apex Idle Drifte,8198,257,72 00 00 00 00 00 00 00 00 00 00 00 06 20 01 01
7,224,Apex Idle Drifte,8199,257,72 00 00 00 00 00 00 00 00 00 00 00 07 20 01 01
8,256,Apex Idle Drifte,8200,257,72 00 00 00 00 00 00 00 00 00 00 00 08 20 01 01
9,288,Apex Idle Drifte,8201,257,72 00 00 00 00 00 00 00 00 00 00 00 09 20 01 01
10,320,Apex Idle Drifte,8202,257,72 00 00 00 00 00 00 00 00 00 00 00 0a 20 01 01
11,352,Apex Idle Drifte,8203,257,72 00 00 00 00 00 00 00 00 00 00 00 0b 20 01 01
12,384,Apex Idle Drifte,8204,257,72 00 00 00 00 00 00 00 00 00 00 00 0c 20 01 01
13,416,Apex Idle Drifte,8205,257,72 00 00 00 00 00 00 00 00 00 00 00 0d 20 01 01
14,448,Weeper,8206,257,00 00 00 00 00 00 00 00 00 00 00 00 0e 20 01 01
15,480,Wanderer,8207,257,00 00 00 00 00 00 00 00 00 00 00 00 0f 20 01 01
16,512,Wanderer,8208,257,00 00 00 00 00 00 00 00 00 00 00 00 10 20 01 01
17,544,Weeper,8209,257,00 00 00 00 00 00 00 00 00 00 00 00 11 20 01 01
18,576,Wanderer,8210,257,00 00 00 00 00 00 00 00 00 00 00 00 12 20 01 01
19,608,Wanderer,8211,257,00 00 00 00 00 00 00 00 00 00 00 00 13 20 01 01
20,640,Wanderer,8212,257,00 00 00 00 00 00 00 00 00 00 00 00 14 20 01 01
21,672,Weeper,8213,257,00 00 00 00 00 00 00 00 00 00 00 00 15 20 01 01
22,704,Weeper,8214,257,00 00 00 00 00 00 00 00 00 00 00 00 16 20 01 01
23,736,Wanderer,8215,257,00 00 00 00 00 00 00 00 00 00 00 00 17 20 01 01
24,768,Gorger,8216,257,00 00 00 00 00 00 00 00 00 00 00 00 18 20 01 01
25,800,Weeper,8217,257,00 00 00 00 00 00 00 00 00 00 00 00 19 20 01 01
26,832,Weeper,8218,257,00 00 00 00 00 00 00 00 00 00 00 00 1a 20 01 01
27,864,,8219,257,00 00 00 00 00 00 00 00 00 00 00 00 1b 20 01 01
28,896,Memory Receptacl,8220,257,65 00 00 00 00 00 00 00 00 00 00 00 1c 20 01 01
29,928,Stray,8221,257,00 00 00 00 00 00 00 00 00 00 00 00 1d 20 01 01
30,960,Stray,8222,257,00 00 00 00 00 00 00 00 00 00 00 00 1e 20 01 01
31,992,Stray,8223,257,00 00 00 00 00 00 00 00 00 00 00 00 1f 20 01 01
32,1024,Weeper,8224,257,00 00 00 00 00 00 00 00 00 00 00 00 20 20 01 01
33,1056,Wanderer,8225,257,00 00 00 00 00 00 00 00 00 00 00 00 21 20 01 01
34,1088,Weeper,8226,257,00 00 00 00 00 00 00 00 00 00 00 00 22 20 01 01
35,1120,Weeper,8227,257,00 00 00 00 00 00 00 00 00 00 00 00 23 20 01 01
36,1152,Wanderer,8228,257,00 00 00 00 00 00 00 00 00 00 00 00 24 20 01 01
37,1184,Weeper,8229,257,00 00 00 00 00 00 00 00 00 00 00 00 25 20 01 01
38,1216,Wanderer,8230,257,00 00 00 00 00 00 00 00 00 00 00 00 26 20 01 01
39,1248,Weeper,8231,257,00 00 00 00 00 00 00 00 00 00 00 00 27 20 01 01
40,1280,Wanderer,8232,257,00 00 00 00 00 00 00 00 00 00 00 00 28 20 01 01
41,1312,Weeper,8233,257,00 00 00 00 00 00 00 00 00 00 00 00 29 20 01 01
42,1344,Weeper,8234,257,00 00 00 00 00 00 00 00 00 00 00 00 2a 20 01 01
43,1376,Weeper,8235,257,00 00 00 00 00 00 00 00 00 00 00 00 2b 20 01 01
44,1408,Wanderer,8236,257,00 00 00 00 00 00 00 00 00 00 00 00 2c 20 01 01
45,1440,Wanderer,8237,257,00 00 00 00 00 00 00 00 00 00 00 00 2d 20 01 01
46,1472,Weeper,8238,257,00 00 00 00 00 00 00 00 00 00 00 00 2e 20 01 01
47,1504,Weeper,8239,257,00 00 00 00 00 00 00 00 00 00 00 00 2f 20 01 01
48,1536,Weeper,8240,257,00 00 00 00 00 00 00 00 00 00 00 00 30 20 01 01
49,1568,Wanderer,8241,257,00 00 00 00 00 00 00 00 00 00 00 00 31 20 01 01
50,1600,Wanderer,8242,257,00 00 00 00 00 00 00 00 00 00 00 00 32 20 01 01
51,1632,Weeper,8243,257,00 00 00 00 00 00 00 00 00 00 00 00 33 20 01 01
52,1664,Seether,8244,257,00 00 00 00 00 00 00 00 00 00 00 00 34 20 01 01
53,1696,Wanderer,8245,257,00 00 00 00 00 00 00 00 00 00 00 00 35 20 01 01
54,1728,Seether,8246,257,00 00 00 00 00 00 00 00 00 00 00 00 36 20 01 01
55,1760,Wanderer,8247,257,00 00 00 00 00 00 00 00 00 00 00 00 37 20 01 01
56,1792,Seether,8248,257,00 00 00 00 00 00 00 00 00 00 00 00 38 20 01 01
57,1824,Weeper,8249,257,00 00 00 00 00 00 00 00 00 00 00 00 39 20 01 01
58,1856,Wanderer,8250,257,00 00 00 00 00 00 00 00 00 00 00 00 3a 20 01 01
59,1888,Weeper,8251,257,00 00 00 00 00 00 00 00 00 00 00 00 3b 20 01 01
60,1920,Wanderer,8252,257,00 00 00 00 00 00 00 00 00 00 00 00 3c 20 01 01
61,1952,Weeper,8253,257,00 00 00 00 00 00 00 00 00 00 00 00 3d 20 01 01
62,1984,Weeper,8254,257,00 00 00 00 00 00 00 00 00 00 00 00 3e 20 01 01
63,2016,Weeper,8255,257,00 00 00 00 00 00 00 00 00 00 00 00 3f 20 01 01
64,2048,Weeper,8256,257,00 00 00 00 00 00 00 00 00 00 00 00 40 20 01 01
65,2080,Seether,8257,257,00 00 00 00 00 00 00 00 00 00 00 00 41 20 01 01
