index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Progenerator,12289,257,00 00 00 00 00 00 00 00 00 00 00 00 01 30 01 01
2,64,Offspring,12290,257,00 00 00 00 00 00 00 00 00 00 00 00 02 30 01 01
3,96,Offspring,12291,257,00 00 00 00 00 00 00 00 00 00 00 00 03 30 01 01
4,128,Offspring,12292,257,00 00 00 00 00 00 00 00 00 00 00 00 04 30 01 01
5,160,Offspring,12293,257,00 00 00 00 00 00 00 00 00 00 00 00 05 30 01 01
6,192,Progenerator,12294,257,00 00 00 00 00 00 00 00 00 00 00 00 06 30 01 01
7,224,Offspring,12295,257,00 00 00 00 00 00 00 00 00 00 00 00 07 30 01 01
8,256,Offspring,12296,257,00 00 00 00 00 00 00 00 00 00 00 00 08 30 01 01
9,288,Offspring,12297,257,00 00 00 00 00 00 00 00 00 00 00 00 09 30 01 01
10,320,Offspring,12298,257,00 00 00 00 00 00 00 00 00 00 00 00 0a 30 01 01
11,352,Progenerator,12299,257,00 00 00 00 00 00 00 00 00 00 00 00 0b 30 01 01
12,384,Offspring,12300,257,00 00 00 00 00 00 00 00 00 00 00 00 0c 30 01 01
13,416,Offspring,12301,257,00 00 00 00 00 00 00 00 00 00 00 00 0d 30 01 01
14,448,Offspring,12302,257,00 00 00 00 00 00 00 00 00 00 00 00 0e 30 01 01
15,480,Offspring,12303,257,00 00 00 00 00 00 00 00 00 00 00 00 0f 30 01 01
16,512,Ingester,12304,257,00 00 00 00 00 00 00 00 00 00 00 00 10 30 01 01
17,544,Neoingester,12305,257,00 00 00 00 00 00 00 00 00 00 00 00 11 30 01 01
18,576,Neogorger,12306,257,00 00 00 00 00 00 00 00 00 00 00 00 12 30 01 01
19,608,Neosatiator,12307,257,00 00 00 00 00 00 00 00 00 00 00 00 13 30 01 01
20,640,Wanderer,12308,257,00 00 00 00 00 00 00 00 00 00 00 00 14 30 01 01
21,672,Enigmatic Sphere,12309,257,00 00 00 00 00 00 00 00 00 00 00 00 15 30 01 01
22,704,Ingester,12310,257,00 00 00 00 00 00 00 00 00 00 00 00 16 30 01 01
23,736,Neoingester,12311,257,00 00 00 00 00 00 00 00 00 00 00 00 17 30 01 01
24,768,Neogorger,12312,257,00 00 00 00 00 00 00 00 00 00 00 00 18 30 01 01
25,800,Neosatiator,12313,257,00 00 00 00 00 00 00 00 00 00 00 00 19 30 01 01
26,832,Wanderer,12314,257,00 00 00 00 00 00 00 00 00 00 00 00 1a 30 01 01
27,864,Enigmatic Sphere,12315,257,00 00 00 00 00 00 00 00 00 00 00 00 1b 30 01 01
28,896,Ingester,12316,257,00 00 00 00 00 00 00 00 00 00 00 00 1c 30 01 01
29,928,Neoingester,12317,257,00 00 00 00 00 00 00 00 00 00 00 00 1d 30 01 01
30,960,Neogorger,12318,257,00 00 00 00 00 00 00 00 00 00 00 00 1e 30 01 01
31,992,Neosatiator,12319,257,00 00 00 00 00 00 00 00 00 00 00 00 1f 30 01 01
32,1024,Wanderer,12320,257,00 00 00 00 00 00 00 00 00 00 00 00 20 30 01 01
33,1056,Enigmatic Sphere,12321,257,00 00 00 00 00 00 00 00 00 00 00 00 21 30 01 01
34,1088,Recollector,12322,257,00 00 00 00 00 00 00 00 00 00 00 00 22 30 01 01
35,1120,Insatiable Gorge,12323,257,72 00 00 00 00 00 00 00 00 00 00 00 23 30 01 01
36,1152,Insatiable Offsp,12324,257,72 69 6e 67 00 00 00 00 00 00 00 00 24 30 01 01
37,1184,Insatiable Offsp,12325,257,72 69 6e 67 00 00 00 00 00 00 00 00 25 30 01 01
38,1216,Disconsolate Wee,12326,257,70 65 72 00 00 00 00 00 00 00 00 00 26 30 01 01
39,1248,Disconsolate Wee,12327,257,70 65 72 00 00 00 00 00 00 00 00 00 27 30 01 01
40,1280,Disconsolate Wee,12328,257,70 65 72 00 00 00 00 00 00 00 00 00 28 30 01 01
41,1312,Disconsolate Wee,12329,257,70 65 72 00 00 00 00 00 00 00 00 00 29 30 01 01
42,1344,Disconsolate Wee,12330,257,70 65 72 00 00 00 00 00 00 00 00 00 2a 30 01 01
43,1376,Disconsolate Wee,12331,257,70 65 72 00 00 00 00 00 00 00 00 00 2b 30 01 01
44,1408,Disconsolate Wee,12332,257,70 65 72 00 00 00 00 00 00 00 00 00 2c 30 01 01
45,1440,Disconsolate Wee,12333,257,70 65 72 00 00 00 00 00 00 00 00 00 2d 30 01 01
46,1472,Disconsolate Wee,12334,257,70 65 72 00 00 00 00 00 00 00 00 00 2e 30 01 01
47,1504,Disconsolate Wee,12335,257,70 65 72 00 00 00 00 00 00 00 00 00 2f 30 01 01
48,1536,Disconsolate Wee,12336,257,70 65 72 00 00 00 00 00 00 00 00 00 30 30 01 01
49,1568,Disconsolate Wee,12337,257,70 65 72 00 00 00 00 00 00 00 00 00 31 30 01 01
50,1600,Disconsolate Wee,12338,257,70 65 72 00 00 00 00 00 00 00 00 00 32 30 01 01
51,1632,Disconsolate Wee,12339,257,70 65 72 00 00 00 00 00 00 00 00 00 33 30 01 01
52,1664,Disconsolate Wee,12340,257,70 65 72 00 00 00 00 00 00 00 00 00 34 30 01 01
53,1696,Disconsolate Wee,12341,257,70 65 72 00 00 00 00 00 00 00 00 00 35 30 01 01
54,1728,Disconsolate Wee,12342,257,70 65 72 00 00 00 00 00 00 00 00 00 36 30 01 01
55,1760,Disconsolate Wee,12343,257,70 65 72 00 00 00 00 00 00 00 00 00 37 30 01 01
56,1792,Recollector,12344,257,00 00 00 00 00 00 00 00 00 00 00 00 38 30 01 01
57,1824,Insatiable Gorge,12345,257,72 00 00 00 00 00 00 00 00 00 00 00 39 30 01 01
58,1856,Insatiable Offsp,12346,257,72 69 6e 67 00 00 00 00 00 00 00 00 3a 30 01 01
59,1888,Insatiable Offsp,12347,257,72 69 6e 67 00 00 00 00 00 00 00 00 3b 30 01 01
60,1920,Disconsolate Wee,12348,257,70 65 72 00 00 00 00 00 00 00 00 00 3c 30 01 01
61,1952,Disconsolate Wee,12349,257,70 65 72 00 00 00 00 00 00 00 00 00 3d 30 01 01
62,1984,Disconsolate Wee,12350,257,70 65 72 00 00 00 00 00 00 00 00 00 3e 30 01 01
63,2016,Disconsolate Wee,12351,257,70 65 72 00 00 00 00 00 00 00 00 00 3f 30 01 01
64,2048,Disconsolate Wee,12352,257,70 65 72 00 00 00 00 00 00 00 00 00 40 30 01 01
65,2080,Disconsolate Wee,12353,257,70 65 72 00 00 00 00 00 00 00 00 00 41 30 01 01
66,2112,Disconsolate Wee,12354,257,70 65 72 00 00 00 00 00 00 00 00 00 42 30 01 01
67,2144,Disconsolate Wee,12355,257,70 65 72 00 00 00 00 00 00 00 00 00 43 30 01 01
68,2176,Disconsolate Wee,12356,257,70 65 72 00 00 00 00 00 00 00 00 00 44 30 01 01
69,2208,Disconsolate Wee,12357,257,70 65 72 00 00 00 00 00 00 00 00 00 45 30 01 01
70,2240,Disconsolate Wee,12358,257,70 65 72 00 00 00 00 00 00 00 00 00 46 30 01 01
71,2272,Disconsolate Wee,12359,257,70 65 72 00 00 00 00 00 00 00 00 00 47 30 01 01
72,2304,Disconsolate Wee,12360,257,70 65 72 00 00 00 00 00 00 00 00 00 48 30 01 01
73,2336,Disconsolate Wee,12361,257,70 65 72 00 00 00 00 00 00 00 00 00 49 30 01 01
74,2368,Disconsolate Wee,12362,257,70 65 72 00 00 00 00 00 00 00 00 00 4a 30 01 01
75,2400,Disconsolate Wee,12363,257,70 65 72 00 00 00 00 00 00 00 00 00 4b 30 01 01
76,2432,Disconsolate Wee,12364,257,70 65 72 00 00 00 00 00 00 00 00 00 4c 30 01 01
77,2464,Disconsolate Wee,12365,257,70 65 72 00 00 00 00 00 00 00 00 00 4d 30 01 01
78,2496,Recollector,12366,257,00 00 00 00 00 00 00 00 00 00 00 00 4e 30 01 01
79,2528,Insatiable Gorge,12367,257,72 00 00 00 00 00 00 00 00 00 00 00 4f 30 01 01
80,2560,Insatiable Offsp,12368,257,72 69 6e 67 00 00 00 00 00 00 00 00 50 30 01 01
81,2592,Insatiable Offsp,12369,257,72 69 6e 67 00 00 00 00 00 00 00 00 51 30 01 01
82,2624,Disconsolate Wee,12370,257,70 65 72 00 00 00 00 00 00 00 00 00 52 30 01 01
83,2656,Disconsolate Wee,12371,257,70 65 72 00 00 00 00 00 00 00 00 00 53 30 01 01
84,2688,Disconsolate Wee,12372,257,70 65 72 00 00 00 00 00 00 00 00 00 54 30 01 01
85,2720,Disconsolate Wee,12373,257,70 65 72 00 00 00 00 00 00 00 00 00 55 30 01 01
86,2752,Disconsolate Wee,12374,257,70 65 72 00 00 00 00 00 00 00 00 00 56 30 01 01
87,2784,Disconsolate Wee,12375,257,70 65 72 00 00 00 00 00 00 00 00 00 57 30 01 01
88,2816,Disconsolate Wee,12376,257,70 65 72 00 00 00 00 00 00 00 00 00 58 30 01 01
89,2848,Disconsolate Wee,12377,257,70 65 72 00 00 00 00 00 00 00 00 00 59 30 01 01
90,2880,Disconsolate Wee,12378,257,70 65 72 00 00 00 00 00 00 00 00 00 5a 30 01 01
91,2912,Disconsolate Wee,12379,257,70 65 72 00 00 00 00 00 00 00 00 00 5b 30 01 01
92,2944,Disconsolate Wee,12380,257,70 65 72 00 00 00 00 00 00 00 00 00 5c 30 01 01
93,2976,Disconsolate Wee,12381,257,70 65 72 00 00 00 00 00 00 00 00 00 5d 30 01 01
94,3008,Disconsolate Wee,12382,257,70 65 72 00 00 00 00 00 00 00 00 00 5e 30 01 01
95,3040,Disconsolate Wee,12383,257,70 65 72 00 00 00 00 00 00 00 00 00 5f 30 01 01
96,3072,Disconsolate Wee,12384,257,70 65 72 00 00 00 00 00 00 00 00 00 60 30 01 01
97,3104,Disconsolate Wee,12385,257,70 65 72 00 00 00 00 00 00 00 00 00 61 30 01 01
98,3136,Disconsolate Wee,12386,257,70 65 72 00 00 00 00 00 00 00 00 00 62 30 01 01
99,3168,Disconsolate Wee,12387,257,70 65 72 00 00 00 00 00 00 00 00 00 63 30 01 01
100,3200,Achieve Master,12388,257,00 00 00 00 00 00 00 00 00 00 00 00 64 30 01 01
101,3232,Unity Master,12390,257,00 00 00 00 00 00 00 00 00 00 00 00 66 30 01 01
102,3264,Web of Recollect,12395,257,69 6f 6e 73 00 00 00 00 00 00 00 00 6b 30 01 01
103,3296,Web of Regret,12396,257,00 00 00 00 00 00 00 00 00 00 00 00 6c 30 01 01
104,3328,Web of Regret,12397,257,00 00 00 00 00 00 00 00 00 00 00 00 6d 30 01 01
105,3360,Web of Regret,12398,257,00 00 00 00 00 00 00 00 00 00 00 00 6e 30 01 01
106,3392,Radiant Aureole,12404,257,00 00 00 00 00 00 00 00 00 00 00 00 74 30 01 01
107,3424,???,12405,257,00 00 00 00 00 00 00 00 00 00 00 00 75 30 01 01
108,3456,Yve'noile,12406,257,00 00 00 00 00 00 00 00 00 00 00 00 76 30 01 01
109,3488,Miko_A,12407,257,00 00 00 00 00 00 00 00 00 00 00 00 77 30 01 01
110,3520,Miko_B,12408,257,00 00 00 00 00 00 00 00 00 00 00 00 78 30 01 01
111,3552,Prishe,12409,257,00 00 00 00 00 00 00 00 00 00 00 00 79 30 01 01
112,3584,Eald'narche,12410,257,00 00 00 00 00 00 00 00 00 00 00 00 7a 30 01 01
113,3616,,12411,257,00 00 00 00 00 00 00 00 00 00 00 00 7b 30 01 01
114,3648,,12412,257,00 00 00 00 00 00 00 00 00 00 00 00 7c 30 01 01
115,3680,???,12413,257,00 00 00 00 00 00 00 00 00 00 00 00 7d 30 01 01
116,3712,Selh'teus,12414,257,00 00 00 00 00 00 00 00 00 00 00 00 7e 30 01 01
117,3744,Nag'molada,12415,257,00 00 00 00 00 00 00 00 00 00 00 00 7f 30 01 01
118,3776,,12416,257,00 00 00 00 00 00 00 00 00 00 00 00 80 30 01 01
119,3808,,12417,257,00 00 00 00 00 00 00 00 00 00 00 00 81 30 01 01
120,3840,,12418,257,00 00 00 00 00 00 00 00 00 00 00 00 82 30 01 01
121,3872,,12419,257,00 00 00 00 00 00 00 00 00 00 00 00 83 30 01 01
122,3904,,12420,257,00 00 00 00 00 00 00 00 00 00 00 00 84 30 01 01
123,3936,,12421,257,00 00 00 00 00 00 00 00 00 00 00 00 85 30 01 01
124,3968,,12422,257,00 00 00 00 00 00 00 00 00 00 00 00 86 30 01 01
125,4000,,12423,257,00 00 00 00 00 00 00 00 00 00 00 00 87 30 01 01
126,4032,Grumblix,12424,257,00 00 00 00 00 00 00 00 00 00 00 00 88 30 01 01
