npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
102,Web of Recollect,12395,257,3,9412,9576,74.49,74.5,0.0,15,7449,7450,0,7449 0 7450 1 73 140 200 60
103,Web of Regret,12396,257,3,9456,9620,-19.99,0.2,10.24,35,-1999,20,1024,-1999 1024 20 74 120 2 276 604053504
104,Web of Regret,12397,257,1,9500,9620,-19.99,0.2,10.24,35,-1999,20,1024,-1999 1024 20 74 120 2 276 604053504
105,Web of Regret,12398,257,1,9528,9620,-19.99,0.2,10.24,35,-1999,20,1024,-1999 1024 20 74 120 2 276 604053504
106,Radiant Aureole,12404,257,1,9556,9620,-19.99,0.2,10.24,35,-1999,20,1024,-1999 1024 20 74 120 2 276 604053504
107,???,12405,257,12,9924,10060,76.38,0.3,0.27,70,7638,30,27,7638 27 30 260 -438782 398794 -19099 140
108,Yve'noile,12406,257,32,12020,12116,0.0,-19.99,472.0,120,0,-1999,47200,0 47200 -1999 3072 -13000 10 4000 139
109,Miko_A,12407,257,5,12288,12316,-10.0,-19.99,442.0,105,-1000,-1999,44200,-1000 44200 -1999 3072 25 -134114816 8388607 25165879
110,Miko_B,12408,257,5,12364,12392,10.0,-19.99,442.0,105,1000,-1999,44200,1000 44200 -1999 3072 25 -134114816 8388607 25165879
112,Eald'narche,12410,257,14,15388,15544,76.61,76.63,0.03,90,7661,7663,3,7661 3 7663 90 -240002 -36082 -62000 3072
126,Grumblix,12424,257,2,22128,22248,76.74,0.6,2.0,85,7674,60,200,7674 200 60 506 1107369984 -1940 25165951 -2147410816
