offset,token
1449,fdo1
3073,main
3090,ovl1
3160,whi1
3177,blof
3194,fdi0
3318,fdo1
3335,fdo1
3724,whi1
3741,blof
3866,whi1
3883,blof
3900,fdo1
3917,fdo1l
4452,main
4469,fdi2
4899,fdi2
4935,whi1
4952,blof
5036,fdo1
5053,fdo1
5354,whi1
5371,blof
5465,m2s0
5522,m2s0'
5542,sta1l
5644,m2a0
5664,m2a0F
5718,c4l1SkP
5731,c4l1E
5746,me00
5766,d123
5783,str1
5803,d076
5820,str0
5846,me00E
5878,dk23
5895,kill
5912,dk76
5929,kill
5988,fdi2
6005,m2we
6053,main
6084,blof
6101,m2we
6236,m2w0
6256,m2w0F
6301,m2w0
6321,m2w0F
6463,kaks
6492,c100
6509,fdi2
6540,c100E
6555,c101
6630,c101E
6645,c102
6676,thb0+dP
6699,c102E
6714,c103
6739,hbtb+dP
6762,tlb1SdP
6775,tlb1R
6790,c103E
6805,c1mg
6829,mgc0+dP
6850,mgc0'
6882,c1mgE
6897,c104
6937,c104E
6952,c105
6972,s176
7026,c105E
7041,c106
7076,k176
7096,c106E
7111,blof
7128,kill
7145,kill
7162,kill
7179,kill
7240,kaks
7274,dwn0ScP
7287,dwn0E
7302,c200
7319,fdi2
7336,c200
7357,c201
7377,c201E
7392,c202
7433,c202E
7448,blof
7601,cry0E
7616,c300
7633,fdi2
7665,yor0E
7680,c301
7721,c301
7738,c301E
7753,c302
7770,c302+dP
7810,gak0
7828,s276
7852,c304
7889,c304E
7904,c305
7929,c305E
7944,c306
7961,c306E
7976,c307
7991,kaks
8015,k276
8039,c307E
8054,c310
8071,mab0
8097,c310E
8112,c308
8153,c308E
8168,c309
8204,c309E
8219,blof
8292,m2e0
8349,m2e0'
8369,sts2l
8418,m2e1
8438,m2e1F
8486,m2e1
8506,m2e1F
8536,fdi0
8553,fdi0
8569,fdo0
8586,fdo0
8602,fdi1
8619,fdi1
8635,fdo1
8652,fdo1
8668,whi1
8685,whi1
8701,who1
8718,who1
8734,who2
8751,who2
8767,who3
8784,who3
8800,main
8820,fdo1
8837,fdo1
8853,fdi1
8870,main
8890,fdi1
8906,blon
8923,blon
8941,whi0
8958,whi0
8974,who0
8991,who0
9007,efon
9024,efon
9040,fdis
9058,fdos
9075,fdos
9091,fdif
9109,fdof
9126,fdof
9142,fdip
9160,fdop
9177,fdop
9692,main
9712,fdo1
9788,main
9808,fdo1
9843,fdi1
9863,main
10234,str0
10254,s020
10271,whi1
10291,s020E
10306,ovl1
10323,s021
10356,s021E
10371,ovl1
10388,s022
10428,s022E
10443,ovl1
10460,s023
10505,who1
10525,s023N
10546,kill
10627,str0
10644,s026
10661,whi1
10688,fdo1
10708,kill
10725,s0264
10751,str0
10768,s025
10785,fdi1
10805,fdo1
10825,s025
10840,kill
10898,won2
10930,str0
10947,s027
10964,fdi1
10984,s027E
10999,ovl1
11016,s024
11036,who1
11092,kill
11133,sc11-
11146,sc21-
11159,sc31-
