npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
150,Web of Recollect,28827,257,3,10704,10868,6.0,2.0,76.31,15,600,200,7631,600 7631 200 0 180 60 88 1174478848
151,Web of Regret,28828,257,3,10748,10868,6.0,2.0,76.31,15,600,200,7631,600 7631 200 0 180 60 88 1174478848
152,Web of Regret,28829,257,1,10792,10868,6.0,2.0,76.31,15,600,200,7631,600 7631 200 0 180 60 88 1174478848
153,Web of Regret,28830,257,1,10820,10868,6.0,2.0,76.31,15,600,200,7631,600 7631 200 0 180 60 88 1174478848
154,Bridge,28836,257,1,10848,10868,6.0,2.0,76.31,15,600,200,7631,600 7631 200 0 180 60 88 1174478848
155,Radiant Aureole,28837,257,1,10984,11048,-19.99,0.2,10.24,35,-1999,20,1024,-1999 1024 20 74 120 2 276 604053504
156,???,28838,257,7,11352,11408,76.35,0.2,2.01,45,7635,20,201,7635 201 20 1942 7636 3 5 6
161,BOX2,28843,257,9,20671,20739,17.92,238.08,1267.2,60,1792,23808,126720,1792 126720 23808 0 61440000 -61184000 -76545 262399
164,???,28846,257,4,26312,26428,-1192.5,0.13,30.63,80,-119250,13,3063,-119250 3063 13 5 -355737 109 2228224 -524241
165,Prishe,28847,257,89,26340,26428,-1192.5,0.13,30.63,80,-119250,13,3063,-119250 3063 13 5 -355737 109 2228224 -524241
166,Tenzen,28848,257,81,26564,26656,365.36,10.23,579.99,70,36536,1023,57999,36536 57999 1023 40 25536 -242038 15884 60000
167,Ulmia,28849,257,44,26836,26932,378.83,10.35,579.99,70,37883,1035,57999,37883 57999 1035 40 26883 -241127 16321 59999
168,Nag'molada,28850,257,73,27136,27252,150.25,10.07,599.99,105,15025,1007,59999,15025 59999 1007 1634 -352336 -119250 1197 122
169,Louverance,28851,257,43,27408,27524,163.75,6.21,599.99,105,16375,621,59999,16375 59999 621 2531 -350955 -119250 1257 122
173,Grumblix,28855,257,2,28208,28328,77.12,0.6,2.0,85,7712,60,200,7712 200 60 506 1107369984 -1940 25165951 -2147410816
