npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
306,Swirling Vortex,33090,257,1,2248,2264,0.07,0.01,75.73,15,7,1,7573,7 7573 1 0 73 140 200 60
307,Swirling Vortex,33091,257,1,2388,2404,0.07,0.01,75.73,15,7,1,7573,7 7573 1 0 73 140 200 60
312,???,33096,257,2,2528,2640,-23.78,0.64,25.13,50,-2378,64,2513,-2378 2513 64 30 90 7695 140 7696
319,Sanctia,33103,257,59,16660,16808,76.8,0.6,2.0,70,7680,60,200,7680 200 60 485 1107369984 -266469342 1249902591 2147483632
320,Novice Moogle,33104,257,66,16024,16164,-207.6,19.2,-4.8,90,-20760,1920,-480,-20760 -480 1920 13 428758 -23237 -1660 40
329,"Jemmoquel, R.K.",33114,257,1,17312,17432,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
330,"Yoram, I.M.",33115,257,1,32400,32520,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
331,"Teldo-Moroldo, W",33116,257,1,47488,47608,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
336,"Chilaumme, R.K.",33121,257,1,63308,63428,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
337,"Ghost Talker, I.",33122,257,1,78396,78516,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
338,"Cotete, W.W.",33123,257,1,93484,93604,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
339,Jersey,33124,257,1,62576,62668,73.22,0.06,73.19,65,7322,6,7319,7322 7319 6 622 66304 33755138 504365824 2147483632
344,Ramblix,33129,257,2,16684,16808,76.8,0.6,2.0,70,7680,60,200,7680 200 60 485 1107369984 -266469342 1249902591 2147483632
346,Travonce,33131,257,7,2196,2264,0.07,0.01,75.73,15,7,1,7573,7 7573 1 0 73 140 200 60
347,Logging Point,33132,257,1,108572,108612,77.54,77.58,77.56,45,7754,7758,7756,7754 7756 7758 85 -261209600 8388607 -1009280 151224319
354,???,33139,257,4,2168,2264,0.07,0.01,75.73,15,7,1,7573,7 7573 1 0 73 140 200 60
361,Makki-Chebukki,33146,257,11,117164,117308,-313.99,3.24,0.45,90,-31399,324,45,-31399 45 324 151 2228224 -524241 -127107073 8388607
362,Kukki-Chebukki,33147,257,11,117476,117616,-314.61,3.24,0.3,90,-31461,324,30,-31461 30 324 151 2228224 -524241 -127107073 8388607
364,Vukki-Chebukki,33149,257,16,117452,117616,-314.61,3.24,0.3,90,-31461,324,30,-31461 30 324 151 2228224 -524241 -127107073 8388607
369,Louverance,33154,257,12,119144,119244,-240.59,28.49,0.6,90,-24059,2849,60,-24059 60 2849 121 2228224 -524241 -127107073 8388607
373,Mildaurion,33158,257,10,120080,120180,-320.44,39.49,0.15,90,-32044,3949,15,-32044 15 3949 105 2228224 -524241 -127107073 8388607
374,Planar Rift,33159,257,1,129480,129548,79.05,0.02,0.01,45,7905,2,1,7905 1 2 1539 7906 7907 7908 7909
375,Planar Rift,33160,257,1,148308,148376,0.04,0.02,79.05,45,4,2,7905,4 7905 2 1539 7906 7907 7908 7909
376,Planar Rift,33161,257,1,167136,167204,0.04,0.01,79.05,45,4,1,7905,4 7905 1 1539 7906 7907 7908 7909
377,Riftworn Pyxis,33162,257,1,185964,186104,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
378,Riftworn Pyxis,33163,257,1,187396,187536,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
379,Riftworn Pyxis,33164,257,1,188828,188968,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
380,Survival Guide,33165,257,2,190260,190392,-0.02,87.79,87.64,50,-2,8779,8764,-2 8764 8779 26 27 8778 8 15
381,Ethereal Junctio,33166,257,1,199300,199320,0.24,88.23,88.22,30,24,8823,8822,24 8822 8823 1 0 859 8 15
382,Ethereal Junctio,33167,257,1,200668,200688,0.24,88.23,88.22,30,24,8823,8822,24 8822 8823 1 0 859 8 15
383,Ethereal Junctio,33168,257,1,202036,202056,0.24,88.23,88.22,30,24,8823,8822,24 8822 8823 1 0 859 8 15
390,???,33172,257,1,203404,203440,92.78,0.0,63.94,50,9278,0,6394,9278 6394 0 41 33767936 1216348176 41123841 -3968
