index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Latteaune,40962,257,00 00 00 00 00 00 00 00 00 00 00 00 02 a0 01 01
2,64,Ulmia,40963,257,00 00 00 00 00 00 00 00 00 00 00 00 03 a0 01 01
3,96,Prishe,40964,257,00 00 00 00 00 00 00 00 00 00 00 00 04 a0 01 01
4,128,Makki-Chebukki,40965,257,00 00 00 00 00 00 00 00 00 00 00 00 05 a0 01 01
5,160,Kukki-Chebukki,40966,257,00 00 00 00 00 00 00 00 00 00 00 00 06 a0 01 01
6,192,Cherukiki,40967,257,00 00 00 00 00 00 00 00 00 00 00 00 07 a0 01 01
7,224,Nag'molada,40968,257,00 00 00 00 00 00 00 00 00 00 00 00 08 a0 01 01
8,256,Despachiaire,40969,257,00 00 00 00 00 00 00 00 00 00 00 00 09 a0 01 01
9,288,Justinius,40970,257,00 00 00 00 00 00 00 00 00 00 00 00 0a a0 01 01
10,320,Tressia,40971,257,00 00 00 00 00 00 00 00 00 00 00 00 0b a0 01 01
11,352,Chemioue,40972,257,00 00 00 00 00 00 00 00 00 00 00 00 0c a0 01 01
12,384,Mengrenaux,40973,257,00 00 00 00 00 00 00 00 00 00 00 00 0d a0 01 01
13,416,Parelbriaux,40974,257,00 00 00 00 00 00 00 00 00 00 00 00 0e a0 01 01
14,448,Ondieulix,40975,257,00 00 00 00 00 00 00 00 00 00 00 00 0f a0 01 01
15,480,Tenzen,40976,257,00 00 00 00 00 00 00 00 00 00 00 00 10 a0 01 01
16,512,Louverance,40977,257,00 00 00 00 00 00 00 00 00 00 00 00 11 a0 01 01
17,544,Main Gate,40978,257,00 00 00 00 00 00 00 00 00 00 00 00 12 a0 01 01
18,576,Sewer Entrance,40979,257,00 00 00 00 00 00 00 00 00 00 00 00 13 a0 01 01
19,608,Walnut Door,40980,257,00 00 00 00 00 00 00 00 00 00 00 00 14 a0 01 01
20,640,Walnut Door,40981,257,00 00 00 00 00 00 00 00 00 00 00 00 15 a0 01 01
21,672,Walnut Door,40982,257,00 00 00 00 00 00 00 00 00 00 00 00 16 a0 01 01
22,704,Walnut Door,40983,257,00 00 00 00 00 00 00 00 00 00 00 00 17 a0 01 01
23,736,Walnut Door,40984,257,00 00 00 00 00 00 00 00 00 00 00 00 18 a0 01 01
24,768,Walnut Door,40985,257,00 00 00 00 00 00 00 00 00 00 00 00 19 a0 01 01
25,800,Walnut Door,40986,257,00 00 00 00 00 00 00 00 00 00 00 00 1a a0 01 01
26,832,Walnut Door,40987,257,00 00 00 00 00 00 00 00 00 00 00 00 1b a0 01 01
27,864,Walnut Door,40988,257,00 00 00 00 00 00 00 00 00 00 00 00 1c a0 01 01
28,896,Walnut Door,40989,257,00 00 00 00 00 00 00 00 00 00 00 00 1d a0 01 01
29,928,Walnut Door,40990,257,00 00 00 00 00 00 00 00 00 00 00 00 1e a0 01 01
30,960,Walnut Door,40991,257,00 00 00 00 00 00 00 00 00 00 00 00 1f a0 01 01
31,992,Walnut Door,40992,257,00 00 00 00 00 00 00 00 00 00 00 00 20 a0 01 01
