npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
1,Latteaune,40962,257,1,74540,74648,63.99,0.6,2.0,90,6399,60,200,6399 200 60 405 -503040 -491521 1952808959 -266441105
2,Ulmia,40963,257,276,78492,78676,-19.95,-226.42,193.86,120,-1995,-22642,19386,-1995 19386 -22642 3545 13 -884 21799 -22749
4,Makki-Chebukki,40965,257,64,70304,70392,245.49,-119.51,370.49,100,24549,-11951,37049,24549 37049 -11951 3182 25568 40485 -12000 24691
5,Kukki-Chebukki,40966,257,55,70628,70716,249.74,-119.33,361.18,100,24974,-11933,36118,24974 36118 -11933 3016 26561 40490 -12001 25573
6,Cherukiki,40967,257,40,70992,71076,254.86,-119.12,357.7,100,25486,-11912,35770,25486 35770 -11912 3171 27557 40493 -11949 25670
7,Nag'molada,40968,257,144,68016,68064,-43.3,-259.35,1323.84,110,-4330,-25935,132384,-4330 132384 -25935 899 13 26819 39958 -11954
10,Tressia,40971,257,387,79856,80036,-227.18,0.13,20.08,120,-22718,13,2008,-22718 2008 13 2981 22369 -22744 -2777 -1585
11,Chemioue,40972,257,348,81832,82012,48.89,-89.89,-34.4,120,4889,-8989,-3440,4889 -3440 -8989 2163 10992 30 10993 10994
12,Mengrenaux,40973,257,104,71312,71464,-7.51,-235.0,343.24,120,-751,-23500,34324,-751 34324 -23500 873 4272 -1094 -8988 1613
13,Parelbriaux,40974,257,260,74400,74560,98.36,-0.02,0.3,35,9836,-2,30,9836 30 -2 1 2 3 4 9835
14,Ondieulix,40975,257,128,83072,83144,-265.96,33.74,37.48,120,-26596,3374,3748,-26596 3748 3374 1738 -8992 1183 11004 20
15,Tenzen,40976,257,237,81420,81480,1089.03,-400.0,-781.0,110,108903,-40000,-78100,108903 -78100 -40000 706 109592 -81719 -40015 102440
16,Louverance,40977,257,129,83596,83724,1020.17,-412.5,-589.8,110,102017,-41250,-58980,102017 -58980 -41250 3055 101982 -57479 -41000 107450
17,Main Gate,40978,257,5,125524,125652,107.33,0.6,107.34,45,10733,60,10734,10733 10734 60 2048 10735 19 10736 10737
18,Sewer Entrance,40979,257,4,75072,75104,0.1,0.01,65.04,15,10,1,6504,10 6504 1 0 200 60 19 94
20,Walnut Door,40981,257,2,129724,129864,108.22,108.24,108.23,45,10822,10824,10823,10822 10823 10824 313 -1040896 1933311 23470976 27281024
31,Walnut Door,40992,257,4,83548,83724,1020.17,-412.5,-589.8,110,102017,-41250,-58980,102017 -58980 -41250 3055 101982 -57479 -41000 107450
33,Walnut Door,40994,257,2,83924,84076,0.08,99.26,99.25,15,8,9926,9925,8 9925 9926 50 30 150 12 2
35,Wooden Cabinet,40996,257,2,196424,196516,115.1,115.08,115.07,45,11510,11508,11507,11510 11507 11508 70 -1040896 1933311 2171776 -1040830
38,???,40999,257,2,83964,84140,99.36,99.38,99.37,20,9936,9938,9937,9936 9937 9938 1024 9939 9940 9941 9942
41,Nag'molada,41002,257,10,110684,110728,-340.0,173.11,9.61,120,-34000,17311,961,-34000 961 17311 2477 -28359 1742 9927 -500
43,Makki-Chebukki,41004,257,26,116840,116956,281.8,27.43,-234.21,120,28180,2743,-23421,28180 -23421 2743 1217 28633 -23414 2514 4618
45,Cherukiki,41006,257,21,116836,116956,281.8,27.43,-234.21,120,28180,2743,-23421,28180 -23421 2743 1217 28633 -23414 2514 4618
46,Tressia,41007,257,15,116896,116956,281.8,27.43,-234.21,120,28180,2743,-23421,28180 -23421 2743 1217 28633 -23414 2514 4618
47,Chemioue,41008,257,5,117144,117172,-23.18,-224.81,184.97,120,-2318,-22481,18497,-2318 18497 -22481 3082 13 -1382 21059 -22750
48,Mengrenaux,41009,257,14,117256,117284,-30.52,-235.0,303.66,105,-3052,-23500,30366,-3052 30366 -23500 3734 13 -2036 30880 39
49,Parelbriaux,41010,257,12,117356,117528,49.96,-227.05,235.56,105,4996,-22705,23556,4996 23556 -22705 2935 48 -134114816 -1803550721 -2047
50,Ondieulix,41011,257,9,117484,117528,49.96,-227.05,235.56,105,4996,-22705,23556,4996 23556 -22705 2935 48 -134114816 -1803550721 -2047
53,Odeya,41014,257,98,120724,120828,835.2,-342.5,-704.28,120,83520,-34250,-70428,83520 -70428 -34250 2554 10469 10472 10473 10480
54,Shikaree X,41015,257,69,122344,122452,4.0,18.9,19.99,90,400,1890,1999,400 1999 1890 26 -134114816 -1803550721 -2047 107647
55,Mildaurion,41016,257,4,122424,122452,4.0,18.9,19.99,90,400,1890,1999,400 1999 1890 26 -134114816 -1803550721 -2047 107647
57,Travonce,41018,257,1,125576,125760,2.01,107.49,107.5,65,201,10749,10750,201 10750 10749 1365 268567040 201424896 6488320 -125828762
