npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
209,Unstable Displac,53466,257,1,14628,14808,76.27,0.6,2.0,70,7627,60,200,7627 200 60 485 1107369984 -266469342 1249902591 2147483632
210,Spatial Displace,53467,257,1,14656,14808,76.27,0.6,2.0,70,7627,60,200,7627 200 60 485 1107369984 -266469342 1249902591 2147483632
227,Ramblix,53485,257,2,14684,14808,76.27,0.6,2.0,70,7627,60,200,7627 200 60 485 1107369984 -266469342 1249902591 2147483632
229,Prishe,53487,257,36,15312,15432,0.6,0.15,7.96,50,60,15,796,60 796 15 130 2228224 -524241 -127107073 8388607
231,Bahamut,53489,257,43,15800,15924,30.72,0.6,90.0,70,3072,60,9000,3072 9000 60 174 2228224 -524241 -127107073 8388607
241,Home Point #1,53499,257,1,20000,20124,77.28,0.27,77.35,50,7728,27,7735,7728 7735 27 28 -2 7731 7736 7740
242,Home Point #2,53500,257,1,30568,30692,77.28,0.27,77.35,50,7728,27,7735,7728 7735 27 28 -2 7731 7736 7740
243,Home Point #3,53501,257,1,41136,41260,77.28,0.27,77.35,50,7728,27,7735,7728 7735 27 28 -2 7731 7736 7740
244,Home Point #4,53502,257,1,51704,51828,77.28,0.27,77.35,50,7728,27,7735,7728 7735 27 28 -2 7731 7736 7740
245,Home Point #5,53503,257,6,62272,62396,77.28,0.27,77.35,50,7728,27,7735,7728 7735 27 28 -2 7731 7736 7740
246,Ethereal Junctio,53504,257,1,72840,72860,0.23,77.83,77.82,30,23,7783,7782,23 7782 7783 1 0 895 8 15
247,Ethereal Junctio,53505,257,2,74204,74224,0.23,77.83,77.82,30,23,7783,7782,23 7782 7783 1 0 895 8 15
248,Ethereal Junctio,53506,257,1,75568,75588,0.23,77.83,77.82,30,23,7783,7782,23 7782 7783 1 0 895 8 15
