index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Hawkertrap,57345,257,00 00 00 00 00 00 00 00 00 00 00 00 01 e0 01 01
2,64,Hawkertrap,57346,257,00 00 00 00 00 00 00 00 00 00 00 00 02 e0 01 01
3,96,Riverne Vulture,57347,257,00 00 00 00 00 00 00 00 00 00 00 00 03 e0 01 01
4,128,Riverne Vulture,57348,257,00 00 00 00 00 00 00 00 00 00 00 00 04 e0 01 01
5,160,Riverne Vulture,57349,257,00 00 00 00 00 00 00 00 00 00 00 00 05 e0 01 01
6,192,Riverne Vulture,57350,257,00 00 00 00 00 00 00 00 00 00 00 00 06 e0 01 01
7,224,Hippogryph,57351,257,00 00 00 00 00 00 00 00 00 00 00 00 07 e0 01 01
8,256,Riverne Vulture,57352,257,00 00 00 00 00 00 00 00 00 00 00 00 08 e0 01 01
9,288,Riverne Vulture,57353,257,00 00 00 00 00 00 00 00 00 00 00 00 09 e0 01 01
10,320,Hippogryph,57354,257,00 00 00 00 00 00 00 00 00 00 00 00 0a e0 01 01
11,352,Hippogryph,57355,257,00 00 00 00 00 00 00 00 00 00 00 00 0b e0 01 01
12,384,Hippogryph,57356,257,00 00 00 00 00 00 00 00 00 00 00 00 0c e0 01 01
13,416,Hippogryph,57357,257,00 00 00 00 00 00 00 00 00 00 00 00 0d e0 01 01
14,448,Heliodromos,57358,257,00 00 00 00 00 00 00 00 00 00 00 00 0e e0 01 01
15,480,Heliodromos,57359,257,00 00 00 00 00 00 00 00 00 00 00 00 0f e0 01 01
16,512,Heliodromos,57360,257,00 00 00 00 00 00 00 00 00 00 00 00 10 e0 01 01
17,544,Air Elemental,57361,257,00 00 00 00 00 00 00 00 00 00 00 00 11 e0 01 01
18,576,Hawkertrap,57362,257,00 00 00 00 00 00 00 00 00 00 00 00 12 e0 01 01
19,608,Hawkertrap,57363,257,00 00 00 00 00 00 00 00 00 00 00 00 13 e0 01 01
