npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
232,Unstable Displac,57588,257,1,20512,20640,0.22,76.61,76.6,45,22,7661,7660,22 7660 7661 1956 7662 1896 7663 7664
236,Spatial Displace,57592,257,9,17572,17692,-317.05,-50.0,26.11,90,-31705,-5000,2611,-31705 2611 -5000 0 72 120 5000 54
249,Spatial Displace,57605,257,1,20484,20640,0.22,76.61,76.6,45,22,7661,7660,22 7660 7661 1956 7662 1896 7663 7664
251,Spatial Displace,57607,257,1,20540,20640,0.22,76.61,76.6,45,22,7661,7660,22 7660 7661 1956 7662 1896 7663 7664
267,Stone Monument,57623,257,14,26296,26480,63.7,63.64,63.67,65,6370,6364,6367,6370 6367 6364 685 721664 21069824 41943680 1090519312
268,Prishe,57624,257,43,17600,17692,-317.05,-50.0,26.11,90,-31705,-5000,2611,-31705 2611 -5000 0 72 120 5000 54
269,Ulmia,57625,257,19,18212,18272,-317.68,-40.0,26.25,90,-31768,-4000,2625,-31768 2625 -4000 13 0 72 120 4000
270,Cherukiki,57626,257,15,18640,18692,-318.29,30.0,24.26,35,-31829,3000,2426,-31829 2426 3000 13 337 90 431 10000
271,Kukki-Chebukki,57627,257,14,18976,19024,-318.94,30.0,25.16,50,-31894,3000,2516,-31894 2516 3000 13 10000 40 71 0
272,Makki-Chebukki,57628,257,13,19288,19336,-318.6,30.0,24.74,50,-31860,3000,2474,-31860 2474 3000 13 10000 40 71 0
273,Nag'molada,57629,257,4,19600,19656,10.0,0.0,0.71,70,1000,0,71,1000 71 0 184 -523886 9732095 2147483640 -2147469568
282,Ramblix,57639,257,2,19856,19980,76.47,0.6,2.0,70,7647,60,200,7647 200 60 485 1107369984 -266469342 1249902591 2147483632
285,???,57642,257,1,20568,20640,0.22,76.61,76.6,45,22,7661,7660,22 7660 7661 1956 7662 1896 7663 7664
288,Novice Moogle,57645,257,70,25468,25648,-440.0,0.2,7.38,90,-44000,20,738,-44000 738 20 13 -735389 -305106 -43800 -731697
289,???,57646,257,93,25556,25648,-440.0,0.2,7.38,90,-44000,20,738,-44000 738 20 13 -735389 -305106 -43800 -731697
290,Albanus,57647,257,41,26088,26140,-441.99,0.7,19.33,90,-44199,70,1933,-44199 1933 70 120 13 -736895 -306507 -43800
291,Home Point #1,57648,257,1,27184,27308,77.53,0.27,77.6,50,7753,27,7760,7753 7760 27 28 -2 7756 7761 7765
292,Home Point #2,57649,257,1,37752,37876,77.53,0.27,77.6,50,7753,27,7760,7753 7760 27 28 -2 7756 7761 7765
293,Home Point #3,57650,257,1,48320,48444,77.53,0.27,77.6,50,7753,27,7760,7753 7760 27 28 -2 7756 7761 7765
294,Home Point #4,57651,257,1,58888,59012,77.53,0.27,77.6,50,7753,27,7760,7753 7760 27 28 -2 7756 7761 7765
295,Home Point #5,57652,257,1,69456,69580,77.53,0.27,77.6,50,7753,27,7760,7753 7760 27 28 -2 7756 7761 7765
296,Ethereal Junctio,57653,257,1,80024,80044,0.23,78.08,78.07,30,23,7808,7807,23 7807 7808 1 0 894 8 15
297,Ethereal Junctio,57654,257,1,81388,81408,0.23,78.08,78.07,30,23,7808,7807,23 7807 7808 1 0 894 8 15
298,Ethereal Junctio,57655,257,1,82752,82772,0.23,78.08,78.07,30,23,7808,7807,23 7807 7808 1 0 894 8 15
