offset,token
1809,fdo1
3424,main
3441,ovl1
3511,whi1
3528,blof
3545,fdi0
3697,fdo1
3714,fdo1
4103,whi1
4120,blof
4245,whi1
4262,blof
4279,fdo1
4296,fdo1l
4831,main
4848,fdi2
5116,fdi2
5152,whi1
5169,blof
5253,fdo1
5270,fdo1
5571,whi1
5588,blof
5670,back
5690,fdi1
5707,main
5733,fdo2
5750,fdo2
5799,fdo2
5816,fdo2
5831,sesp
5848,sesp
5865,sesp
5882,sesp
5899,sesp
6018,back
6038,fdi1
6055,fdi1
6070,main
6142,fdo1
6159,fdo1E5
6174,whi1
6200,fdo1
6217,fdo1E5
6232,whi1
6274,fdo2
6291,fdo2
6321,back
6350,fdi1
6367,fdi1
6382,main
6443,back
6460,fdi1
6477,fdi1
6492,main
6512,fdo2
6529,fdo2
6559,back
6579,fdi1
6596,fdi1
6611,main
6660,back
6677,fdi1
6694,fdi1
6709,main
6963,main
6983,fdo1
7054,main
7074,fdo1
7127,main
7147,fdo1
7170,fdi1
7190,main
7229,main
7249,fdo1
7272,fdi1
7292,main
7331,main
7351,fdo1
7374,fdi1
7394,main
7433,main
7453,fdo1
7476,fdi1
7496,main
7535,main
7555,fdo1
7578,fdi1
7598,main
7675,main
7695,fdo1
7771,main
7791,fdo1
7826,fdi1
7846,main
7910,fdi2
8039,z00a
8056,z00a
8071,main
8088,fdi1
8108,main
8125,fdi1
8163,z00b
8218,z00c
8235,z00c+
8258,z00f
8282,z00f
8314,z011
8349,z011
8370,ovl1
8387,blon
8404,z000
8421,z000N
8448,z001
8465,z001E
8480,z002
8500,s016
8517,str0
8534,str0
8549,str1
8586,bhse
8613,z002E
8628,fdi1
8645,z003
8677,z003E
8692,blof
8709,z004
8748,z004E
8763,z005
8788,z005E
8803,z006
8843,z006E
8858,z007
8886,z007+
8909,z008
8926,z008+
8949,z00g
8966,z00g'
9015,z009
9040,z009'
9075,z010
9108,z010E
9123,ovl1
9140,z00e
9184,prcl
9253,blon
9270,y005
9290,y005E
9305,y000
9444,y004
9482,ovl1
9499,y006
9591,y006E
9606,y007
9623,y007
9641,y008
9671,y008E
9686,bash
9703,ovl1
9720,y001
9737,main
9754,main
9771,main
9788,main
9805,main
9822,main
9903,y001J
9939,y010
9956,main
9996,bash
10013,y010
10031,main
10048,y011
10068,bash
10085,y011
10103,y009
10161,y009
10195,y002
10212,y002
10227,main
10244,s77a
10301,main
10318,main
10335,main
10352,main
10397,y003
10414,y003
10429,main
10446,s77a
10496,vbon
10513,blon
10530,y00a
10547,s078
10564,s080
10581,s79a
10604,y00aE
10619,y00d
10636,blon
10653,y00dE
10668,s190
10685,y012
10702,s081
10719,kill
10736,s77k
10753,kill
10770,s77k
10814,s19k
10831,s020
10848,y012E
10863,ovl1
10880,blof
10897,y00b
10914,kill
10931,kill
10948,kill
10965,kill
10982,y00b
11074,vbof
11091,y013
11119,y013'
11154,y014
11194,main
11211,main
11228,main
11248,y014E
11263,z00h
11280,z00h
11310,y015
11335,y015y
11370,y016
11387,y016
11464,y00c
11506,bash
11534,y00c
11555,y017
11586,y017E
11601,s79k
11694,ini1
11812,x00a
11863,fdi1
11880,fdi1U
11926,bhse
11943,x000
11998,ovl1
12015,x001
12060,x001E
12075,x002
12093,ini1
12111,main
12128,ryse
12143,ini1
12164,main
12181,ryse
12201,main
12221,main
12241,main
12259,ini1
12274,main
12294,main
12319,ini1
12334,main
12351,x002E
12366,x003
12401,x003'
12525,x006
12555,x006+
12578,x007
12659,x004
12676,x004+
12708,ovl1
12725,x008
12752,x008E
12767,x009
12800,x009'
12822,x010
12850,x010'
12875,x011
12906,s133
12936,s134
12966,s135
12983,s170
13000,main
13017,main
13037,x011E
13052,ovl1
13069,x012
13096,x012E
13111,x013
13161,x013
13179,x00c
13196,x00c+
13219,x014
13236,x014+
13277,s17k
13294,s018
13311,kill
13328,kill
13345,blon
13362,x015
13417,x016
13434,x016'
13459,blon
13476,x018
13496,s134
13513,x018'
13538,blon
13555,x017
13572,s136
13774,s79a
13791,main
13808,s77a
13831,y00d
13855,fdi1
13893,y00d+
13926,fdo1
