npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
138,Spatial Displace,61588,257,1,16948,17132,800.47,1.28,20.34,50,80047,128,2034,80047 2034 128 0 54 639638 599583 80539
139,Spatial Displace,61589,257,1,16976,17132,800.47,1.28,20.34,50,80047,128,2034,80047 2034 128 0 54 639638 599583 80539
141,Prishe,61591,257,38,17004,17132,800.47,1.28,20.34,50,80047,128,2034,80047 2034 128 0 54 639638 599583 80539
142,Ulmia,61592,257,71,17652,17800,637.08,-30.0,19.0,85,63708,-3000,1900,63708 1900 -3000 2500 13 640070 599465 63781
143,Tenzen,61593,257,57,18736,18848,637.8,-30.0,20.53,85,63780,-3000,2053,63780 2053 -3000 3000 13 40 638429 598638
144,Cherukiki,61594,257,17,20040,20096,20.66,-1.0,-10.0,90,2066,-100,-1000,2066 -1000 -100 431 10 72 0 645404
145,Kukki-Chebukki,61595,257,17,20332,20388,19.96,-1.0,-10.0,90,1996,-100,-1000,1996 -1000 -100 431 647271 597527 63595 2065
146,Makki-Chebukki,61596,257,17,20588,20644,20.38,-1.0,-10.0,90,2038,-100,-1000,2038 -1000 -100 431 646837 600094 64047 2032
147,???,61597,257,8,25772,25816,-30.0,0.01,0.0,90,-3000,1,0,-3000 0 1 452 94 -523884 26378239 2147483640
154,Nag'molada,61604,257,28,19524,19628,20.39,0.0,4.67,30,2039,0,467,2039 467 0 470 465 643 381 -523884
155,Bahamut,61605,257,103,20928,21012,665.0,425.0,0.0,80,66500,42500,0,66500 0 42500 1024 3072 3750 16 1
164,Bahamut,61614,257,24,20848,21012,665.0,425.0,0.0,80,66500,42500,0,66500 0 42500 1024 3072 3750 16 1
165,ship,61615,257,19,25932,26028,0.0,350.0,10.24,70,0,35000,1024,0 1024 35000 8 224 -523886 20152319 -2147469568
166,Justinius,61616,257,4,26272,26436,1.5,2.0,76.58,30,150,200,7658,150 7658 200 30 7659 7660 70 80
167,???,61617,257,13,26376,26516,-8.51,-338.99,-925.39,120,-851,-33899,-92539,-851 -92539 -33899 2794 7666 3072 20 7667
172,Kenkyuin_A,61622,257,4,32728,32768,-71.15,-340.59,-893.35,105,-7115,-34059,-89335,-7115 -89335 -34059 2490 54 -2147460352 2147483640 2147483640
173,Kenkyuin_B,61623,257,4,32844,32872,-56.79,-340.59,-877.26,105,-5679,-34059,-87726,-5679 -87726 -34059 2580 37 -134114816 -1803550721 -2047
174,Kenkyuin_C,61624,257,4,32932,32960,0.0,-340.2,-853.21,105,0,-34020,-85321,0 -85321 -34020 3072 37 -134114816 -1803550721 -2047
175,Kenkyuin_D,61625,257,4,33020,33048,55.45,-340.59,-878.57,90,5545,-34059,-87857,5545 -87857 -34059 3643 37 -134114816 -1803550721 -2047
176,Kenkyuin_E,61626,257,4,33108,33228,28.0,-354.99,-1170.0,110,2800,-35499,-117000,2800 -117000 -35499 2048 13 1400 61 -134114816
177,Kenkyuin_F,61627,257,10,33196,33228,28.0,-354.99,-1170.0,110,2800,-35499,-117000,2800 -117000 -35499 2048 13 1400 61 -134114816
178,Kenkyuin_G,61628,257,10,33320,33364,40.96,-14.0,0.13,90,4096,-1400,13,4096 13 -1400 61 -134114816 -1803550721 -2047 3604607
179,TEST_DOOR,61629,257,3,33500,33648,77.57,0.26,0.28,30,7757,26,28,7757 28 26 22 14 7765 0 7766
188,Ramblix,61640,257,2,33592,33716,77.58,0.6,2.0,70,7758,60,200,7758 200 60 485 1107369984 -266469342 1249902591 2147483632
