offset,token
1232,s026
1261,s026E
1276,ovl1
1293,s027
1375,s027E
1390,s028
1464,tlb1'
1510,s028E
1525,s029
1548,si01U
1563,s029E
1578,ovl1
1597,s030
1625,s030E
1640,ovl1
1659,s031
1676,gba0+3
1699,s031E
1714,s032
1720,kidl03
1748,si02S5
1761,si02R
1776,s032E
1791,s033
1838,s033E
1853,s034
1876,utan+5
1901,s034E
1916,s035
1969,ovl1
1986,s035E
2001,s036
2023,tlc1
2069,s036E
2084,s037
2116,no01+4
2177,tla1f
2192,thk2R
2227,s038
2244,twb0+3
2269,twb1#S3
2283,twb1R
2298,s038E
2313,s039
2357,thk1+5
2433,s039E
2448,s040
2483,s040E
2498,s041
2540,s041E
2555,s042
2582,thk2+5
2605,twa0+5
2659,s042E
2674,s043
2766,s042E
2781,s043
2865,tla1R
2880,s043E
2895,s044
2957,s044E
2972,s045
2989,twa0+5
3035,twa1R
3050,s045E
3065,s047
3090,thk2S4
3103,thk2K4
3165,s047E
3180,s048
3283,s000
3320,s000E
3335,s001
3358,dfk0+0
3384,dfk1R
3399,s001E
3414,s002
3460,s002E
3475,s003
3492,tnm0+0
3556,s003E
3571,s004
3588,ovl1
3631,s004E
3646,s005
3665,dfc0+0
3693,lsa0+0
3733,s005E
3748,s006
3775,tlk0+0
3798,s006E
3813,s008
3830,iro0+0
3853,s008E
3868,s007
3906,wav0S0
3919,wav0
3950,s007F
3990,s009
4064,s009E
4079,s010
4117,dfk0R
4132,s010E
4147,s011
4172,dfk1S1
4185,dfk1R
4200,s011E
4215,s012
4287,s012E
4302,s013
4319,joy0+1
4340,joy0R
4355,s013E
4370,ovl1
4387,s014
4412,wav0+1
4433,wav0
4464,s014F
4504,s015
4538,corp
4567,okir
4585,s015E
4600,s016
4630,hoh0+2
4653,s016E
4668,s017
4685,joy0+2
4708,ehn0+2
4731,lsa0R
4746,s017E
4761,s018
4789,lsa1R
4804,s018N
4831,s019
4861,s019E
4876,ovl2
4893,s020
4932,s020E
4947,ovl2
4964,stw1
4981,fdi1
5041,ovl2
5058,gat0
5075,fdi1
5095,ovl1
5112,gat1
5127,ooff
5152,ovl1
5169,gat2
5224,gat2E
5239,s022
5259,dfm0+0
5282,s022E
5297,s023
5314,dfk0+1
5337,s023E
5352,s024
5369,dfc0+2
5392,s024E
5407,s025
5432,ononR
5447,s025F
5469,fdo0
5486,fdo0
5503,fdi0
5521,fdo1
5538,fdo1
5554,fdi1
5572,fdo2
5589,fdo2
5605,fdi2
5623,main
5643,fdo1
5664,fdi1
5681,main
5702,main
5722,fdo1
5743,fdi1
5760,main
5895,sha0S
5908,sha0
5932,sha1S
5945,sha1
6268,fdo1
6291,gat0
6315,fdi1
6335,ovl1
6352,gat1
6367,ooff
6393,ovl1
6410,gat2
6428,ononT
6441,ononME
6457,fdo1
6588,fdo1
6611,stw1
6635,fdi1
6679,fdo1
6701,fdi1
6808,fdo1
6831,wtw1
6855,fdi1
6899,fdo1
6921,fdi1
7028,fdo1
7051,etw1
7075,fdi1
7119,fdo1
7141,fdi1
9386,cy01
9471,kidl0
9480,kidl0
9489,kidl0
9498,kidl0
9540,c547E
9555,c548
9607,pa00
9686,kidl0
9695,kidl0
9704,kidl0
9713,kidl0
9764,cy01
9825,cy02
9893,atl0
10005,k182
10020,kil6
10036,k182
10051,kil6-
10064,kci1-
10077,kci2-
10090,kci3-
10103,kci4w
10695,c501
10726,c511
12240,won2
12254,wof2
12590,shk0S
12603,shk0
12633,obi0
12649,bik0
12675,zit0
13094,shk0S
13107,shk0
13137,obi0
13153,bik0
13179,zit0
13262,wai0
13635,shk0
13665,obi0
13681,bik0
13707,zit0
13790,wai0
15098,kil6-
15111,sci1-
15124,sci2-
15137,sci3-
15215,c501
15235,c501+
15258,cy02E
15293,c502
15310,cy02
15378,c502E
15393,c504
15416,c504E
15431,c505
15456,c505E
15471,c506
15491,cy01
15517,c506E
15532,c507
15549,cy02
15575,c507E
15590,c508
15633,lop6'
15661,c508E
15676,c509
15696,str0
15728,cy03E
15743,c510
15769,c510E
15784,c511
15828,c511E
15843,c512
15860,kill
15917,c512E
15932,c513
15956,c513E
15971,c514
16001,c514
16025,c515
16042,c502+
16065,c515E
16080,c516
16097,c503+
16120,c516E
16135,c517
16160,c517E
16175,c518
16192,tlb0+
16218,tlb1R
16233,c518E
16248,c519
16276,c519E
16291,c520
16316,c520E
16331,c521
16348,c513
16374,c521E
16389,c522
16431,c522E
16446,c523
16477,c523E
16492,c524
