npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
341,Gate of the Gods,8540,258,1,3064,3120,1.2,1.8,5.4,30,120,180,540,120 540 180 324 18874368 25165860 629146240 34603010
342,Particle Gate,8541,258,3,3460,3492,0.11,0.01,72.62,15,11,1,7262,11 7262 1 0 200 60 19 94
343,Particle Gate,8542,258,1,5204,5224,72.67,0.01,72.68,70,7267,1,7268,7267 7268 1 0 -482664 259994 2048 84
344,Particle Gate,8543,258,1,4096,4116,0.1,72.56,72.55,15,10,7256,7255,10 7255 7256 1 0 200 60 19
405,Ebon Panel,8604,258,1,4832,4964,72.63,0.01,72.64,50,7263,1,7264,7263 7264 1 0 718045 500049 77 1208033280
406,Ebon Panel,8605,258,1,4860,4964,72.63,0.01,72.64,50,7263,1,7264,7263 7264 1 0 718045 500049 77 1208033280
407,Ebon Panel,8606,258,1,4888,4964,72.63,0.01,72.64,50,7263,1,7264,7263 7264 1 0 718045 500049 77 1208033280
408,Ebon Panel,8607,258,1,4916,4964,72.63,0.01,72.64,50,7263,1,7264,7263 7264 1 0 718045 500049 77 1208033280
409,???,8608,258,1,4944,4964,72.63,0.01,72.64,50,7263,1,7264,7263 7264 1 0 718045 500049 77 1208033280
410,???,8609,258,1,5072,5224,72.67,0.01,72.68,70,7267,1,7268,7267 7268 1 0 -482664 259994 2048 84
422,???,8621,258,3,5608,5756,20.35,0.3,0.18,35,2035,30,18,2035 18 30 54 2866 -320142 -2012 -319991
423,Prishe,8622,258,124,5636,5804,-0.04,24.99,-243.42,120,-4,2499,-24342,-4 -24342 2499 3075 645 -16321 4568 -1074
424,Selh'teus,8623,258,19,6152,6216,-4.74,74.99,267.68,85,-474,7499,26768,-474 26768 7499 3198 79 2228224 -524241 -127107073
430,Nag'molada,8629,258,74,7688,7812,84.91,22.72,75.21,70,8491,2272,7521,8491 7521 2272 152 2228224 -524241 -127107073 8388607
435,Trailmix,8634,258,2,17252,17372,72.95,0.6,2.0,85,7295,60,200,7295 200 60 506 1107369984 -1940 25165951 -2147410816
437,Selh'teus,8636,258,87,17896,17964,118.63,7.64,27.0,70,11863,764,2700,11863 2700 764 81 2228224 -524241 -127107073 8388607
438,Yve'noile,8637,258,36,18064,18160,65.26,30.57,0.19,70,6526,3057,19,6526 19 3057 112 2228224 -524241 -127107073 8388607
439,Prishe,8638,258,52,18288,18380,45.68,41.24,-10.74,120,4568,4124,-1074,4568 -1074 4124 3302 4640 -875 3352 54
453,Home Point #1,8653,258,1,19552,19676,74.8,0.27,74.87,50,7480,27,7487,7480 7487 27 28 -2 7483 7488 7492
454,Home Point #2,8654,258,1,30120,30244,74.8,0.27,74.87,50,7480,27,7487,7480 7487 27 28 -2 7483 7488 7492
455,Home Point #3,8655,258,1,40688,40812,74.8,0.27,74.87,50,7480,27,7487,7480 7487 27 28 -2 7483 7488 7492
456,Home Point #4,8656,258,1,51256,51380,74.8,0.27,74.87,50,7480,27,7487,7480 7487 27 28 -2 7483 7488 7492
457,Home Point #5,8657,258,1,61824,61948,74.8,0.27,74.87,50,7480,27,7487,7480 7487 27 28 -2 7483 7488 7492
