offset,token
2089,fdo1
3704,main
3721,ovl1
3791,whi1
3808,blof
3825,fdi0
3905,fdo1
3922,fdo1
4311,whi1
4328,blof
4453,whi1
4470,blof
4487,fdo1
4504,fdo1l
5039,main
5056,fdi2
5324,fdi2
5360,whi1
5377,blof
5461,fdo1
5478,fdo1
5779,whi1
5796,blof
5912,bc00
5929,fdi2
5980,main
6000,fdo1
6020,bc00
6063,bc01
6080,fdi1
6097,main
6117,bc01F
6262,bc02
6289,bc02E
6304,bc03
6328,bc03E
6343,bc04
6389,bc04E
6479,bc07
6496,fdi1
6513,main
6533,bc07F
6596,bc05
6633,main
6653,fdo1
6673,bc05
6716,bc06
6733,fdi1
6750,main
6770,bc06F
6821,bc06
6838,fdi1
6855,main
6875,bc06F
6905,fdi0
6922,fdi0
6938,fdo0
6955,fdo0
6971,fdi1
6988,fdi1
7004,fdo1
7021,fdo1
7037,whi1
7054,whi1
7070,who1
7087,who1
7103,who2
7120,who2
7136,who3
7153,who3
7169,main
7189,fdo1
7206,fdo1
7222,fdi1
7239,main
7259,fdi1
7275,blon
7292,blon
7310,whi0
7327,whi0
7343,who0
7360,who0
7376,efon
7393,efon
7409,fdis
7427,fdos
7444,fdos
7460,fdif
7478,fdof
7495,fdof
7511,fdip
7529,fdop
7546,fdop
7889,main
7909,fdo1
7930,fdi1
7947,main
8572,fdo1
8602,warp
8626,fdi1
8642,kijoT
8655,kijoR
8670,warpE
8685,ovl1
8702,wap2
8720,stup
8746,wap2F
10746,W#BC
11397,fdo1
11420,ouza
11437,fdi1
11455,s151-
11468,lst4
11484,lst6
11500,lst5
11516,endqL
11535,fdo1
11555,whi1
11573,ouza
11595,fdi1
11890,end1
11908,dor1-
11921,lop1
11939,end1
12206,warp
12573,fdo1
12596,keyn
12620,fdi1
12654,fdo1
12677,kita
12724,fdi1
12742,s154-
12755,pane
12771,mizo
12787,slid
12805,ovl1
12822,kit2
12840,kcha
12858,who1
12876,kila-
12889,kilc-
12902,kilpR
12917,kitaM
12943,whi1
13093,fdo1
13116,keys
13140,fdi1
13174,fdo1
13197,kita
13244,fdi1
13262,s154-
13275,pane
13291,mizo
13307,slid
13325,ovl1
13342,kit2
13360,kchb
13378,who1
13396,kilb-
13409,kilc-
13422,kilpR
13437,kitaM
13463,whi1
13634,who1
13657,ex35
13688,whi1
13722,fdo1
13743,ex35F
13765,fdi1
13834,fdo1
13857,in35
13888,fdi1
13922,fdo1
13943,in35F
13965,fdi1
14034,fdo1
14057,ex35
14088,fdi1
14122,fdo1
14143,ex35F
14165,fdi1
14382,fdo1
14405,tow3
14439,fdi1
14457,s157-
14524,tow3E
14539,ovl1
14556,tow4
14583,who1
14613,tow4
14652,whi1
14701,fdo1
14724,tow3
14758,fdi1
14776,s157-
14843,tow3E
14858,ovl1
14875,tow4
14902,who1
14932,tow4
14971,whi1
15222,op10
15237,op10
15253,kill
15398,fdo1
15421,tow3
15455,fdi1
15473,s157-
15540,tow3E
15555,ovl1
15572,tow4
15599,who1
15629,tow4
15668,whi1
15717,fdo1
15740,tow3
15774,fdi1
15792,s157-
15859,tow3E
15874,ovl1
15891,tow4
15918,who1
15948,tow4
15987,whi1
16126,fdo1
16149,tow3
16183,fdi1
16201,s157-
16268,tow3E
16283,ovl1
16300,tow4
16327,who1
16357,tow4
16396,whi1
