index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Qn'zdei,12289,258,00 00 00 00 00 00 00 00 00 00 00 00 01 30 02 01
2,64,Qn'zdei,12290,258,00 00 00 00 00 00 00 00 00 00 00 00 02 30 02 01
3,96,Qn'zdei,12291,258,00 00 00 00 00 00 00 00 00 00 00 00 03 30 02 01
4,128,Qn'zdei,12292,258,00 00 00 00 00 00 00 00 00 00 00 00 04 30 02 01
5,160,Qn'zdei,12293,258,00 00 00 00 00 00 00 00 00 00 00 00 05 30 02 01
6,192,Qn'zdei,12294,258,00 00 00 00 00 00 00 00 00 00 00 00 06 30 02 01
7,224,Qn'zdei,12295,258,00 00 00 00 00 00 00 00 00 00 00 00 07 30 02 01
8,256,Qn'zdei,12296,258,00 00 00 00 00 00 00 00 00 00 00 00 08 30 02 01
9,288,Qn'zdei,12297,258,00 00 00 00 00 00 00 00 00 00 00 00 09 30 02 01
10,320,Qn'zdei,12298,258,00 00 00 00 00 00 00 00 00 00 00 00 0a 30 02 01
11,352,Qn'zdei,12299,258,00 00 00 00 00 00 00 00 00 00 00 00 0b 30 02 01
12,384,Qn'zdei,12300,258,00 00 00 00 00 00 00 00 00 00 00 00 0c 30 02 01
13,416,Aw'aern,12301,258,00 00 00 00 00 00 00 00 00 00 00 00 0d 30 02 01
14,448,Aw'aern,12302,258,00 00 00 00 00 00 00 00 00 00 00 00 0e 30 02 01
15,480,Aw'aern,12303,258,00 00 00 00 00 00 00 00 00 00 00 00 0f 30 02 01
16,512,Aw'aern,12304,258,00 00 00 00 00 00 00 00 00 00 00 00 10 30 02 01
17,544,Aw'aern,12305,258,00 00 00 00 00 00 00 00 00 00 00 00 11 30 02 01
18,576,Aw'aern,12306,258,00 00 00 00 00 00 00 00 00 00 00 00 12 30 02 01
19,608,Aw'aern,12307,258,00 00 00 00 00 00 00 00 00 00 00 00 13 30 02 01
20,640,Aw'aern,12308,258,00 00 00 00 00 00 00 00 00 00 00 00 14 30 02 01
21,672,Aern's Wynav,12309,258,00 00 00 00 00 00 00 00 00 00 00 00 15 30 02 01
22,704,Aw'aern,12310,258,00 00 00 00 00 00 00 00 00 00 00 00 16 30 02 01
23,736,Aw'aern,12311,258,00 00 00 00 00 00 00 00 00 00 00 00 17 30 02 01
24,768,Aw'aern,12312,258,00 00 00 00 00 00 00 00 00 00 00 00 18 30 02 01
25,800,Aw'aern,12313,258,00 00 00 00 00 00 00 00 00 00 00 00 19 30 02 01
26,832,Aw'ghrah,12314,258,00 00 00 00 00 00 00 00 00 00 00 00 1a 30 02 01
27,864,Aw'ghrah,12315,258,00 00 00 00 00 00 00 00 00 00 00 00 1b 30 02 01
28,896,Aw'ghrah,12316,258,00 00 00 00 00 00 00 00 00 00 00 00 1c 30 02 01
29,928,Aw'ghrah,12317,258,00 00 00 00 00 00 00 00 00 00 00 00 1d 30 02 01
30,960,Aw'aern,12318,258,00 00 00 00 00 00 00 00 00 00 00 00 1e 30 02 01
31,992,Aern's Euvhi,12319,258,00 00 00 00 00 00 00 00 00 00 00 00 1f 30 02 01
32,1024,Aw'aern,12320,258,00 00 00 00 00 00 00 00 00 00 00 00 20 30 02 01
33,1056,Aw'aern,12321,258,00 00 00 00 00 00 00 00 00 00 00 00 21 30 02 01
34,1088,Aern's Elemental,12322,258,00 00 00 00 00 00 00 00 00 00 00 00 22 30 02 01
35,1120,Aw'aern,12323,258,00 00 00 00 00 00 00 00 00 00 00 00 23 30 02 01
36,1152,Aw'aern,12324,258,00 00 00 00 00 00 00 00 00 00 00 00 24 30 02 01
37,1184,Aw'aern,12325,258,00 00 00 00 00 00 00 00 00 00 00 00 25 30 02 01
38,1216,Aw'aern,12326,258,00 00 00 00 00 00 00 00 00 00 00 00 26 30 02 01
39,1248,Aw'aern,12327,258,00 00 00 00 00 00 00 00 00 00 00 00 27 30 02 01
40,1280,Aw'ghrah,12328,258,00 00 00 00 00 00 00 00 00 00 00 00 28 30 02 01
41,1312,Aw'ghrah,12329,258,00 00 00 00 00 00 00 00 00 00 00 00 29 30 02 01
42,1344,Aw'ghrah,12330,258,00 00 00 00 00 00 00 00 00 00 00 00 2a 30 02 01
43,1376,Aw'ghrah,12331,258,00 00 00 00 00 00 00 00 00 00 00 00 2b 30 02 01
44,1408,Aw'ghrah,12332,258,00 00 00 00 00 00 00 00 00 00 00 00 2c 30 02 01
45,1440,Aw'ghrah,12333,258,00 00 00 00 00 00 00 00 00 00 00 00 2d 30 02 01
46,1472,Aw'ghrah,12334,258,00 00 00 00 00 00 00 00 00 00 00 00 2e 30 02 01
47,1504,Aw'ghrah,12335,258,00 00 00 00 00 00 00 00 00 00 00 00 2f 30 02 01
48,1536,Aw'ghrah,12336,258,00 00 00 00 00 00 00 00 00 00 00 00 30 30 02 01
49,1568,Aw'ghrah,12337,258,00 00 00 00 00 00 00 00 00 00 00 00 31 30 02 01
50,1600,Aw'ghrah,12338,258,00 00 00 00 00 00 00 00 00 00 00 00 32 30 02 01
51,1632,Aw'ghrah,12339,258,00 00 00 00 00 00 00 00 00 00 00 00 33 30 02 01
52,1664,Aw'euvhi,12340,258,00 00 00 00 00 00 00 00 00 00 00 00 34 30 02 01
53,1696,Aw'euvhi,12341,258,00 00 00 00 00 00 00 00 00 00 00 00 35 30 02 01
54,1728,Aw'ghrah,12342,258,00 00 00 00 00 00 00 00 00 00 00 00 36 30 02 01
55,1760,Aw'euvhi,12343,258,00 00 00 00 00 00 00 00 00 00 00 00 37 30 02 01
56,1792,Aw'euvhi,12344,258,00 00 00 00 00 00 00 00 00 00 00 00 38 30 02 01
57,1824,Aw'ghrah,12345,258,00 00 00 00 00 00 00 00 00 00 00 00 39 30 02 01
58,1856,Aw'euvhi,12346,258,00 00 00 00 00 00 00 00 00 00 00 00 3a 30 02 01
59,1888,Aw'euvhi,12347,258,00 00 00 00 00 00 00 00 00 00 00 00 3b 30 02 01
60,1920,Aw'ghrah,12348,258,00 00 00 00 00 00 00 00 00 00 00 00 3c 30 02 01
61,1952,Aw'euvhi,12349,258,00 00 00 00 00 00 00 00 00 00 00 00 3d 30 02 01
62,1984,Aw'euvhi,12350,258,00 00 00 00 00 00 00 00 00 00 00 00 3e 30 02 01
63,2016,Aw'ghrah,12351,258,00 00 00 00 00 00 00 00 00 00 00 00 3f 30 02 01
64,2048,Aw'euvhi,12352,258,00 00 00 00 00 00 00 00 00 00 00 00 40 30 02 01
65,2080,Aw'euvhi,12353,258,00 00 00 00 00 00 00 00 00 00 00 00 41 30 02 01
