npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
455,Luminous Converg,12750,258,3,11292,11360,6.0,0.01,2.01,30,600,1,201,600 201 1 235 1124147200 1174487808 4538881 -3968
456,Particle Gate,12751,258,3,11612,11684,10.24,3.0,0.02,90,1024,300,2,1024 2 300 244 -2147465216 -2147408861 -2147319806 268436005
457,Particle Gate,12752,258,1,12452,12468,0.14,76.44,76.41,15,14,7644,7641,14 7641 7644 1 0 200 60 19
458,Particle Gate,12753,258,1,12972,12988,0.14,76.44,76.42,15,14,7644,7642,14 7642 7644 1 0 200 60 19
489,Cermet Portal,12784,258,1,13492,13568,2.0,76.44,76.5,65,200,7644,7650,200 7650 7644 610 1208033280 52658176 -2147414014 595591752
491,Warp_1F,12786,258,1,11944,11960,0.07,0.02,76.3,90,7,2,7630,7 7630 2 0 -420000 -1750 1000 1
492,_iz1,12787,258,1,12092,12112,76.3,0.0,0.02,30,7630,0,2,7630 2 0 1 94 900 180 420000
493,Warp_3F,12788,258,1,12308,12324,0.08,0.02,76.3,15,8,2,7630,8 7630 2 0 7631 1 -420000 -1750
494,Ebon Panel,12789,258,21,14943,15063,38.4,0.0,0.0,50,3840,0,0,3840 0 0 0 5046348 36829183 3585 0
495,4F_N_BOX,12790,258,21,15000,15160,-65.5,-52.0,0.0,90,-6550,-5200,0,-6550 0 -5200 54 90 -523886 5144575 16921079
496,???,12791,258,32,15084,15160,-65.5,-52.0,0.0,90,-6550,-5200,0,-6550 0 -5200 54 90 -523886 5144575 16921079
497,Ebon Panel,12792,258,1,15272,15296,7.08,76.53,76.51,15,708,7653,7651,708 7651 7653 1 0 200 60 19
498,Ebon Panel,12793,258,1,16000,16024,7.08,76.53,76.51,15,708,7653,7651,708 7651 7653 1 0 200 60 19
499,Ebon Panel,12794,258,1,16728,16752,7.08,76.53,76.51,15,708,7653,7651,708 7651 7653 1 0 200 60 19
500,Ebon Panel,12795,258,1,17456,17480,7.08,76.53,76.51,15,708,7653,7651,708 7651 7653 1 0 200 60 19
511,???,12806,258,1,18184,18232,1.17,-19.99,472.0,85,117,-1999,47200,117 47200 -1999 3072 1000 118 1107369984 4522310
512,Particle Gate,12809,258,1,18376,18508,2.7,0.28,7.25,-5,270,28,725,270 725 28 1 2 4 5 7
514,???,12811,258,12,19484,19508,0.07,0.28,6.6,-5,7,28,660,7 660 28 0 130 450 128 600
516,Selh'teus,12813,258,52,20352,20440,10.24,-44.83,27.68,120,1024,-4483,2768,1024 2768 -4483 3072 -43 1684 104 2228224
518,Tenzen,12815,258,58,20736,20844,-6.71,-5.0,-364.9,105,-671,-500,-36490,-671 -36490 -500 1016 40 -676 -52847 996
522,Nag'molada,12819,258,128,21520,21600,-0.03,74.99,266.95,100,-3,7499,26695,-3 26695 7499 3073 29 17100 19 3072
523,Makki-Chebukki,12820,258,29,21796,21924,-6.75,3.36,30.72,90,-675,336,3072,-675 3072 336 132 2228224 -524241 -127107073 8388607
524,Kukki-Chebukki,12821,258,29,22072,22196,-6.75,3.36,30.72,90,-675,336,3072,-675 3072 336 132 2228224 -524241 -127107073 8388607
525,Cherukiki,12822,258,29,22344,22468,-6.75,3.37,30.72,90,-675,337,3072,-675 3072 337 132 2228224 -524241 -127107073 8388607
530,Yve'noile,12827,258,21,23448,23524,101.25,10.24,28.5,70,10125,1024,2850,10125 2850 1024 89 2228224 -524241 -127107073 8388607
532,Trailmix,12829,258,2,37056,37176,76.64,0.6,2.0,85,7664,60,200,7664 200 60 506 1107369984 -1940 25165951 -2147410816
535,Promathia,12832,258,70,37864,37940,-0.25,481.0,10.24,90,-25,48100,1024,-25 1024 48100 93 2228224 -524241 -127107073 8388607
553,Home Point #1,12851,258,1,40572,40696,77.92,0.27,77.99,50,7792,27,7799,7792 7799 27 28 -2 7795 7800 7804
554,Home Point #2,12852,258,1,51140,51264,77.92,0.27,77.99,50,7792,27,7799,7792 7799 27 28 -2 7795 7800 7804
555,Home Point #3,12853,258,1,61708,61832,77.92,0.27,77.99,50,7792,27,7799,7792 7799 27 28 -2 7795 7800 7804
556,Home Point #4,12854,258,1,72276,72400,77.92,0.27,77.99,50,7792,27,7799,7792 7799 27 28 -2 7795 7800 7804
557,Home Point #5,12855,258,1,82844,82968,77.92,0.27,77.99,50,7792,27,7799,7792 7799 27 28 -2 7795 7800 7804
