index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Temenos Orc,20481,258,00 00 00 00 00 00 00 00 00 00 00 00 01 50 02 01
2,64,Temenos Orc,20482,258,00 00 00 00 00 00 00 00 00 00 00 00 02 50 02 01
3,96,Temenos Orc,20483,258,00 00 00 00 00 00 00 00 00 00 00 00 03 50 02 01
4,128,Temenos Orc,20484,258,00 00 00 00 00 00 00 00 00 00 00 00 04 50 02 01
5,160,Temenos Orc,20485,258,00 00 00 00 00 00 00 00 00 00 00 00 05 50 02 01
6,192,Temenos Quadav,20486,258,00 00 00 00 00 00 00 00 00 00 00 00 06 50 02 01
7,224,Temenos Quadav,20487,258,00 00 00 00 00 00 00 00 00 00 00 00 07 50 02 01
8,256,Temenos Quadav,20488,258,00 00 00 00 00 00 00 00 00 00 00 00 08 50 02 01
9,288,Temenos Quadav,20489,258,00 00 00 00 00 00 00 00 00 00 00 00 09 50 02 01
10,320,Temenos Quadav,20490,258,00 00 00 00 00 00 00 00 00 00 00 00 0a 50 02 01
11,352,Temenos Evil Wea,20491,258,70 6f 6e 00 00 00 00 00 00 00 00 00 0b 50 02 01
12,384,Temenos Evil Wea,20492,258,70 6f 6e 00 00 00 00 00 00 00 00 00 0c 50 02 01
13,416,Temenos Evil Wea,20493,258,70 6f 6e 00 00 00 00 00 00 00 00 00 0d 50 02 01
14,448,Temenos Evil Wea,20494,258,70 6f 6e 00 00 00 00 00 00 00 00 00 0e 50 02 01
15,480,Temenos Evil Wea,20495,258,70 6f 6e 00 00 00 00 00 00 00 00 00 0f 50 02 01
16,512,Temenos Yagudo,20496,258,00 00 00 00 00 00 00 00 00 00 00 00 10 50 02 01
17,544,Yagudo's Element,20497,258,61 6c 00 00 00 00 00 00 00 00 00 00 11 50 02 01
18,576,Temenos Yagudo,20498,258,00 00 00 00 00 00 00 00 00 00 00 00 12 50 02 01
19,608,Temenos Yagudo,20499,258,00 00 00 00 00 00 00 00 00 00 00 00 13 50 02 01
20,640,Temenos Yagudo,20500,258,00 00 00 00 00 00 00 00 00 00 00 00 14 50 02 01
21,672,Temenos Yagudo,20501,258,00 00 00 00 00 00 00 00 00 00 00 00 15 50 02 01
22,704,Temenos Orc,20502,258,00 00 00 00 00 00 00 00 00 00 00 00 16 50 02 01
23,736,Temenos Orc,20503,258,00 00 00 00 00 00 00 00 00 00 00 00 17 50 02 01
24,768,Temenos Orc,20504,258,00 00 00 00 00 00 00 00 00 00 00 00 18 50 02 01
25,800,Temenos Orc,20505,258,00 00 00 00 00 00 00 00 00 00 00 00 19 50 02 01
26,832,Temenos Orc,20506,258,00 00 00 00 00 00 00 00 00 00 00 00 1a 50 02 01
27,864,Temenos Doll,20507,258,00 00 00 00 00 00 00 00 00 00 00 00 1b 50 02 01
28,896,Temenos Doll,20508,258,00 00 00 00 00 00 00 00 00 00 00 00 1c 50 02 01
29,928,Temenos Doll,20509,258,00 00 00 00 00 00 00 00 00 00 00 00 1d 50 02 01
30,960,Temenos Doll,20510,258,00 00 00 00 00 00 00 00 00 00 00 00 1e 50 02 01
31,992,Temenos Doll,20511,258,00 00 00 00 00 00 00 00 00 00 00 00 1f 50 02 01
32,1024,Temenos Yagudo,20512,258,00 00 00 00 00 00 00 00 00 00 00 00 20 50 02 01
33,1056,Yagudo's Element,20513,258,61 6c 00 00 00 00 00 00 00 00 00 00 21 50 02 01
34,1088,Temenos Yagudo,20514,258,00 00 00 00 00 00 00 00 00 00 00 00 22 50 02 01
35,1120,Temenos Yagudo,20515,258,00 00 00 00 00 00 00 00 00 00 00 00 23 50 02 01
36,1152,Temenos Yagudo,20516,258,00 00 00 00 00 00 00 00 00 00 00 00 24 50 02 01
37,1184,Temenos Yagudo,20517,258,00 00 00 00 00 00 00 00 00 00 00 00 25 50 02 01
38,1216,Temenos Gigas,20518,258,00 00 00 00 00 00 00 00 00 00 00 00 26 50 02 01
39,1248,Temenos Gigas,20519,258,00 00 00 00 00 00 00 00 00 00 00 00 27 50 02 01
40,1280,Temenos Gigas,20520,258,00 00 00 00 00 00 00 00 00 00 00 00 28 50 02 01
41,1312,Temenos Gigas,20521,258,00 00 00 00 00 00 00 00 00 00 00 00 29 50 02 01
42,1344,Temenos Gigas,20522,258,00 00 00 00 00 00 00 00 00 00 00 00 2a 50 02 01
43,1376,Temenos Doll,20523,258,00 00 00 00 00 00 00 00 00 00 00 00 2b 50 02 01
44,1408,Temenos Doll,20524,258,00 00 00 00 00 00 00 00 00 00 00 00 2c 50 02 01
45,1440,Temenos Doll,20525,258,00 00 00 00 00 00 00 00 00 00 00 00 2d 50 02 01
46,1472,Temenos Doll,20526,258,00 00 00 00 00 00 00 00 00 00 00 00 2e 50 02 01
47,1504,Temenos Doll,20527,258,00 00 00 00 00 00 00 00 00 00 00 00 2f 50 02 01
48,1536,Temenos Quadav,20528,258,00 00 00 00 00 00 00 00 00 00 00 00 30 50 02 01
49,1568,Temenos Quadav,20529,258,00 00 00 00 00 00 00 00 00 00 00 00 31 50 02 01
50,1600,Temenos Quadav,20530,258,00 00 00 00 00 00 00 00 00 00 00 00 32 50 02 01
51,1632,Temenos Quadav,20531,258,00 00 00 00 00 00 00 00 00 00 00 00 33 50 02 01
52,1664,Temenos Quadav,20532,258,00 00 00 00 00 00 00 00 00 00 00 00 34 50 02 01
53,1696,Temenos Orc,20533,258,00 00 00 00 00 00 00 00 00 00 00 00 35 50 02 01
54,1728,Temenos Orc,20534,258,00 00 00 00 00 00 00 00 00 00 00 00 36 50 02 01
55,1760,Temenos Orc,20535,258,00 00 00 00 00 00 00 00 00 00 00 00 37 50 02 01
56,1792,Temenos Orc,20536,258,00 00 00 00 00 00 00 00 00 00 00 00 38 50 02 01
57,1824,Temenos Orc,20537,258,00 00 00 00 00 00 00 00 00 00 00 00 39 50 02 01
58,1856,Temenos Quadav,20538,258,00 00 00 00 00 00 00 00 00 00 00 00 3a 50 02 01
59,1888,Temenos Quadav,20539,258,00 00 00 00 00 00 00 00 00 00 00 00 3b 50 02 01
60,1920,Temenos Quadav,20540,258,00 00 00 00 00 00 00 00 00 00 00 00 3c 50 02 01
61,1952,Temenos Quadav,20541,258,00 00 00 00 00 00 00 00 00 00 00 00 3d 50 02 01
62,1984,Temenos Quadav,20542,258,00 00 00 00 00 00 00 00 00 00 00 00 3e 50 02 01
63,2016,Temenos Yagudo,20543,258,00 00 00 00 00 00 00 00 00 00 00 00 3f 50 02 01
64,2048,Yagudo's Element,20544,258,61 6c 00 00 00 00 00 00 00 00 00 00 40 50 02 01
65,2080,Temenos Yagudo,20545,258,00 00 00 00 00 00 00 00 00 00 00 00 41 50 02 01
66,2112,Temenos Yagudo,20546,258,00 00 00 00 00 00 00 00 00 00 00 00 42 50 02 01
67,2144,Temenos Yagudo,20547,258,00 00 00 00 00 00 00 00 00 00 00 00 43 50 02 01
68,2176,Temenos Yagudo,20548,258,00 00 00 00 00 00 00 00 00 00 00 00 44 50 02 01
69,2208,Temenos Goblin,20549,258,00 00 00 00 00 00 00 00 00 00 00 00 45 50 02 01
70,2240,Temenos Goblin,20550,258,00 00 00 00 00 00 00 00 00 00 00 00 46 50 02 01
71,2272,Temenos Goblin,20551,258,00 00 00 00 00 00 00 00 00 00 00 00 47 50 02 01
72,2304,Temenos Goblin,20552,258,00 00 00 00 00 00 00 00 00 00 00 00 48 50 02 01
73,2336,Temenos Moblin,20553,258,00 00 00 00 00 00 00 00 00 00 00 00 49 50 02 01
74,2368,Temenos Orc,20554,258,00 00 00 00 00 00 00 00 00 00 00 00 4a 50 02 01
75,2400,Temenos Orc,20555,258,00 00 00 00 00 00 00 00 00 00 00 00 4b 50 02 01
76,2432,Temenos Orc,20556,258,00 00 00 00 00 00 00 00 00 00 00 00 4c 50 02 01
77,2464,Temenos Orc,20557,258,00 00 00 00 00 00 00 00 00 00 00 00 4d 50 02 01
78,2496,Temenos Orc,20558,258,00 00 00 00 00 00 00 00 00 00 00 00 4e 50 02 01
79,2528,Temenos Quadav,20559,258,00 00 00 00 00 00 00 00 00 00 00 00 4f 50 02 01
80,2560,Temenos Quadav,20560,258,00 00 00 00 00 00 00 00 00 00 00 00 50 50 02 01
81,2592,Temenos Quadav,20561,258,00 00 00 00 00 00 00 00 00 00 00 00 51 50 02 01
82,2624,Temenos Quadav,20562,258,00 00 00 00 00 00 00 00 00 00 00 00 52 50 02 01
83,2656,Temenos Quadav,20563,258,00 00 00 00 00 00 00 00 00 00 00 00 53 50 02 01
84,2688,Temenos Yagudo,20564,258,00 00 00 00 00 00 00 00 00 00 00 00 54 50 02 01
85,2720,Yagudo's Element,20565,258,61 6c 00 00 00 00 00 00 00 00 00 00 55 50 02 01
86,2752,Temenos Yagudo,20566,258,00 00 00 00 00 00 00 00 00 00 00 00 56 50 02 01
87,2784,Temenos Yagudo,20567,258,00 00 00 00 00 00 00 00 00 00 00 00 57 50 02 01
88,2816,Temenos Yagudo,20568,258,00 00 00 00 00 00 00 00 00 00 00 00 58 50 02 01
89,2848,Temenos Yagudo,20569,258,00 00 00 00 00 00 00 00 00 00 00 00 59 50 02 01
90,2880,Temenos Meeble,20570,258,00 00 00 00 00 00 00 00 00 00 00 00 5a 50 02 01
