offset,token
213,main
233,fdo1
254,fdi1
271,main
2598,main
2637,fdo1
2660,fdi1
2677,main
3962,main
4001,fdo1
4024,fdi1
4041,main
4636,main
4675,fdo1
4698,fdi1
4715,main
5308,main
5347,fdo1
5370,fdi1
5387,main
5980,main
6019,fdo1
6042,fdi1
6059,main
6652,main
6691,fdo1
6714,fdi1
6731,main
7324,main
7363,fdo1
7386,fdi1
7403,main
7968,main
8007,fdo1
8030,fdi1
8047,main
8612,main
8651,fdo1
8674,fdi1
8691,main
9256,main
9295,fdo1
9318,fdi1
9335,main
9900,main
9939,fdo1
9962,fdi1
9979,main
10572,main
10611,fdo1
10634,fdi1
10651,main
11244,main
11283,fdo1
11306,fdi1
11323,main
11916,main
11955,fdo1
11978,fdi1
11995,main
12588,main
12627,fdo1
12650,fdi1
12667,main
13260,main
13299,fdo1
13322,fdi1
13339,main
13908,main
13947,fdo1
13970,fdi1
13987,main
14556,main
14595,fdo1
14618,fdi1
14635,main
15204,main
15243,fdo1
15266,fdi1
15283,main
15852,main
15891,fdo1
15914,fdi1
15931,main
16205,open
16269,open
16333,open
16397,open
33214,ids2
33230,ids3
33246,ids4
33262,sp21S
33275,sp21
33407,ids2
33423,ids3
33439,ids4
33455,sp21S
33468,sp21
33563,ids2
33579,ids3
33595,ids4
33611,sp21S
33624,sp21
33749,ids2
33765,ids3
33781,ids4
33797,sp21S
33810,sp21
33919,ids2
33935,ids3
33951,ids4
33967,sp21S
33980,sp21
34074,ids2
34090,ids3
34106,ids4
34122,sp21S
34135,sp21
34239,ids2
34255,ids3
34271,ids4
34287,sp21S
34300,sp21
34752,ids2
34768,ids3
34784,ids4
34800,sp21S
34813,sp21
35098,ids2
35114,ids3
35130,ids4
35146,sp21S
35159,sp21
35291,ids2
35307,ids3
35323,ids4
35339,sp21S
35352,sp21
35447,ids2
35463,ids3
35479,ids4
35495,sp21S
35508,sp21
35633,ids2
35649,ids3
35665,ids4
35681,sp21S
35694,sp21
35803,ids2
35819,ids3
35835,ids4
35851,sp21S
35864,sp21
35958,ids2
35974,ids3
35990,ids4
36006,sp21S
36019,sp21
36123,ids2
36139,ids3
36155,ids4
36171,sp21S
36184,sp21
36636,ids2
36652,ids3
36668,ids4
36684,sp21S
36697,sp21
