index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Achieve Master,45057,258,00 00 00 00 00 00 00 00 00 00 00 00 01 b0 02 01
2,64,Unity Master,45059,258,00 00 00 00 00 00 00 00 00 00 00 00 03 b0 02 01
3,96,,45064,258,00 00 00 00 00 00 00 00 00 00 00 00 08 b0 02 01
4,128,,45066,258,00 00 00 00 00 00 00 00 00 00 00 00 0a b0 02 01
5,160,Hut Door,45067,258,00 00 00 00 00 00 00 00 00 00 00 00 0b b0 02 01
6,192,???,45068,258,00 00 00 00 00 00 00 00 00 00 00 00 0c b0 02 01
7,224,Rook,45069,258,00 00 00 00 00 00 00 00 00 00 00 00 0d b0 02 01
8,256,Rook,45070,258,00 00 00 00 00 00 00 00 00 00 00 00 0e b0 02 01
9,288,Rook,45071,258,00 00 00 00 00 00 00 00 00 00 00 00 0f b0 02 01
10,320,Rook,45072,258,00 00 00 00 00 00 00 00 00 00 00 00 10 b0 02 01
11,352,Item_box,45073,258,00 00 00 00 00 00 00 00 00 00 00 00 11 b0 02 01
12,384,Pursuivant,45074,258,00 00 00 00 00 00 00 00 00 00 00 00 12 b0 02 01
13,416,Pursuivant,45075,258,00 00 00 00 00 00 00 00 00 00 00 00 13 b0 02 01
14,448,Pursuivant,45076,258,00 00 00 00 00 00 00 00 00 00 00 00 14 b0 02 01
15,480,Pursuivant,45077,258,00 00 00 00 00 00 00 00 00 00 00 00 15 b0 02 01
16,512,Herald,45078,258,00 00 00 00 00 00 00 00 00 00 00 00 16 b0 02 01
17,544,Tillecoe,45079,258,00 00 00 00 00 00 00 00 00 00 00 00 17 b0 02 01
18,576,Moogle,45081,258,00 00 00 00 00 00 00 00 00 00 00 00 19 b0 02 01
19,608,Moogle,45082,258,00 00 00 00 00 00 00 00 00 00 00 00 1a b0 02 01
20,640,Moogle,45083,258,00 00 00 00 00 00 00 00 00 00 00 00 1b b0 02 01
21,672,Moogle,45084,258,00 00 00 00 00 00 00 00 00 00 00 00 1c b0 02 01
22,704,Moogle,45085,258,00 00 00 00 00 00 00 00 00 00 00 00 1d b0 02 01
23,736,Moogle,45086,258,00 00 00 00 00 00 00 00 00 00 00 00 1e b0 02 01
24,768,Moogle,45087,258,00 00 00 00 00 00 00 00 00 00 00 00 1f b0 02 01
25,800,Moogle,45088,258,00 00 00 00 00 00 00 00 00 00 00 00 20 b0 02 01
