index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Flammen-Brenner,49153,258,00 00 00 00 00 00 00 00 00 00 00 00 01 c0 02 01
2,64,Flammen-Brenner,49154,258,00 00 00 00 00 00 00 00 00 00 00 00 02 c0 02 01
3,96,Flammen-Brenner,49155,258,00 00 00 00 00 00 00 00 00 00 00 00 03 c0 02 01
4,128,Flammen-Brenner,49156,258,00 00 00 00 00 00 00 00 00 00 00 00 04 c0 02 01
5,160,Flammen-Brenner,49157,258,00 00 00 00 00 00 00 00 00 00 00 00 05 c0 02 01
6,192,Flammen-Brenner,49158,258,00 00 00 00 00 00 00 00 00 00 00 00 06 c0 02 01
7,224,Flammen-Brenner,49159,258,00 00 00 00 00 00 00 00 00 00 00 00 07 c0 02 01
8,256,Flammen-Brenner,49160,258,00 00 00 00 00 00 00 00 00 00 00 00 08 c0 02 01
9,288,Posten,49161,258,00 00 00 00 00 00 00 00 00 00 00 00 09 c0 02 01
10,320,Posten,49162,258,00 00 00 00 00 00 00 00 00 00 00 00 0a c0 02 01
11,352,Posten,49163,258,00 00 00 00 00 00 00 00 00 00 00 00 0b c0 02 01
12,384,Posten,49164,258,00 00 00 00 00 00 00 00 00 00 00 00 0c c0 02 01
13,416,Posten,49165,258,00 00 00 00 00 00 00 00 00 00 00 00 0d c0 02 01
14,448,Posten,49166,258,00 00 00 00 00 00 00 00 00 00 00 00 0e c0 02 01
15,480,Posten,49167,258,00 00 00 00 00 00 00 00 00 00 00 00 0f c0 02 01
16,512,Posten,49168,258,00 00 00 00 00 00 00 00 00 00 00 00 10 c0 02 01
17,544,Achieve Master,49170,258,00 00 00 00 00 00 00 00 00 00 00 00 12 c0 02 01
18,576,Unity Master,49172,258,00 00 00 00 00 00 00 00 00 00 00 00 14 c0 02 01
19,608,Herald,49178,258,00 00 00 00 00 00 00 00 00 00 00 00 1a c0 02 01
20,640,Pursuivant,49179,258,00 00 00 00 00 00 00 00 00 00 00 00 1b c0 02 01
21,672,Pursuivant,49180,258,00 00 00 00 00 00 00 00 00 00 00 00 1c c0 02 01
22,704,Pursuivant,49181,258,00 00 00 00 00 00 00 00 00 00 00 00 1d c0 02 01
23,736,Moogle,49183,258,00 00 00 00 00 00 00 00 00 00 00 00 1f c0 02 01
24,768,Moogle,49184,258,00 00 00 00 00 00 00 00 00 00 00 00 20 c0 02 01
25,800,Moogle,49185,258,00 00 00 00 00 00 00 00 00 00 00 00 21 c0 02 01
26,832,Moogle,49186,258,00 00 00 00 00 00 00 00 00 00 00 00 22 c0 02 01
27,864,Moogle,49187,258,00 00 00 00 00 00 00 00 00 00 00 00 23 c0 02 01
28,896,Moogle,49188,258,00 00 00 00 00 00 00 00 00 00 00 00 24 c0 02 01
29,928,Moogle,49189,258,00 00 00 00 00 00 00 00 00 00 00 00 25 c0 02 01
30,960,Moogle,49190,258,00 00 00 00 00 00 00 00 00 00 00 00 26 c0 02 01
