index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Rubicund Adenium,53249,258,00 00 00 00 00 00 00 00 00 00 00 00 01 d0 02 01
2,64,Rubicund Adenium,53250,258,00 00 00 00 00 00 00 00 00 00 00 00 02 d0 02 01
3,96,Rubicund Adenium,53251,258,00 00 00 00 00 00 00 00 00 00 00 00 03 d0 02 01
4,128,Gully Clionid,53252,258,00 00 00 00 00 00 00 00 00 00 00 00 04 d0 02 01
5,160,Gully Clionid,53253,258,00 00 00 00 00 00 00 00 00 00 00 00 05 d0 02 01
6,192,Gully Clionid,53254,258,00 00 00 00 00 00 00 00 00 00 00 00 06 d0 02 01
7,224,Gully Clionid,53255,258,00 00 00 00 00 00 00 00 00 00 00 00 07 d0 02 01
8,256,Gully Clionid,53256,258,00 00 00 00 00 00 00 00 00 00 00 00 08 d0 02 01
9,288,Gully Clionid,53257,258,00 00 00 00 00 00 00 00 00 00 00 00 09 d0 02 01
10,320,Gully Clionid,53258,258,00 00 00 00 00 00 00 00 00 00 00 00 0a d0 02 01
11,352,Gully Clionid,53259,258,00 00 00 00 00 00 00 00 00 00 00 00 0b d0 02 01
12,384,Ephemeral Limule,53260,258,00 00 00 00 00 00 00 00 00 00 00 00 0c d0 02 01
13,416,Gulch Limule,53261,258,00 00 00 00 00 00 00 00 00 00 00 00 0d d0 02 01
14,448,Gulch Limule,53262,258,00 00 00 00 00 00 00 00 00 00 00 00 0e d0 02 01
15,480,Gulch Limule,53263,258,00 00 00 00 00 00 00 00 00 00 00 00 0f d0 02 01
16,512,Gulch Limule,53264,258,00 00 00 00 00 00 00 00 00 00 00 00 10 d0 02 01
17,544,Gulch Limule,53265,258,00 00 00 00 00 00 00 00 00 00 00 00 11 d0 02 01
18,576,Gulch Limule,53266,258,00 00 00 00 00 00 00 00 00 00 00 00 12 d0 02 01
19,608,Gulch Limule,53267,258,00 00 00 00 00 00 00 00 00 00 00 00 13 d0 02 01
20,640,Gulch Limule,53268,258,00 00 00 00 00 00 00 00 00 00 00 00 14 d0 02 01
21,672,Gulch Limule,53269,258,00 00 00 00 00 00 00 00 00 00 00 00 15 d0 02 01
22,704,Gulch Limule,53270,258,00 00 00 00 00 00 00 00 00 00 00 00 16 d0 02 01
23,736,Gulch Limule,53271,258,00 00 00 00 00 00 00 00 00 00 00 00 17 d0 02 01
24,768,Gulch Limule,53272,258,00 00 00 00 00 00 00 00 00 00 00 00 18 d0 02 01
25,800,Ephemeral Clioni,53273,258,64 00 00 00 00 00 00 00 00 00 00 00 19 d0 02 01
26,832,Gully Clionid,53274,258,00 00 00 00 00 00 00 00 00 00 00 00 1a d0 02 01
27,864,Gully Clionid,53275,258,00 00 00 00 00 00 00 00 00 00 00 00 1b d0 02 01
28,896,Gully Clionid,53276,258,00 00 00 00 00 00 00 00 00 00 00 00 1c d0 02 01
29,928,Gully Clionid,53277,258,00 00 00 00 00 00 00 00 00 00 00 00 1d d0 02 01
30,960,Gully Clionid,53278,258,00 00 00 00 00 00 00 00 00 00 00 00 1e d0 02 01
31,992,Gully Clionid,53279,258,00 00 00 00 00 00 00 00 00 00 00 00 1f d0 02 01
32,1024,Gully Clionid,53280,258,00 00 00 00 00 00 00 00 00 00 00 00 20 d0 02 01
33,1056,Gully Clionid,53281,258,00 00 00 00 00 00 00 00 00 00 00 00 21 d0 02 01
34,1088,Gully Clionid,53282,258,00 00 00 00 00 00 00 00 00 00 00 00 22 d0 02 01
35,1120,Gully Clionid,53283,258,00 00 00 00 00 00 00 00 00 00 00 00 23 d0 02 01
36,1152,Gully Clionid,53284,258,00 00 00 00 00 00 00 00 00 00 00 00 24 d0 02 01
37,1184,Gully Clionid,53285,258,00 00 00 00 00 00 00 00 00 00 00 00 25 d0 02 01
38,1216,Gully Clionid,53286,258,00 00 00 00 00 00 00 00 00 00 00 00 26 d0 02 01
39,1248,Gully Clionid,53287,258,00 00 00 00 00 00 00 00 00 00 00 00 27 d0 02 01
40,1280,Gully Clionid,53288,258,00 00 00 00 00 00 00 00 00 00 00 00 28 d0 02 01
41,1312,Gully Clionid,53289,258,00 00 00 00 00 00 00 00 00 00 00 00 29 d0 02 01
42,1344,Gully Clionid,53290,258,00 00 00 00 00 00 00 00 00 00 00 00 2a d0 02 01
43,1376,Ephemeral Limule,53291,258,00 00 00 00 00 00 00 00 00 00 00 00 2b d0 02 01
44,1408,Gulch Limule,53292,258,00 00 00 00 00 00 00 00 00 00 00 00 2c d0 02 01
45,1440,Gulch Limule,53293,258,00 00 00 00 00 00 00 00 00 00 00 00 2d d0 02 01
46,1472,Gulch Limule,53294,258,00 00 00 00 00 00 00 00 00 00 00 00 2e d0 02 01
47,1504,Gulch Limule,53295,258,00 00 00 00 00 00 00 00 00 00 00 00 2f d0 02 01
