npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
416,???,53666,258,1,628052,628084,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
417,???,53667,258,1,628288,628320,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
418,???,53668,258,1,628524,628556,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
419,???,53669,258,1,628760,628792,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
420,???,53670,258,1,628996,629028,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
421,???,53671,258,1,629232,629264,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
422,???,53672,258,1,629468,629500,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
423,???,53673,258,1,629704,629736,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
424,???,53674,258,1,629940,629972,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
425,???,53675,258,1,630176,630208,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
426,???,53676,258,1,630412,630444,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
427,???,53677,258,1,630648,630680,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
428,???,53678,258,1,630884,630924,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
429,???,53679,258,1,631356,631396,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
430,???,53680,258,1,631828,631868,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
431,???,53681,258,1,632300,632340,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
432,???,53682,258,1,632772,632812,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
433,???,53683,258,1,633244,633284,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
434,???,53684,258,1,633716,633756,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
435,???,53685,258,1,634188,634228,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
436,???,53686,258,1,634660,634700,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
439,Conflux Surveyor,53694,258,1,2512,2652,73.74,0.04,73.75,30,7374,4,7375,7374 7375 4 6 7 7376 7380 15
440,Cruor Prospector,53695,258,1,6344,6432,137.59,127.45,50.0,45,13759,12745,5000,13759 5000 12745 3000 14210 11413 11504 13760
441,Atma Infusionist,53696,258,1,15568,15700,74.47,0.09,74.48,30,7447,9,7448,7447 7448 9 10 7449 11 12 100
442,Atma Fabricant,53697,258,1,29000,29100,74.9,0.04,74.91,15,7490,4,7491,7490 7491 4 5 6 7 8 9
443,Time Master Debu,53698,258,1,1184,1332,0.13,77.51,72.0,65,13,7751,7200,13 7200 7751 1162 50405376 268566528 50331907 131856
444,AP Master Debug,53699,258,1,31272,31340,100.0,0.04,77.74,45,10000,4,7774,10000 7774 4 2000 7775 7776 6 7777
445,Sturdy Pyxis,53704,258,1,32288,32388,75.57,0.04,75.58,30,7557,4,7558,7557 7558 4 5 6 7561 7562 7563
446,Sturdy Pyxis,53705,258,1,39264,39364,75.57,0.04,75.58,30,7557,4,7558,7557 7558 4 5 6 7561 7562 7563
447,Sturdy Pyxis,53706,258,1,46240,46340,75.57,0.04,75.58,30,7557,4,7558,7557 7558 4 5 6 7561 7562 7563
448,Sturdy Pyxis,53707,258,1,53216,53316,75.57,0.04,75.58,30,7557,4,7558,7557 7558 4 5 6 7561 7562 7563
449,Sturdy Pyxis,53708,258,1,60192,60292,75.57,0.04,75.58,30,7557,4,7558,7557 7558 4 5 6 7561 7562 7563
450,Sturdy Pyxis,53709,258,1,67168,67268,75.57,0.04,75.58,30,7557,4,7558,7557 7558 4 5 6 7561 7562 7563
451,Sturdy Pyxis,53710,258,1,74144,74244,75.57,0.04,75.58,30,7557,4,7558,7557 7558 4 5 6 7561 7562 7563
452,Sturdy Pyxis,53711,258,1,81120,81220,75.57,0.04,75.58,30,7557,4,7558,7557 7558 4 5 6 7561 7562 7563
453,Sturdy Pyxis,53712,258,1,88096,88196,75.57,0.04,75.58,30,7557,4,7558,7557 7558 4 5 6 7561 7562 7563
454,Sturdy Pyxis,53713,258,1,95072,95172,75.57,0.04,75.58,30,7557,4,7558,7557 7558 4 5 6 7561 7562 7563
455,Sturdy Pyxis,53714,258,1,102048,102148,75.57,0.04,75.58,30,7557,4,7558,7557 7558 4 5 6 7561 7562 7563
