index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Mamool Ja Sapper,1,259,00 00 00 00 00 00 00 00 00 00 00 00 01 00 03 01
2,64,Mamool Ja Hospit,2,259,61 6c 65 72 00 00 00 00 00 00 00 00 02 00 03 01
3,96,Mamool Ja Fetial,3,259,00 00 00 00 00 00 00 00 00 00 00 00 03 00 03 01
4,128,Mamool Ja Spotte,4,259,72 00 00 00 00 00 00 00 00 00 00 00 04 00 03 01
5,160,Mamool Ja Handle,5,259,72 00 00 00 00 00 00 00 00 00 00 00 05 00 03 01
6,192,Mamool Ja's Liza,6,259,72 64 00 00 00 00 00 00 00 00 00 00 06 00 03 01
7,224,Mamool Ja Cataph,7,259,72 61 63 74 00 00 00 00 00 00 00 00 07 00 03 01
8,256,Mamool Ja's Wyve,8,259,72 6e 00 00 00 00 00 00 00 00 00 00 08 00 03 01
9,288,Mamool Ja Entran,9,259,63 65 72 00 00 00 00 00 00 00 00 00 09 00 03 01
10,320,Mamool Ja Sapper,10,259,00 00 00 00 00 00 00 00 00 00 00 00 0a 00 03 01
11,352,Mamool Ja Hospit,11,259,61 6c 65 72 00 00 00 00 00 00 00 00 0b 00 03 01
12,384,Mamool Ja Fetial,12,259,00 00 00 00 00 00 00 00 00 00 00 00 0c 00 03 01
13,416,Mamool Ja Spotte,13,259,72 00 00 00 00 00 00 00 00 00 00 00 0d 00 03 01
14,448,Mamool Ja Handle,14,259,72 00 00 00 00 00 00 00 00 00 00 00 0e 00 03 01
15,480,Mamool Ja's Liza,15,259,72 64 00 00 00 00 00 00 00 00 00 00 0f 00 03 01
16,512,Mamool Ja Cataph,16,259,72 61 63 74 00 00 00 00 00 00 00 00 10 00 03 01
17,544,Mamool Ja's Wyve,17,259,72 6e 00 00 00 00 00 00 00 00 00 00 11 00 03 01
18,576,Mamool Ja Entran,18,259,63 65 72 00 00 00 00 00 00 00 00 00 12 00 03 01
19,608,Mamool Ja Sapper,19,259,00 00 00 00 00 00 00 00 00 00 00 00 13 00 03 01
20,640,Mamool Ja Hospit,20,259,61 6c 65 72 00 00 00 00 00 00 00 00 14 00 03 01
21,672,Mamool Ja Fetial,21,259,00 00 00 00 00 00 00 00 00 00 00 00 15 00 03 01
22,704,Mamool Ja Spotte,22,259,72 00 00 00 00 00 00 00 00 00 00 00 16 00 03 01
23,736,Mamool Ja Handle,23,259,72 00 00 00 00 00 00 00 00 00 00 00 17 00 03 01
24,768,Mamool Ja's Liza,24,259,72 64 00 00 00 00 00 00 00 00 00 00 18 00 03 01
25,800,Mamool Ja Cataph,25,259,72 61 63 74 00 00 00 00 00 00 00 00 19 00 03 01
26,832,Mamool Ja's Wyve,26,259,72 6e 00 00 00 00 00 00 00 00 00 00 1a 00 03 01
27,864,Mamool Ja Entran,27,259,63 65 72 00 00 00 00 00 00 00 00 00 1b 00 03 01
28,896,Scout Puk,28,259,00 00 00 00 00 00 00 00 00 00 00 00 1c 00 03 01
29,928,Scout Puk,29,259,00 00 00 00 00 00 00 00 00 00 00 00 1d 00 03 01
30,960,Scout Puk,30,259,00 00 00 00 00 00 00 00 00 00 00 00 1e 00 03 01
31,992,Scout Puk,31,259,00 00 00 00 00 00 00 00 00 00 00 00 1f 00 03 01
32,1024,Scout Puk,32,259,00 00 00 00 00 00 00 00 00 00 00 00 20 00 03 01
33,1056,Raid Raptor,33,259,00 00 00 00 00 00 00 00 00 00 00 00 21 00 03 01
34,1088,Raid Raptor,34,259,00 00 00 00 00 00 00 00 00 00 00 00 22 00 03 01
35,1120,Raid Raptor,35,259,00 00 00 00 00 00 00 00 00 00 00 00 23 00 03 01
