offset,token
6221,main
6270,fdo0
6321,s058
6338,fdi0
6355,s058E
6370,s067
6390,ovl1
6407,s067E
6422,s059
6439,s059E
6454,fdo2
6492,fdo0
6543,s060
6560,fdi0
6577,s060E
6592,s068
6612,ovl1
6629,s068E
6644,s061
6661,s061E
6676,fdo2
6714,fdi2
6733,s065
6750,s065F
6772,fdi2
6791,s066
6808,s066F
6830,fdo0
6883,fdi0
6920,fdo0
6973,fdi0
7298,s059
7370,s059
7748,sha0S
7761,sha0
7785,sha1S
7798,sha1
7822,sit0S
7835,sha0
7859,sit1S
7872,sha0
8913,caso
8929,shso
9587,fdo1
9604,fdo1F
9660,s072
9680,fdi1
9771,s072E
9786,s074
9811,s074E
9826,s073
9860,s073E
9875,s075
9936,s075E
9951,s076
10024,tlk1R
10039,s076E
10054,s077
10103,s072E
10118,s074
10146,fdo1
10163,fdo1R
10178,s074R
10193,s077F
10213,fdi1
10233,fdo1
10250,fdo1F
10306,s078
10326,fdi1
10414,s086
10446,s086E
10461,s080
10488,s080E
10503,s079
10571,fdo1
10588,fdo1R
10603,s079
10632,s000
10652,fdi1
10680,s000Ea
10695,s001
10750,s001Ea
10765,s002
10831,s002Ea
10846,s003
10909,s003Ea
10924,s004
10966,s004Ea
10981,s005
11023,s005Ep
11038,s022
11063,s022Ea
11078,s009
11118,s009Ea
11133,s006
11192,s006Ea
11207,s007
11231,tlk1J
11330,std0'
11355,s007Ea
11370,s008
11424,s008
11447,s018
11475,s018
11495,s017
11512,pas0
11568,fdo1
11585,fdo1Ry
11600,s017Ry
11615,s018E
11630,qstc
11660,fdi1
11680,fdo1
11697,fdo1F
11905,s010
11925,fdi1
11991,ten0f-
12052,ten1
12100,s010Ea
12115,s012
12173,thk2
12201,s012Ea
12216,s011
12267,tlk0
12295,s011Ea
12310,s013
12358,ovl1
12375,s013Ea
12390,s014
12415,s014E
12430,ovl1
12447,s081
12487,tlb0
12505,s081Ey
12520,s000
12545,tlb1Ry
12560,s000Ea
12575,s015
12618,s015Ea
12633,s016
12720,s016Ea
12735,s017
12842,fdo1
12859,fdo1Ra
12912,fdi1
12932,fdo1
