offset,token
1836,main
1856,fdo1
1877,fdi1
1897,main
1923,fdo1
1940,fdo1F
1979,s063
1999,fdi1
2023,fdo1
2040,fdo1R
2055,s063E
2070,s064
2090,fdi1
2114,fdo1
2131,fdo1R
2146,s064E
2161,s065
2181,fdi1
2232,fdo1
2249,fdo1R
2264,s065E
2279,s063
2299,fdi1
2319,s047
2364,fdo1
2381,fdo1R
2396,s065E
2411,s064
2431,fdi1
2451,s047
2499,s047
2536,fdo1
2553,fdo1R
2568,s063R
2583,s064R
2598,s065
2621,fdi1
2717,dead
2796,sha0S
2809,sha0
2833,sha1S
2846,sha1
2865,str0
2883,kill
2904,str0
2924,kill
2945,str0
2965,kill
3001,arar
3022,str0
3042,kill
3118,corpS
3131,corp
3215,tlk0S
3228,tlk0
3252,tlk1S
3265,tlk1
3443,tlk0
3461,tlk1
3487,tlk0
3505,tlk1
3531,tlk0
3549,tlk1
3575,tlk0
3593,tlk1
3619,tlk0
3637,tlk1
3663,tlk0
3681,tlk1
3707,tlk0
3725,tlk1
3751,tlk0
3769,tlk1
3803,fdo1
3820,fdo1F
3966,z000
3983,fdi1
4020,z000Ec
4035,z001
4102,z001Ec
4117,z002
4168,z002Ec
4183,z003
4233,z003Ec
4248,z004
4304,z003Ec
4319,z004
4378,z004Ec
4393,z005
4439,z005Ec
4454,z006
4482,z006Ec
4497,z007
4560,z007Ec
4575,z008
4635,z008Ec
4650,z009
4667,std1
4719,tlk1
4748,z009Ec
4763,z044
4806,z044Ec
4821,z010
4863,z010Ec
4878,z011
4909,z011Ec
4924,z012
4964,z012Ec
4979,z013
4999,z013Ec
5014,z043
5057,z043Ec
5072,z045
5108,z045Ec
5123,z046
5156,z046Ec
5171,z014
5246,z014N
5279,z015
5349,fdo1
5366,fdo1
5384,boff
5427,fdi1
6333,fdo1
6356,z51a
6380,fdi1
6418,fdo1
7362,fdo1
7379,fdo1F
7476,s010
7493,fdi1
7510,fdi1
7535,ovl2
7552,s010E
7567,s011
7587,ovl2
7604,s011E
7619,s012
7666,s012E
7681,s013
7732,s013E
7747,s014
7787,s014E
7802,s015
