npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
528,Postern,12827,259,1,6232,6248,0.1,0.01,73.28,15,10,1,7328,10 7328 1 0 200 60 19 217
529,Engraved Tablet,12828,259,1,6460,6516,-80.0,73.33,8.6,90,-8000,7333,860,-8000 860 7333 126 604053504 -2147385344 36012034 -2147348480
530,Engraved Tablet,12829,259,1,6660,6676,0.07,0.01,73.35,90,7,1,7335,7 7335 1 0 -56812 -649554 -12115 2560
532,???,12832,259,1,6788,6940,2.55,1.49,73.61,50,255,149,7361,255 7361 149 27 678139 217727 -15500 2050
535,Golaal Ja,12835,259,6,12316,12448,-242.18,2.99,31.32,70,-24218,299,3132,-24218 3132 299 60 33 3604480 41943424 -2139094144
536,Briallen,12836,259,2,11524,11668,-238.52,2.99,11.25,70,-23852,299,1125,-23852 1125 299 31 3604480 41943424 -2139094144 2147483640
537,Bashraf,12837,259,17,11628,11668,-238.52,2.99,11.25,70,-23852,299,1125,-23852 1125 299 31 3604480 41943424 -2139094144 2147483640
540,Mishhar,12840,259,3,12412,12448,-242.18,2.99,31.32,70,-24218,299,3132,-24218 3132 299 60 33 3604480 41943424 -2139094144
541,Qultada,12841,259,29,6104,6168,820.88,26.58,-115.38,90,82088,2658,-11538,82088 -11538 2658 13 -211207 83977 -9763 30
542,Imutira,12842,259,52,5912,6060,842.71,26.58,-116.11,90,84271,2658,-11611,84271 -11611 2658 13 -214048 85580 -10311 45
543,Yazquhl,12843,259,7,6012,6060,842.71,26.58,-116.11,90,84271,2658,-11611,84271 -11611 2658 13 -214048 85580 -10311 45
544,Gowam,12844,259,6,6140,6168,820.88,26.58,-115.38,90,82088,2658,-11538,82088 -11538 2658 13 -211207 83977 -9763 30
545,Ramblix,12845,259,2,12504,12628,74.04,0.6,2.0,70,7404,60,200,7404 200 60 485 1107369984 -266469342 1249902591 2147483632
547,???,12847,259,2,13132,13160,1966.1,0.06,0.0,60,196610,6,0,196610 0 6 0 -65536 16986672 4 65536
550,Leypoint,12850,259,5,14700,14776,-1987.07,-342.58,786.83,95,-198707,-34258,78683,-198707 78683 -34258 2928 17 570425344 922825472 -2147385344
553,Najelith,12853,259,93,51404,51432,0.06,13.0,11.0,70,6,1300,1100,6 1100 1300 13 -337688 640059 -31500 30
554,Najelith,12854,259,336,51496,51668,0.1,10.47,-343.14,105,10,1047,-34314,10 -34314 1047 13 30 -55936 11 84570
555,Zazarg,12855,259,61,55524,55704,789.3,0.05,-60.0,105,78930,5,-6000,78930 -6000 5 3564 13 -571173 38559 1999
556,Zazarg,12856,259,242,55628,55704,789.3,0.05,-60.0,105,78930,5,-6000,78930 -6000 5 3564 13 -571173 38559 1999
557,Zazarg,12857,259,13,56076,56140,-802.65,19.99,805.31,105,-80265,1999,80531,-80265 80531 1999 3561 43 -73683 85679 18
558,Azahma,12858,259,73,52192,52284,0.38,-180.37,-23.73,90,38,-18037,-2373,38 -2373 -18037 0 20 1835008 -2147405184 -2147352545
559,Yabeesha,12859,259,61,52256,52444,-1225.17,0.36,0.3,110,-122517,36,30,-122517 30 36 3087 -2942 0 2854 -16344
560,Wayaati,12860,259,61,52324,52444,-1225.17,0.36,0.3,110,-122517,36,30,-122517 30 36 3087 -2942 0 2854 -16344
561,Shaldeea,12861,259,44,52388,52444,-1225.17,0.36,0.3,110,-122517,36,30,-122517 30 36 3087 -2942 0 2854 -16344
563,Dalbab,12863,259,12,52952,53080,727.6,-60.0,-1306.66,80,72760,-6000,-130666,72760 -130666 -6000 99 3604480 41943424 847250304 2064388
564,Yashtra,12864,259,145,52680,52804,10.14,0.0,-364.77,120,1014,0,-36477,1014 -36477 0 1047 999 -53773 117 20119552
565,Ryaaf,12865,259,102,52980,53080,727.6,-60.0,-1306.66,80,72760,-6000,-130666,72760 -130666 -6000 99 3604480 41943424 847250304 2064388
567,Rughadjeen,12867,259,294,102896,103056,-1325.22,0.3,-60.0,110,-132522,30,-6000,-132522 -6000 30 680 78642 -119395 3 2
582,Odilon,12882,259,81,56104,56140,-802.65,19.99,805.31,105,-80265,1999,80531,-80265 80531 1999 3561 43 -73683 85679 18
583,Joaquin,12883,259,114,56288,56324,-809.04,19.99,819.7,105,-80904,1999,81970,-80904 81970 1999 3563 43 -75231 87127 5
587,Razfahd,12887,259,52,56944,57072,0.4,-39.33,-861.28,105,40,-3933,-86128,40 -86128 -3933 0 8034 -87427 1999 4000
588,Kaduru-Haiduru,12888,259,15,57736,57840,-673.44,19.99,1055.63,95,-67344,1999,105563,-67344 105563 1999 3564 45 -72541 95757 10
589,Halshaob,12889,259,31,57568,57608,-954.82,24.87,2.01,105,-95482,2487,201,-95482 201 2487 14 119452 -1078 0 13
590,Ashzal,12890,259,58,57292,57352,214.09,0.0,-921.44,105,21409,0,-92144,21409 -92144 0 14 121049 -2070 18988 -94052
591,Hijamahl,12891,259,44,57044,57072,0.4,-39.33,-861.28,105,40,-3933,-86128,40 -86128 -3933 0 8034 -87427 1999 4000
