index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,,20486,259,00 00 00 00 00 00 00 00 00 00 00 00 06 50 03 01
2,64,Moogle,20488,259,00 00 00 00 00 00 00 00 00 00 00 00 08 50 03 01
3,96,Moogle,20489,259,00 00 00 00 00 00 00 00 00 00 00 00 09 50 03 01
4,128,Moogle,20490,259,00 00 00 00 00 00 00 00 00 00 00 00 0a 50 03 01
5,160,Moogle,20491,259,00 00 00 00 00 00 00 00 00 00 00 00 0b 50 03 01
6,192,Moogle,20492,259,00 00 00 00 00 00 00 00 00 00 00 00 0c 50 03 01
7,224,Moogle,20493,259,00 00 00 00 00 00 00 00 00 00 00 00 0d 50 03 01
8,256,Moogle,20494,259,00 00 00 00 00 00 00 00 00 00 00 00 0e 50 03 01
9,288,Moogle,20495,259,00 00 00 00 00 00 00 00 00 00 00 00 0f 50 03 01
10,320,Abihaal,20496,259,00 00 00 00 00 00 00 00 00 00 00 00 10 50 03 01
11,352,Sajhra,20497,259,00 00 00 00 00 00 00 00 00 00 00 00 11 50 03 01
12,384,Bellowing Scout,20498,259,00 00 00 00 00 00 00 00 00 00 00 00 12 50 03 01
13,416,Belligerent Shee,20499,259,70 00 00 00 00 00 00 00 00 00 00 00 13 50 03 01
14,448,Yohj Dukonlhy,20500,259,00 00 00 00 00 00 00 00 00 00 00 00 14 50 03 01
15,480,Teco Chatpaya,20501,259,00 00 00 00 00 00 00 00 00 00 00 00 15 50 03 01
16,512,Door_1h0,20504,259,00 00 00 00 00 00 00 00 00 00 00 00 18 50 03 01
17,544,Door_1h1,20505,259,00 00 00 00 00 00 00 00 00 00 00 00 19 50 03 01
18,576,Cam_1h2,20506,259,00 00 00 00 00 00 00 00 00 00 00 00 1a 50 03 01
19,608,Cam_1h3,20507,259,00 00 00 00 00 00 00 00 00 00 00 00 1b 50 03 01
20,640,Home Point #1,20508,259,00 00 00 00 00 00 00 00 00 00 00 00 1c 50 03 01
21,672,Home Point #2,20509,259,00 00 00 00 00 00 00 00 00 00 00 00 1d 50 03 01
22,704,Home Point #3,20510,259,00 00 00 00 00 00 00 00 00 00 00 00 1e 50 03 01
23,736,Home Point #4,20511,259,00 00 00 00 00 00 00 00 00 00 00 00 1f 50 03 01
24,768,Home Point #5,20512,259,00 00 00 00 00 00 00 00 00 00 00 00 20 50 03 01
25,800,,20513,259,00 00 00 00 00 00 00 00 00 00 00 00 21 50 03 01
26,832,,20514,259,00 00 00 00 00 00 00 00 00 00 00 00 22 50 03 01
27,864,,20515,259,00 00 00 00 00 00 00 00 00 00 00 00 23 50 03 01
28,896,,20516,259,00 00 00 00 00 00 00 00 00 00 00 00 24 50 03 01
29,928,Jajaroon,20517,259,00 00 00 00 00 00 00 00 00 00 00 00 25 50 03 01
30,960,Jijiroon,20518,259,00 00 00 00 00 00 00 00 00 00 00 00 26 50 03 01
31,992,Viviroon,20519,259,00 00 00 00 00 00 00 00 00 00 00 00 27 50 03 01
32,1024,Yoyoroon,20520,259,00 00 00 00 00 00 00 00 00 00 00 00 28 50 03 01
33,1056,Tsetseroon,20521,259,00 00 00 00 00 00 00 00 00 00 00 00 29 50 03 01
34,1088,Mamaroon,20522,259,00 00 00 00 00 00 00 00 00 00 00 00 2a 50 03 01
35,1120,Mimiroon,20523,259,00 00 00 00 00 00 00 00 00 00 00 00 2b 50 03 01
36,1152,Pipiroon,20524,259,00 00 00 00 00 00 00 00 00 00 00 00 2c 50 03 01
37,1184,Poporoon,20525,259,00 00 00 00 00 00 00 00 00 00 00 00 2d 50 03 01
38,1216,Wata Khamazom,20526,259,00 00 00 00 00 00 00 00 00 00 00 00 2e 50 03 01
39,1248,Guhyun,20527,259,00 00 00 00 00 00 00 00 00 00 00 00 2f 50 03 01
40,1280,Wafeeyah,20528,259,00 00 00 00 00 00 00 00 00 00 00 00 30 50 03 01
41,1312,Fhe Maksojha,20529,259,00 00 00 00 00 00 00 00 00 00 00 00 31 50 03 01
42,1344,Buburoon,20530,259,00 00 00 00 00 00 00 00 00 00 00 00 32 50 03 01
43,1376,Zazaroon,20531,259,00 00 00 00 00 00 00 00 00 00 00 00 33 50 03 01
44,1408,Nadeeha,20532,259,00 00 00 00 00 00 00 00 00 00 00 00 34 50 03 01
45,1440,Mumuroon,20533,259,00 00 00 00 00 00 00 00 00 00 00 00 35 50 03 01
46,1472,Kyokyoroon,20534,259,00 00 00 00 00 00 00 00 00 00 00 00 36 50 03 01
47,1504,Leleroon,20535,259,00 00 00 00 00 00 00 00 00 00 00 00 37 50 03 01
48,1536,Yuyuroon,20536,259,00 00 00 00 00 00 00 00 00 00 00 00 38 50 03 01
49,1568,Chuchuroon,20537,259,00 00 00 00 00 00 00 00 00 00 00 00 39 50 03 01
50,1600,Tsotsoroon,20538,259,00 00 00 00 00 00 00 00 00 00 00 00 3a 50 03 01
51,1632,Sisiroon,20539,259,00 00 00 00 00 00 00 00 00 00 00 00 3b 50 03 01
52,1664,Loloroon,20540,259,00 00 00 00 00 00 00 00 00 00 00 00 3c 50 03 01
53,1696,Tataroon,20541,259,00 00 00 00 00 00 00 00 00 00 00 00 3d 50 03 01
54,1728,Jojoroon,20542,259,00 00 00 00 00 00 00 00 00 00 00 00 3e 50 03 01
55,1760,Memeroon,20543,259,00 00 00 00 00 00 00 00 00 00 00 00 3f 50 03 01
56,1792,,20544,259,00 00 00 00 00 00 00 00 00 00 00 00 40 50 03 01
