index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Wootzshell,24577,259,00 00 00 00 00 00 00 00 00 00 00 00 01 60 03 01
2,64,Arrapago Leech,24578,259,00 00 00 00 00 00 00 00 00 00 00 00 02 60 03 01
3,96,Chimera Clot,24579,259,00 00 00 00 00 00 00 00 00 00 00 00 03 60 03 01
4,128,Lahama,24580,259,00 00 00 00 00 00 00 00 00 00 00 00 04 60 03 01
5,160,Llamhigyn Y Dwr,24581,259,00 00 00 00 00 00 00 00 00 00 00 00 05 60 03 01
6,192,Giant Orobon,24582,259,00 00 00 00 00 00 00 00 00 00 00 00 06 60 03 01
7,224,Reserve Draugar,24583,259,00 00 00 00 00 00 00 00 00 00 00 00 07 60 03 01
8,256,Reserve Draugar,24584,259,00 00 00 00 00 00 00 00 00 00 00 00 08 60 03 01
9,288,Merrow Chantress,24585,259,00 00 00 00 00 00 00 00 00 00 00 00 09 60 03 01
10,320,Arrapago Apkallu,24586,259,00 00 00 00 00 00 00 00 00 00 00 00 0a 60 03 01
11,352,Arrapago Apkallu,24587,259,00 00 00 00 00 00 00 00 00 00 00 00 0b 60 03 01
12,384,Arrapago Apkallu,24588,259,00 00 00 00 00 00 00 00 00 00 00 00 0c 60 03 01
13,416,Arrapago Apkallu,24589,259,00 00 00 00 00 00 00 00 00 00 00 00 0d 60 03 01
14,448,Arrapago Apkallu,24590,259,00 00 00 00 00 00 00 00 00 00 00 00 0e 60 03 01
15,480,Arrapago Apkallu,24591,259,00 00 00 00 00 00 00 00 00 00 00 00 0f 60 03 01
16,512,Arrapago Apkallu,24592,259,00 00 00 00 00 00 00 00 00 00 00 00 10 60 03 01
17,544,Arrapago Apkallu,24593,259,00 00 00 00 00 00 00 00 00 00 00 00 11 60 03 01
18,576,Arrapago Apkallu,24594,259,00 00 00 00 00 00 00 00 00 00 00 00 12 60 03 01
19,608,Arrapago Apkallu,24595,259,00 00 00 00 00 00 00 00 00 00 00 00 13 60 03 01
20,640,Arrapago Apkallu,24596,259,00 00 00 00 00 00 00 00 00 00 00 00 14 60 03 01
21,672,Lamia Graverobbe,24597,259,72 00 00 00 00 00 00 00 00 00 00 00 15 60 03 01
22,704,Reserve Draugar,24598,259,00 00 00 00 00 00 00 00 00 00 00 00 16 60 03 01
23,736,Phasma,24599,259,00 00 00 00 00 00 00 00 00 00 00 00 17 60 03 01
24,768,Reserve Draugar,24600,259,00 00 00 00 00 00 00 00 00 00 00 00 18 60 03 01
25,800,Reserve Draugar,24601,259,00 00 00 00 00 00 00 00 00 00 00 00 19 60 03 01
26,832,Lamia Dartist,24602,259,00 00 00 00 00 00 00 00 00 00 00 00 1a 60 03 01
27,864,Lamia Dancer,24603,259,00 00 00 00 00 00 00 00 00 00 00 00 1b 60 03 01
28,896,Lamia's Elementa,24604,259,6c 00 00 00 00 00 00 00 00 00 00 00 1c 60 03 01
29,928,Reserve Draugar,24605,259,00 00 00 00 00 00 00 00 00 00 00 00 1d 60 03 01
30,960,Reserve Draugar,24606,259,00 00 00 00 00 00 00 00 00 00 00 00 1e 60 03 01
31,992,Arrapago Apkallu,24607,259,00 00 00 00 00 00 00 00 00 00 00 00 1f 60 03 01
32,1024,Arrapago Apkallu,24608,259,00 00 00 00 00 00 00 00 00 00 00 00 20 60 03 01
33,1056,Arrapago Apkallu,24609,259,00 00 00 00 00 00 00 00 00 00 00 00 21 60 03 01
34,1088,Arrapago Apkallu,24610,259,00 00 00 00 00 00 00 00 00 00 00 00 22 60 03 01
35,1120,Arrapago Apkallu,24611,259,00 00 00 00 00 00 00 00 00 00 00 00 23 60 03 01
36,1152,Arrapago Apkallu,24612,259,00 00 00 00 00 00 00 00 00 00 00 00 24 60 03 01
37,1184,Merrow Chantress,24613,259,00 00 00 00 00 00 00 00 00 00 00 00 25 60 03 01
38,1216,Reserve Draugar,24614,259,00 00 00 00 00 00 00 00 00 00 00 00 26 60 03 01
39,1248,Reserve Draugar,24615,259,00 00 00 00 00 00 00 00 00 00 00 00 27 60 03 01
40,1280,Reserve Draugar,24616,259,00 00 00 00 00 00 00 00 00 00 00 00 28 60 03 01
41,1312,Draugar's Wyvern,24617,259,00 00 00 00 00 00 00 00 00 00 00 00 29 60 03 01
42,1344,Jnun,24618,259,00 00 00 00 00 00 00 00 00 00 00 00 2a 60 03 01
43,1376,Jnun,24619,259,00 00 00 00 00 00 00 00 00 00 00 00 2b 60 03 01
44,1408,Reserve Draugar,24620,259,00 00 00 00 00 00 00 00 00 00 00 00 2c 60 03 01
45,1440,Draugar's Wyvern,24621,259,00 00 00 00 00 00 00 00 00 00 00 00 2d 60 03 01
46,1472,Nipper,24622,259,00 00 00 00 00 00 00 00 00 00 00 00 2e 60 03 01
47,1504,Nipper,24623,259,00 00 00 00 00 00 00 00 00 00 00 00 2f 60 03 01
48,1536,Nipper,24624,259,00 00 00 00 00 00 00 00 00 00 00 00 30 60 03 01
49,1568,Reserve Draugar,24625,259,00 00 00 00 00 00 00 00 00 00 00 00 31 60 03 01
50,1600,Reserve Draugar,24626,259,00 00 00 00 00 00 00 00 00 00 00 00 32 60 03 01
51,1632,Reserve Draugar,24627,259,00 00 00 00 00 00 00 00 00 00 00 00 33 60 03 01
52,1664,Nipper,24628,259,00 00 00 00 00 00 00 00 00 00 00 00 34 60 03 01
53,1696,Nipper,24629,259,00 00 00 00 00 00 00 00 00 00 00 00 35 60 03 01
54,1728,Reserve Draugar,24630,259,00 00 00 00 00 00 00 00 00 00 00 00 36 60 03 01
55,1760,Reserve Draugar,24631,259,00 00 00 00 00 00 00 00 00 00 00 00 37 60 03 01
56,1792,Reserve Draugar,24632,259,00 00 00 00 00 00 00 00 00 00 00 00 38 60 03 01
57,1824,Draugar's Wyvern,24633,259,00 00 00 00 00 00 00 00 00 00 00 00 39 60 03 01
58,1856,Reserve Draugar,24634,259,00 00 00 00 00 00 00 00 00 00 00 00 3a 60 03 01
59,1888,Reserve Draugar,24635,259,00 00 00 00 00 00 00 00 00 00 00 00 3b 60 03 01
60,1920,Lamia Graverobbe,24636,259,72 00 00 00 00 00 00 00 00 00 00 00 3c 60 03 01
61,1952,Reserve Draugar,24637,259,00 00 00 00 00 00 00 00 00 00 00 00 3d 60 03 01
62,1984,Reserve Draugar,24638,259,00 00 00 00 00 00 00 00 00 00 00 00 3e 60 03 01
63,2016,Lamia Fatedealer,24639,259,00 00 00 00 00 00 00 00 00 00 00 00 3f 60 03 01
64,2048,Reserve Draugar,24640,259,00 00 00 00 00 00 00 00 00 00 00 00 40 60 03 01
65,2080,Reserve Draugar,24641,259,00 00 00 00 00 00 00 00 00 00 00 00 41 60 03 01
66,2112,Qutrub,24642,259,00 00 00 00 00 00 00 00 00 00 00 00 42 60 03 01
67,2144,Qutrub,24643,259,00 00 00 00 00 00 00 00 00 00 00 00 43 60 03 01
68,2176,Qutrub,24644,259,00 00 00 00 00 00 00 00 00 00 00 00 44 60 03 01
69,2208,Lamia Graverobbe,24645,259,72 00 00 00 00 00 00 00 00 00 00 00 45 60 03 01
70,2240,Qutrub,24646,259,00 00 00 00 00 00 00 00 00 00 00 00 46 60 03 01
71,2272,Qutrub,24647,259,00 00 00 00 00 00 00 00 00 00 00 00 47 60 03 01
72,2304,Qutrub,24648,259,00 00 00 00 00 00 00 00 00 00 00 00 48 60 03 01
73,2336,Qutrub,24649,259,00 00 00 00 00 00 00 00 00 00 00 00 49 60 03 01
74,2368,Qutrub,24650,259,00 00 00 00 00 00 00 00 00 00 00 00 4a 60 03 01
75,2400,Lamia Dartist,24651,259,00 00 00 00 00 00 00 00 00 00 00 00 4b 60 03 01
76,2432,Qutrub,24652,259,00 00 00 00 00 00 00 00 00 00 00 00 4c 60 03 01
77,2464,Qutrub,24653,259,00 00 00 00 00 00 00 00 00 00 00 00 4d 60 03 01
78,2496,Qutrub,24654,259,00 00 00 00 00 00 00 00 00 00 00 00 4e 60 03 01
79,2528,Qutrub,24655,259,00 00 00 00 00 00 00 00 00 00 00 00 4f 60 03 01
80,2560,Qutrub,24656,259,00 00 00 00 00 00 00 00 00 00 00 00 50 60 03 01
81,2592,Lamie No.8,24657,259,00 00 00 00 00 00 00 00 00 00 00 00 51 60 03 01
82,2624,Qutrub,24658,259,00 00 00 00 00 00 00 00 00 00 00 00 52 60 03 01
83,2656,Qutrub,24659,259,00 00 00 00 00 00 00 00 00 00 00 00 53 60 03 01
84,2688,Ashakku,24660,259,00 00 00 00 00 00 00 00 00 00 00 00 54 60 03 01
85,2720,Ashakku,24661,259,00 00 00 00 00 00 00 00 00 00 00 00 55 60 03 01
86,2752,Lahama,24662,259,00 00 00 00 00 00 00 00 00 00 00 00 56 60 03 01
87,2784,Ashakku,24663,259,00 00 00 00 00 00 00 00 00 00 00 00 57 60 03 01
88,2816,Ashakku,24664,259,00 00 00 00 00 00 00 00 00 00 00 00 58 60 03 01
89,2848,Ashakku,24665,259,00 00 00 00 00 00 00 00 00 00 00 00 59 60 03 01
90,2880,Lahama,24666,259,00 00 00 00 00 00 00 00 00 00 00 00 5a 60 03 01
91,2912,Purgatory Bat,24667,259,00 00 00 00 00 00 00 00 00 00 00 00 5b 60 03 01
92,2944,Purgatory Bat,24668,259,00 00 00 00 00 00 00 00 00 00 00 00 5c 60 03 01
