npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
515,Irurusi,25102,259,1,41848,42004,80.18,0.01,80.2,90,8018,1,8020,8018 8020 1 22 -2147476224 -2147410653 268501795 10977282
516,Ashutarihu,25103,259,1,41984,42004,80.18,0.01,80.2,90,8018,1,8020,8018 8020 1 22 -2147476224 -2147410653 268501795 10977282
557,Tidal Gate,25144,259,1,44584,44600,0.07,85.83,85.82,15,7,8583,8582,7 8582 8583 1 0 201 200 30
560,Iron Gate,25147,259,1,42476,42500,8.03,0.01,74.95,30,803,1,7495,803 7495 1 0 7501 180 200 60
577,Tidal Gate,25167,259,1,44556,44600,0.07,85.83,85.82,15,7,8583,8582,7 8582 8583 1 0 201 200 30
579,door_1i1,25169,259,9,78592,78776,89.14,89.15,0.03,30,8914,8915,3,8914 3 8915 1 8916 2 8917 8918
580,ship,25170,259,7,43768,43936,0.3,73.46,73.41,85,30,7346,7341,30 7341 7346 602 604053504 -2147385344 36012034 -2147348480
581,Heavy Iron Gate,25171,259,1,42044,42064,0.1,0.01,73.37,15,10,1,7337,10 7337 1 0 200 60 19 217
582,Runic Seal,25172,259,1,42928,43012,84.68,0.07,84.69,45,8468,7,8469,8468 8469 7 797 8487 8470 8472 8473
583,Runic Portal,25173,259,1,43872,43936,0.3,73.46,73.41,85,30,7346,7341,30 7341 7346 602 604053504 -2147385344 36012034 -2147348480
585,Ramblix,25175,259,2,45012,45136,80.44,0.6,2.0,70,8044,60,200,8044 200 60 485 1107369984 -266469342 1249902591 2147483632
587,Wasuhd,25177,259,43,40212,40384,867.46,35.05,-105.29,70,86746,3505,-10529,86746 -10529 3505 8 7 165 171 375
588,Mutihb,25178,259,364,40216,40384,867.46,35.05,-105.29,70,86746,3505,-10529,86746 -10529 3505 8 7 165 171 375
