index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Cyan Deep Crab,40961,259,00 00 00 00 00 00 00 00 00 00 00 00 01 a0 03 01
2,64,Submarine Nipper,40962,259,00 00 00 00 00 00 00 00 00 00 00 00 02 a0 03 01
3,96,Thalassic Pugil,40963,259,00 00 00 00 00 00 00 00 00 00 00 00 03 a0 03 01
4,128,Abyssal Pugil,40964,259,00 00 00 00 00 00 00 00 00 00 00 00 04 a0 03 01
5,160,Bathybic Kulshed,40965,259,72 61 00 00 00 00 00 00 00 00 00 00 05 a0 03 01
6,192,Orobon,40966,259,00 00 00 00 00 00 00 00 00 00 00 00 06 a0 03 01
7,224,Apkallu,40967,259,00 00 00 00 00 00 00 00 00 00 00 00 07 a0 03 01
8,256,Apkallu,40968,259,00 00 00 00 00 00 00 00 00 00 00 00 08 a0 03 01
9,288,Bigclaw,40969,259,00 00 00 00 00 00 00 00 00 00 00 00 09 a0 03 01
10,320,Bigclaw,40970,259,00 00 00 00 00 00 00 00 00 00 00 00 0a a0 03 01
11,352,Cyan Deep Pugil,40971,259,00 00 00 00 00 00 00 00 00 00 00 00 0b a0 03 01
12,384,Kulshedra,40972,259,00 00 00 00 00 00 00 00 00 00 00 00 0c a0 03 01
13,416,Utukku,40973,259,00 00 00 00 00 00 00 00 00 00 00 00 0d a0 03 01
14,448,Imp,40974,259,00 00 00 00 00 00 00 00 00 00 00 00 0e a0 03 01
15,480,Air Elemental,40975,259,00 00 00 00 00 00 00 00 00 00 00 00 0f a0 03 01
16,512,Thunder Elementa,40976,259,6c 00 00 00 00 00 00 00 00 00 00 00 10 a0 03 01
17,544,Proteus,40977,259,00 00 00 00 00 00 00 00 00 00 00 00 11 a0 03 01
18,576,Achieve Master,40980,259,00 00 00 00 00 00 00 00 00 00 00 00 14 a0 03 01
19,608,Unity Master,40982,259,00 00 00 00 00 00 00 00 00 00 00 00 16 a0 03 01
20,640,,40988,259,00 00 00 00 00 00 00 00 00 00 00 00 1c a0 03 01
21,672,Moogle,40990,259,00 00 00 00 00 00 00 00 00 00 00 00 1e a0 03 01
22,704,Moogle,40991,259,00 00 00 00 00 00 00 00 00 00 00 00 1f a0 03 01
23,736,Moogle,40992,259,00 00 00 00 00 00 00 00 00 00 00 00 20 a0 03 01
24,768,Moogle,40993,259,00 00 00 00 00 00 00 00 00 00 00 00 21 a0 03 01
25,800,Moogle,40994,259,00 00 00 00 00 00 00 00 00 00 00 00 22 a0 03 01
26,832,Moogle,40995,259,00 00 00 00 00 00 00 00 00 00 00 00 23 a0 03 01
27,864,Moogle,40996,259,00 00 00 00 00 00 00 00 00 00 00 00 24 a0 03 01
28,896,Moogle,40997,259,00 00 00 00 00 00 00 00 00 00 00 00 25 a0 03 01
29,928,,40998,259,00 00 00 00 00 00 00 00 00 00 00 00 26 a0 03 01
30,960,Qudamahf,40999,259,00 00 00 00 00 00 00 00 00 00 00 00 27 a0 03 01
31,992,Map,41000,259,00 00 00 00 00 00 00 00 00 00 00 00 28 a0 03 01
32,1024,Cargo Ship Door,41001,259,00 00 00 00 00 00 00 00 00 00 00 00 29 a0 03 01
33,1056,Cargo Ship Door,41002,259,00 00 00 00 00 00 00 00 00 00 00 00 2a a0 03 01
34,1088,Cargo Ship Door,41003,259,00 00 00 00 00 00 00 00 00 00 00 00 2b a0 03 01
35,1120,Door,41004,259,00 00 00 00 00 00 00 00 00 00 00 00 2c a0 03 01
36,1152,Door,41005,259,00 00 00 00 00 00 00 00 00 00 00 00 2d a0 03 01
37,1184,Door,41006,259,00 00 00 00 00 00 00 00 00 00 00 00 2e a0 03 01
38,1216,Weather,41007,259,00 00 00 00 00 00 00 00 00 00 00 00 2f a0 03 01
39,1248,Jidwahn,41008,259,00 00 00 00 00 00 00 00 00 00 00 00 30 a0 03 01
40,1280,,41010,259,00 00 00 00 00 00 00 00 00 00 00 00 32 a0 03 01
