index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Volcanic Bomb,61441,259,00 00 00 00 00 00 00 00 00 00 00 00 01 f0 03 01
2,64,Volcanic Bomb,61442,259,00 00 00 00 00 00 00 00 00 00 00 00 02 f0 03 01
3,96,Volcanic Bomb,61443,259,00 00 00 00 00 00 00 00 00 00 00 00 03 f0 03 01
4,128,Qiqirn Ceramist,61444,259,00 00 00 00 00 00 00 00 00 00 00 00 04 f0 03 01
5,160,Qiqirn Volcanist,61445,259,00 00 00 00 00 00 00 00 00 00 00 00 05 f0 03 01
6,192,Volcanic Bomb,61446,259,00 00 00 00 00 00 00 00 00 00 00 00 06 f0 03 01
7,224,Volcanic Bomb,61447,259,00 00 00 00 00 00 00 00 00 00 00 00 07 f0 03 01
8,256,Volcanic Bomb,61448,259,00 00 00 00 00 00 00 00 00 00 00 00 08 f0 03 01
9,288,Qiqirn Ceramist,61449,259,00 00 00 00 00 00 00 00 00 00 00 00 09 f0 03 01
10,320,Qiqirn Volcanist,61450,259,00 00 00 00 00 00 00 00 00 00 00 00 0a f0 03 01
11,352,Qiqirn Volcanist,61451,259,00 00 00 00 00 00 00 00 00 00 00 00 0b f0 03 01
12,384,Qiqirn Ceramist,61452,259,00 00 00 00 00 00 00 00 00 00 00 00 0c f0 03 01
13,416,Qiqirn Ceramist,61453,259,00 00 00 00 00 00 00 00 00 00 00 00 0d f0 03 01
14,448,Qiqirn Ceramist,61454,259,00 00 00 00 00 00 00 00 00 00 00 00 0e f0 03 01
15,480,Qiqirn Volcanist,61455,259,00 00 00 00 00 00 00 00 00 00 00 00 0f f0 03 01
16,512,Volcanic Bomb,61456,259,00 00 00 00 00 00 00 00 00 00 00 00 10 f0 03 01
17,544,Volcanic Bomb,61457,259,00 00 00 00 00 00 00 00 00 00 00 00 11 f0 03 01
18,576,Brittle Rock,61458,259,00 00 00 00 00 00 00 00 00 00 00 00 12 f0 03 01
19,608,Brittle Rock,61459,259,00 00 00 00 00 00 00 00 00 00 00 00 13 f0 03 01
20,640,Brittle Rock,61460,259,00 00 00 00 00 00 00 00 00 00 00 00 14 f0 03 01
21,672,Brittle Rock,61461,259,00 00 00 00 00 00 00 00 00 00 00 00 15 f0 03 01
22,704,Brittle Rock,61462,259,00 00 00 00 00 00 00 00 00 00 00 00 16 f0 03 01
23,736,Brittle Rock,61463,259,00 00 00 00 00 00 00 00 00 00 00 00 17 f0 03 01
24,768,Brittle Rock,61464,259,00 00 00 00 00 00 00 00 00 00 00 00 18 f0 03 01
25,800,Brittle Rock,61465,259,00 00 00 00 00 00 00 00 00 00 00 00 19 f0 03 01
26,832,Brittle Rock,61466,259,00 00 00 00 00 00 00 00 00 00 00 00 1a f0 03 01
27,864,Brittle Rock,61467,259,00 00 00 00 00 00 00 00 00 00 00 00 1b f0 03 01
28,896,Imperial Stormer,61468,259,00 00 00 00 00 00 00 00 00 00 00 00 1c f0 03 01
29,928,Imperial Stormer,61469,259,00 00 00 00 00 00 00 00 00 00 00 00 1d f0 03 01
30,960,Imperial Stormer,61470,259,00 00 00 00 00 00 00 00 00 00 00 00 1e f0 03 01
31,992,Imperial Stormer,61471,259,00 00 00 00 00 00 00 00 00 00 00 00 1f f0 03 01
32,1024,Imperial Stormer,61472,259,00 00 00 00 00 00 00 00 00 00 00 00 20 f0 03 01
33,1056,Imperial Stormer,61473,259,00 00 00 00 00 00 00 00 00 00 00 00 21 f0 03 01
34,1088,Imperial Stormer,61474,259,00 00 00 00 00 00 00 00 00 00 00 00 22 f0 03 01
35,1120,Imperial Stormer,61475,259,00 00 00 00 00 00 00 00 00 00 00 00 23 f0 03 01
36,1152,Imperial Stormer,61476,259,00 00 00 00 00 00 00 00 00 00 00 00 24 f0 03 01
37,1184,Imperial Stormer,61477,259,00 00 00 00 00 00 00 00 00 00 00 00 25 f0 03 01
38,1216,Imperial Stormer,61478,259,00 00 00 00 00 00 00 00 00 00 00 00 26 f0 03 01
39,1248,Imperial Stormer,61479,259,00 00 00 00 00 00 00 00 00 00 00 00 27 f0 03 01
40,1280,Crimson Eruca,61480,259,00 00 00 00 00 00 00 00 00 00 00 00 28 f0 03 01
41,1312,Crimson Eruca,61481,259,00 00 00 00 00 00 00 00 00 00 00 00 29 f0 03 01
42,1344,Crimson Eruca,61482,259,00 00 00 00 00 00 00 00 00 00 00 00 2a f0 03 01
43,1376,Crimson Eruca,61483,259,00 00 00 00 00 00 00 00 00 00 00 00 2b f0 03 01
44,1408,Crimson Eruca,61484,259,00 00 00 00 00 00 00 00 00 00 00 00 2c f0 03 01
45,1440,Crimson Eruca,61485,259,00 00 00 00 00 00 00 00 00 00 00 00 2d f0 03 01
46,1472,Broken Troll Sol,61486,259,64 69 65 72 00 00 00 00 00 00 00 00 2e f0 03 01
47,1504,Broken Troll Sol,61487,259,64 69 65 72 00 00 00 00 00 00 00 00 2f f0 03 01
48,1536,Broken Troll Sol,61488,259,64 69 65 72 00 00 00 00 00 00 00 00 30 f0 03 01
49,1568,Broken Troll Sol,61489,259,64 69 65 72 00 00 00 00 00 00 00 00 31 f0 03 01
50,1600,Broken Troll Sol,61490,259,64 69 65 72 00 00 00 00 00 00 00 00 32 f0 03 01
51,1632,Broken Troll Sol,61491,259,64 69 65 72 00 00 00 00 00 00 00 00 33 f0 03 01
52,1664,Broken Troll Sol,61492,259,64 69 65 72 00 00 00 00 00 00 00 00 34 f0 03 01
53,1696,Broken Troll Sol,61493,259,64 69 65 72 00 00 00 00 00 00 00 00 35 f0 03 01
54,1728,Broken Troll Sol,61494,259,64 69 65 72 00 00 00 00 00 00 00 00 36 f0 03 01
55,1760,Broken Troll Sol,61495,259,64 69 65 72 00 00 00 00 00 00 00 00 37 f0 03 01
56,1792,Broken Troll Sol,61496,259,64 69 65 72 00 00 00 00 00 00 00 00 38 f0 03 01
57,1824,Broken Troll Sol,61497,259,64 69 65 72 00 00 00 00 00 00 00 00 39 f0 03 01
58,1856,Broken Troll Sol,61498,259,64 69 65 72 00 00 00 00 00 00 00 00 3a f0 03 01
59,1888,Broken Troll Sol,61499,259,64 69 65 72 00 00 00 00 00 00 00 00 3b f0 03 01
60,1920,Broken Troll Sol,61500,259,64 69 65 72 00 00 00 00 00 00 00 00 3c f0 03 01
