npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
72,Cast Bronze Gate,83,260,4,10472,10652,76.15,0.26,0.28,30,7615,26,28,7615 28 26 22 14 7623 0 7624
73,Cast Bronze Gate,84,260,1,10540,10720,76.16,0.6,2.0,70,7616,60,200,7616 200 60 485 1107369984 -266469342 1249902591 2147483632
74,Cast Bronze Gate,85,260,1,10568,10720,76.16,0.6,2.0,70,7616,60,200,7616 200 60 485 1107369984 -266469342 1249902591 2147483632
81,Ramblix,92,260,2,10596,10720,76.16,0.6,2.0,70,7616,60,200,7616 200 60 485 1107369984 -266469342 1249902591 2147483632
83,Shamarhaan,94,260,22,11224,11372,-616.36,1.22,1310.73,60,-61636,122,131073,-61636 131073 122 0 120 200 19 30
84,Valkeng,95,260,7,11292,11372,-616.36,1.22,1310.73,60,-61636,122,131073,-61636 131073 122 0 120 200 19 30
87,Megomak,98,260,153,17984,18096,-1167.97,0.68,20.35,80,-116797,68,2035,-116797 2035 68 0 788537856 -2048 3604607 41943424
89,Karababa,100,260,122,19416,19572,-1166.01,1.2,20.28,25,-116601,120,2028,-116601 2028 120 215 60 0 54 922746880
91,Flit,102,260,77,19040,19160,-1311.61,1.0,13.91,80,-131161,100,1391,-131161 1391 100 0 788537856 -2048 3604607 41943424
96,???,107,260,8,19656,19844,22.59,63.61,43.07,45,2259,6361,4307,2259 4307 6361 3456 255 6371 6368 6365
