npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
477,Mahogany Door,4583,260,1,14000,14016,0.07,0.01,81.45,15,7,1,8145,7 8145 1 0 200 60 268 180
482,Mahogany Door,4588,260,1,13240,13260,7.99,0.01,74.95,30,799,1,7495,799 7495 1 0 7497 180 200 60
483,Mahogany Door,4589,260,1,13504,13520,0.09,0.01,73.38,15,9,1,7338,9 7338 1 0 200 60 19 217
523,Ramblix,4632,260,2,14144,14268,80.41,0.6,2.0,70,8041,60,200,8041 200 60 485 1107369984 -266469342 1249902591 2147483632
526,Gukool Ja,4635,260,55,14772,14868,-29.66,0.4,39.5,70,-2966,40,3950,-2966 3950 40 75 3604480 41943424 -2139094144 2147483640
528,Mishhar,4637,260,51,15212,15308,-915.57,9.52,-268.94,90,-91557,952,-26894,-91557 -26894 952 40 220758 -95199 -25720 218391
531,Gukool Ja,4640,260,14,15640,15820,-1525.91,30.59,50.63,80,-152591,3059,5063,-152591 5063 3059 40 -263490 -143323 5069 -259929
532,Gukool Ja,4641,260,6,15712,15820,-1525.91,30.59,50.63,80,-152591,3059,5063,-152591 5063 3059 40 -263490 -143323 5069 -259929
533,Teepapa,4642,260,101,15776,15820,-1525.91,30.59,50.63,80,-152591,3059,5063,-152591 5063 3059 40 -263490 -143323 5069 -259929
534,Duuruhn,4643,260,60,15932,16104,-1376.59,30.6,50.56,80,-137659,3060,5056,-137659 5056 3060 13 -263381 -139067 5180 40
537,Ibadeen,4646,260,21,16192,16224,-1452.64,20.34,49.35,80,-145264,2034,4935,-145264 4935 2034 40 -264043 -145784 4911 -259560
538,Mashubl,4647,260,18,16312,16484,75.56,75.6,75.58,45,7556,7560,7558,7556 7558 7560 85 -261209600 8388607 -1009280 151224319
539,???,4648,260,3,16416,16484,75.56,75.6,75.58,45,7556,7560,7558,7556 7558 7560 85 -261209600 8388607 -1009280 151224319
546,Logging Point,4655,260,1,16444,16484,75.56,75.6,75.58,45,7556,7560,7558,7556 7558 7560 85 -261209600 8388607 -1009280 151224319
554,???,4663,260,4,16588,16668,81.88,81.89,0.25,65,8188,8189,25,8188 25 8189 575 6111744 1166016896 -491518 -491521
556,Salwa-Molwa,4665,260,359,35160,35292,1119.27,149.52,-1568.2,110,111927,14952,-156820,111927 -156820 14952 3513 128737 -55833 -12073 4078
557,Mikilulu,4666,260,52,34728,34844,-547.1,60.44,-989.09,90,-54710,6044,-98909,-54710 -98909 6044 49 1 40 6 90
572,GoalPoint,4681,260,1,40744,40820,86.73,86.75,86.74,45,8673,8675,8674,8673 8674 8675 220 307194880 -2147483388 5144576 17044047
573,GoalPoint,4682,260,1,41056,41132,86.73,86.75,86.74,45,8673,8675,8674,8673 8674 8675 220 307260416 -2147483388 5144576 17044048
574,GoalPoint,4683,260,1,41368,41444,86.73,86.75,86.74,45,8673,8675,8674,8673 8674 8675 220 307325952 -2147483388 5144576 17044049
575,GoalPoint,4684,260,1,41680,41756,86.73,86.75,86.74,45,8673,8675,8674,8673 8674 8675 220 307391488 -2147483388 5144576 17044050
576,GoalPoint,4685,260,1,41992,42068,86.73,86.75,86.74,45,8673,8675,8674,8673 8674 8675 220 307457024 -2147483388 5144576 17044051
577,GoalPoint,4686,260,1,42304,42380,86.73,86.75,86.74,45,8673,8675,8674,8673 8674 8675 220 307522560 -2147483388 5144576 17044052
578,Moogle,4687,260,22,40956,41132,86.73,86.75,86.74,45,8673,8675,8674,8673 8674 8675 220 307260416 -2147483388 5144576 17044048
579,Moogle,4688,260,22,41268,41444,86.73,86.75,86.74,45,8673,8675,8674,8673 8674 8675 220 307325952 -2147483388 5144576 17044049
580,Moogle,4689,260,22,41580,41756,86.73,86.75,86.74,45,8673,8675,8674,8673 8674 8675 220 307391488 -2147483388 5144576 17044050
581,Moogle,4690,260,22,41892,42068,86.73,86.75,86.74,45,8673,8675,8674,8673 8674 8675 220 307457024 -2147483388 5144576 17044051
582,Moogle,4691,260,22,42204,42380,86.73,86.75,86.74,45,8673,8675,8674,8673 8674 8675 220 307522560 -2147483388 5144576 17044052
583,Moogle,4692,260,22,42836,42980,22.59,63.61,43.07,45,2259,6361,4307,2259 4307 6361 3456 255 6371 6368 6365
584,Planar Rift,4693,260,1,43740,43808,87.26,0.02,0.01,45,8726,2,1,8726 1 2 1539 8727 8728 8729 8730
585,Planar Rift,4694,260,1,62568,62636,0.04,0.02,87.26,45,4,2,8726,4 8726 2 1539 8727 8728 8729 8730
586,Planar Rift,4695,260,1,81396,81464,0.04,0.01,87.26,45,4,1,8726,4 8726 1 1539 8727 8728 8729 8730
587,Riftworn Pyxis,4696,260,1,100224,100364,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
588,Riftworn Pyxis,4697,260,1,101656,101796,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
589,Riftworn Pyxis,4698,260,1,103088,103228,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
590,Survival Guide,4699,260,2,104520,104652,-0.02,96.0,95.85,50,-2,9600,9585,-2 9585 9600 26 27 9599 8 15
