npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
76,Qiqirn Spy,8268,260,1,508,524,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
77,Qiqirn Spy,8269,260,1,632,648,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
78,Qiqirn Spy,8270,260,1,756,772,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
79,Qiqirn Spy,8271,260,1,880,896,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
80,Qiqirn Spy,8272,260,1,1004,1020,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
81,Qiqirn Spy,8273,260,1,1128,1144,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
82,Qiqirn Spy,8274,260,1,1252,1268,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
83,Qiqirn Spy,8275,260,1,1376,1392,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
84,Qiqirn Spy,8276,260,1,1500,1516,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
85,Qiqirn Spy,8277,260,1,1624,1640,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
86,Qiqirn Spy,8278,260,1,1748,1764,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
87,Qiqirn Spy,8279,260,1,1872,1888,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
88,Qiqirn Spy,8280,260,1,1996,2012,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
89,Qiqirn Spy,8281,260,1,2120,2136,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
90,Qiqirn Spy,8282,260,1,2244,2260,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
91,Qiqirn Spy,8283,260,1,2368,2384,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
92,Qiqirn Spy,8284,260,1,2492,2508,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
93,Qiqirn Spy,8285,260,1,2616,2632,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
94,Qiqirn Spy,8286,260,1,2740,2756,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
95,Qiqirn Spy,8287,260,1,2864,2880,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
96,Qiqirn Spy,8288,260,1,2988,3004,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
97,Qiqirn Spy,8289,260,1,3112,3128,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
98,Qiqirn Spy,8290,260,1,3236,3252,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
99,Qiqirn Spy,8291,260,1,3360,3376,0.05,75.97,75.96,15,5,7597,7596,5 7596 7597 2 0 1 77 503390208
100,Qiqirn Spy,8292,260,1,3484,3668,-11.71,0.2,33.3,70,-1171,20,3330,-1171 3330 20 137 503390208 2147483632 595591197 41943332
101,Qiqirn Spy,8293,260,1,3608,3668,-11.71,0.2,33.3,70,-1171,20,3330,-1171 3330 20 137 503390208 2147483632 595591197 41943332
256,Rune of Release,8449,260,1,3976,3996,73.28,0.0,0.01,90,7328,0,1,7328 1 0 38 -2147474432 -2147319807 268436005 419463170
267,Quhaaja,8461,260,1,412,440,75.59,0.0,0.01,50,7559,0,1,7559 1 0 51 1124147200 1107378944 2162720 1900832
277,Zahakahm,8472,260,1,3824,3996,73.28,0.0,0.01,90,7328,0,1,7328 1 0 38 -2147474432 -2147319807 268436005 419463170
284,Garjham,8481,260,1,3920,3996,73.28,0.0,0.01,90,7328,0,1,7328 1 0 38 -2147474432 -2147319807 268436005 419463170
