offset,token
4185,fdo1
5800,main
5817,ovl1
5887,whi1
5904,blof
5921,fdi0
6001,fdo1
6018,fdo1
6394,tgE5
6407,whi1
6424,blof
6565,whi1
6582,blof
6599,fdo1
6616,fdo1l
7151,main
7168,fdi2
7436,fdi2
7472,whi1
7489,blof
7573,fdo1
7590,fdo1
7891,whi1
7908,blof
8031,fdo1
8048,fdo1
8089,z67a
8106,fdi1
8160,fdo1
8177,fdo1x
8285,z67a
8314,main
8333,fdi2
8502,stalE
8517,gb00
8547,gb00E
8562,gb01
8598,gb01E
8613,gb02
8637,ad00S
8650,ad00+
8681,gb02E
8696,gb04
8734,gb04E
8749,gb05
8811,gb05E
8826,gb06
8879,gb06E
8894,gb07
8918,ad01'
8976,gb07E
9023,fdo1
9040,fdo1F
9329,corpf
9344,sha0
9442,s143
9462,fdi1
9482,twa0+
9505,twa1R
9520,s143E
9535,s144
9581,s144E
9596,s145
9633,s145E
9648,s146
9673,s146E
9688,s147
9705,tlk0+
9728,tlk1
9746,s147E
9761,s148
9778,main
9798,s148E
9813,s149
9833,sha0
9851,s149E
9866,s150
9904,s150E
9919,s151
9950,srd0
9968,s151E
9983,s152
10025,s152
10074,s177
10094,fdi1
10150,s177E
10165,s174
10182,tlk0+
10205,tlk1R
10220,s174E
10235,s176
10277,s176E
10292,s175
10309,tlk0+
10332,tlk1R
10347,s175E
10362,s153
10368,kidl0
10388,wnd0
10406,s153E
10421,s154
10438,wnd0
10456,s154E
10471,s155
10488,srd0
10506,fdo1
10523,fdo1R
10538,s155N
10678,fdi1
10864,hib0S
10877,hib0E
10892,hb00
10933,hi07
10948,main
10968,hb00E
10983,hb01
11007,hib1
11025,hb01E
11040,hb02
11067,hb02
11095,hb04
11112,hb04E
11127,hb05
11159,hi08
11215,hb05E
11230,k048
12236,hia0'
12288,corpS#1
12366,corpS
12535,s000
12558,s000E
12573,s001
12599,s001E
12614,s002
12642,s002E
12657,s003
12677,s003E
12692,s004
12731,s004E
12746,s005
12795,s005E
12810,s006
12836,sha0
12854,main
12874,s006E
12889,s007
12906,pa02
12924,sha1R
12939,s007E
12954,s008
12969,sha1J
13018,s008E
13033,s009
13061,hia1R
13076,s009E
13091,s010
13113,hia1#J
13147,s010E
13162,s011
13185,hib0+
13211,s011E
13226,s012
13250,hib1
13269,s012E
13284,sa12
13306,hib1#R
13322,sa12E
13337,s013
13377,s013E
13392,s014
13433,dwn0
13488,s014E
13503,s015
13599,s015E
13614,s016
13665,s016E
13680,s017
13686,kidl0
13735,main
13752,main
13769,main
13786,s017E
13801,s018
13834,main
13851,main
13868,main
13885,s018E
13900,s019
13940,s019E
13955,s020
13977,ati2E
14025,ati2#y
14058,s020E
14073,s021
14117,dwn1
14142,s021E
14157,s022
14233,s022E
14248,s023
14298,s023E
14313,s024
14366,dwt1R
14381,s024E
14396,s025
14436,s025E
14451,s026
14506,dwt1R
14521,s026E
14536,s027
14564,s027E
14579,s028
14618,s028E
14633,s029
14741,s029E
14756,s030
14827,dwn0R
14842,s030E
14857,s031
14958,luthS
14993,dwn1kidl0
15052,st01
15149,klefS11
15162,klef
15210,s031E
15225,blon
15242,s032
15262,fdi1
15299,st05
15355,main
15449,s032E
15464,s033
15484,s001
15504,s033E
15519,s034
15566,s034E
15581,s035
15630,s035E
15645,s036
15665,stp1
15685,bat3
15733,s001
15748,bat3R
15763,s036E
15778,s037
15839,kidl0
15891,klefS21
15904,klefR
15919,s037E
15934,s038
15998,dwt1R
16013,s038E
16028,s039
16071,s039E
16086,s040
16230,st01
16247,s040E
16262,blon
16279,sa41
16316,klb1
16334,sa41E
16349,s041
16367,dead
16385,s001
16405,s041E
16420,blof
16437,s042
16503,dwt1
16557,s042E
16572,blon
16589,s043
16606,main
16626,klb1
16644,kill
16688,dead
16706,s043E
16721,s044
16738,main
16771,klb1
16789,kill
16833,dead
17001,s044E
17016,blof
17033,s045
17053,tlk0+
17089,nin1
17107,tlk1R
17122,s045E
17137,s046
17159,nin1#J
17198,s046E
17213,s047
17246,tlk0+
17275,tlk0#f
17323,s047E
17338,s048
17366,s048E
17381,s049
17396,cabk
17431,s049E
17446,s050
17571,s050E
17586,blon
17603,s051
17724,dwn1
17752,pa01N
17796,s051E
17811,s052
17853,shbk
17880,dead
17908,s052E
17923,s054
17961,dwn2+
17981,dwn2#N
18016,kon2
18057,s054E
18072,blon
18089,s055
18109,sha0S01
18122,sha0R
18137,s055E
18152,s056
18169,bs01S
18197,kon3
18224,bs02
18243,s056E
18258,s057
18353,s057E
18368,blof
18385,s058
18451,s058E
18466,s059
18506,iro0#R
18522,s059E
18537,s060
18561,sit1+
18587,s060E
18602,s061
18651,s061E
18666,s062
18690,tlk0+
18726,tlk0#f
18742,tlk1R
18757,s062E
18772,s063
18869,s063E
18884,s064
19019,s064E
19034,s065
19097,s065E
19112,s066
19161,b000
19198,oou0
19221,oou0
19239,s066E
19254,s067
19286,bstp
19303,s067E
19318,s068
19338,bstp
19358,s068E
19373,s069
19390,oou1
19408,oou1
19445,oou2
19463,oou2
19554,s069E
19569,sa69
19596,sa69E
19611,s070
19699,kidl0.1
19803,s070E
19818,s071
19882,s071E
19897,s072
19949,cry0R
19964,s072E
19979,s073
20017,s073E
20032,s074
20099,s074
20122,sg75
20150,sg75
20178,st75
20206,st75
20226,s075
20258,twb0+
20286,twb0#f
20302,twb1
20325,sg75
20351,sg75
20377,st75
20403,st75
20421,s075E
20436,s076
20489,s076
20512,sg77
20540,sg77
20568,st77
20596,st77
20616,s077
20633,twb0+
20674,twb0#f
20690,twb1
20713,sg77
20739,sg77
20765,st77
20791,st77
20809,s077E
20824,s078
20839,twb1
20876,main
20975,s078E
20990,s079
21018,s079
21147,fdo2
21164,fdo2
21200,fdi2
21217,main
21246,fdo1
21263,fdo1F
21553,sha0f
21568,sha0f
21583,sha0f
21598,sha0
21657,sha0E
21672,s094
21692,fdi1
21712,sha0
21730,sha0
21748,sha0+
21795,s094E
21810,s095
21845,s095
21863,s156
21936,s156E
21951,s157
21968,sha1+
21991,s157E
22006,s158
22102,sha1+
22125,s158
22164,s094
22184,fdi1
22204,sha0
22222,sha0
22240,sha0+
22294,s094E
22309,s179
22352,s179E
22367,s180
22423,s180E
22438,s096
22493,s096E
22508,s097
22556,s097E
22571,s160
22598,sha1+
22624,s160E
22639,s159
22676,tlk0+
22699,tlk1
22717,s159E
22732,s164
22777,s164E
22792,s161
22831,s161E
22846,s162
22877,s162E
22892,s163
22944,fdo1
22961,fdo1R
23133,s165
23153,efon
23170,efon
23188,s165E
23203,s166
23220,tlk0+
23243,tlk1n
23278,s166E
23293,s167
23330,tlk0+
23353,tlk1R
23368,s167E
23383,s168
23420,s168E
23435,fdo1
23452,fdo15
23588,s169
23608,fdi1
23625,tlk0
23655,tlk1
23673,s169E
23688,s170
23705,sha1+
23731,s170E
23746,s171
23782,s171E
23797,s172
23825,s172E
23840,s173
23876,fdo1
23893,fdo1R
23908,s173N
24059,fdo1
24076,fdo1F
24587,deadS
24600,dead
