index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Mocking Colibri,12289,260,00 00 00 00 00 00 00 00 00 00 00 00 01 30 04 01
2,64,Armoury Crate,12290,260,00 00 00 00 00 00 00 00 00 00 00 00 02 30 04 01
3,96,Mocking Colibri,12291,260,00 00 00 00 00 00 00 00 00 00 00 00 03 30 04 01
4,128,Armoury Crate,12292,260,00 00 00 00 00 00 00 00 00 00 00 00 04 30 04 01
5,160,Mocking Colibri,12293,260,00 00 00 00 00 00 00 00 00 00 00 00 05 30 04 01
6,192,Armoury Crate,12294,260,00 00 00 00 00 00 00 00 00 00 00 00 06 30 04 01
7,224,Phantom Puk,12295,260,00 00 00 00 00 00 00 00 00 00 00 00 07 30 04 01
8,256,Phantom Puk,12296,260,00 00 00 00 00 00 00 00 00 00 00 00 08 30 04 01
9,288,Phantom Puk,12297,260,00 00 00 00 00 00 00 00 00 00 00 00 09 30 04 01
10,320,Phantom Puk,12298,260,00 00 00 00 00 00 00 00 00 00 00 00 0a 30 04 01
11,352,Phantom Puk,12299,260,00 00 00 00 00 00 00 00 00 00 00 00 0b 30 04 01
12,384,Armoury Crate,12300,260,00 00 00 00 00 00 00 00 00 00 00 00 0c 30 04 01
13,416,Phantom Puk,12301,260,00 00 00 00 00 00 00 00 00 00 00 00 0d 30 04 01
14,448,Phantom Puk,12302,260,00 00 00 00 00 00 00 00 00 00 00 00 0e 30 04 01
15,480,Phantom Puk,12303,260,00 00 00 00 00 00 00 00 00 00 00 00 0f 30 04 01
16,512,Phantom Puk,12304,260,00 00 00 00 00 00 00 00 00 00 00 00 10 30 04 01
17,544,Phantom Puk,12305,260,00 00 00 00 00 00 00 00 00 00 00 00 11 30 04 01
18,576,Armoury Crate,12306,260,00 00 00 00 00 00 00 00 00 00 00 00 12 30 04 01
19,608,Phantom Puk,12307,260,00 00 00 00 00 00 00 00 00 00 00 00 13 30 04 01
20,640,Phantom Puk,12308,260,00 00 00 00 00 00 00 00 00 00 00 00 14 30 04 01
21,672,Phantom Puk,12309,260,00 00 00 00 00 00 00 00 00 00 00 00 15 30 04 01
22,704,Phantom Puk,12310,260,00 00 00 00 00 00 00 00 00 00 00 00 16 30 04 01
23,736,Phantom Puk,12311,260,00 00 00 00 00 00 00 00 00 00 00 00 17 30 04 01
24,768,Armoury Crate,12312,260,00 00 00 00 00 00 00 00 00 00 00 00 18 30 04 01
25,800,Raubahn,12313,260,00 00 00 00 00 00 00 00 00 00 00 00 19 30 04 01
26,832,Raubahn,12314,260,00 00 00 00 00 00 00 00 00 00 00 00 1a 30 04 01
27,864,Raubahn,12315,260,00 00 00 00 00 00 00 00 00 00 00 00 1b 30 04 01
28,896,Shadowhand Kajee,12316,260,6c 20 4a 61 00 00 00 00 00 00 00 00 1c 30 04 01
29,928,Blacktattoo Vedo,12317,260,6f 6c 20 4a 61 00 00 00 00 00 00 00 1d 30 04 01
30,960,Whitetattoo Raho,12318,260,6f 6c 20 4a 61 00 00 00 00 00 00 00 1e 30 04 01
31,992,Wabjahl,12319,260,00 00 00 00 00 00 00 00 00 00 00 00 1f 30 04 01
32,1024,Tiyaash,12320,260,00 00 00 00 00 00 00 00 00 00 00 00 20 30 04 01
33,1056,Jasweem,12321,260,00 00 00 00 00 00 00 00 00 00 00 00 21 30 04 01
34,1088,Shadowhand Kajee,12322,260,6c 20 4a 61 00 00 00 00 00 00 00 00 22 30 04 01
35,1120,Blacktattoo Vedo,12323,260,6f 6c 20 4a 61 00 00 00 00 00 00 00 23 30 04 01
36,1152,Whitetattoo Raho,12324,260,6f 6c 20 4a 61 00 00 00 00 00 00 00 24 30 04 01
37,1184,Wabjahl,12325,260,00 00 00 00 00 00 00 00 00 00 00 00 25 30 04 01
