index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Alangriche,24581,260,00 00 00 00 00 00 00 00 00 00 00 00 05 60 04 01
2,64,Lafaurelle,24582,260,00 00 00 00 00 00 00 00 00 00 00 00 06 60 04 01
3,96,Jazgeh,24583,260,00 00 00 00 00 00 00 00 00 00 00 00 07 60 04 01
4,128,Zagied,24584,260,00 00 00 00 00 00 00 00 00 00 00 00 08 60 04 01
5,160,Rungaga,24585,260,00 00 00 00 00 00 00 00 00 00 00 00 09 60 04 01
6,192,Chualulu,24586,260,00 00 00 00 00 00 00 00 00 00 00 00 0a 60 04 01
7,224,,24587,260,00 00 00 00 00 00 00 00 00 00 00 00 0b 60 04 01
8,256,,24588,260,00 00 00 00 00 00 00 00 00 00 00 00 0c 60 04 01
9,288,,24589,260,00 00 00 00 00 00 00 00 00 00 00 00 0d 60 04 01
10,320,,24590,260,00 00 00 00 00 00 00 00 00 00 00 00 0e 60 04 01
11,352,,24591,260,00 00 00 00 00 00 00 00 00 00 00 00 0f 60 04 01
12,384,,24592,260,00 00 00 00 00 00 00 00 00 00 00 00 10 60 04 01
13,416,,24593,260,00 00 00 00 00 00 00 00 00 00 00 00 11 60 04 01
14,448,,24594,260,00 00 00 00 00 00 00 00 00 00 00 00 12 60 04 01
15,480,,24595,260,00 00 00 00 00 00 00 00 00 00 00 00 13 60 04 01
16,512,,24596,260,00 00 00 00 00 00 00 00 00 00 00 00 14 60 04 01
17,544,,24597,260,00 00 00 00 00 00 00 00 00 00 00 00 15 60 04 01
18,576,,24598,260,00 00 00 00 00 00 00 00 00 00 00 00 16 60 04 01
19,608,,24599,260,00 00 00 00 00 00 00 00 00 00 00 00 17 60 04 01
20,640,,24600,260,00 00 00 00 00 00 00 00 00 00 00 00 18 60 04 01
21,672,Goccilo,24601,260,00 00 00 00 00 00 00 00 00 00 00 00 19 60 04 01
22,704,Goccilo,24602,260,00 00 00 00 00 00 00 00 00 00 00 00 1a 60 04 01
23,736,Markovich,24603,260,00 00 00 00 00 00 00 00 00 00 00 00 1b 60 04 01
24,768,Sakura,24604,260,00 00 00 00 00 00 00 00 00 00 00 00 1c 60 04 01
25,800,Pieuje,24605,260,00 00 00 00 00 00 00 00 00 00 00 00 1d 60 04 01
26,832,Kupipi,24606,260,00 00 00 00 00 00 00 00 00 00 00 00 1e 60 04 01
27,864,,24607,260,00 00 00 00 00 00 00 00 00 00 00 00 1f 60 04 01
28,896,,24608,260,00 00 00 00 00 00 00 00 00 00 00 00 20 60 04 01
29,928,,24609,260,00 00 00 00 00 00 00 00 00 00 00 00 21 60 04 01
30,960,,24610,260,00 00 00 00 00 00 00 00 00 00 00 00 22 60 04 01
31,992,,24611,260,00 00 00 00 00 00 00 00 00 00 00 00 23 60 04 01
32,1024,cameraA,24612,260,00 00 00 00 00 00 00 00 00 00 00 00 24 60 04 01
33,1056,cameraB,24613,260,00 00 00 00 00 00 00 00 00 00 00 00 25 60 04 01
34,1088,,24614,260,00 00 00 00 00 00 00 00 00 00 00 00 26 60 04 01
35,1120,,24615,260,00 00 00 00 00 00 00 00 00 00 00 00 27 60 04 01
