offset,token
299,fdo1
331,fdi1
351,fdo1
383,fdi1
403,fdo1
435,fdi1
455,fdo1
487,fdi1
584,fdo1
604,dor2
737,pq10
772,pq11
807,pq12
842,pq13
981,pq20
1016,pq21
1051,pq22
1086,pq23
1225,pq30
1260,pq31
1295,pq32
1330,pq33
1469,pq40
1504,pq41
1539,pq42
1574,pq43
3426,fdo1
3458,fdi1
3506,fdo1
3538,fdi1
3678,fdo1
3710,fdi1
3758,fdo1
3790,fdi1
3930,fdo1
3962,fdi1
4010,fdo1
4042,fdi1
4182,fdo1
4214,fdi1
4262,fdo1
4294,fdi1
4434,fdo1
4466,fdi1
4514,fdo1
4546,fdi1
4686,fdo1
4718,fdi1
4766,fdo1
4798,fdi1
4938,fdo1
4970,fdi1
5018,fdo1
5050,fdi1
5190,fdo1
5222,fdi1
5270,fdo1
5302,fdi1
5445,fdo1
5474,fdi1
5633,fdo1
5662,fdi1
5821,fdo1
5850,fdi1
6009,fdo1
6038,fdi1
6197,fdo1
6226,fdi1
6385,fdo1
6414,fdi1
6573,fdo1
6602,fdi1
6761,fdo1
6790,fdi1
7015,fdo1
7087,fdi1
7131,fdo1
7203,fdi1
7247,fdo1
7319,fdi1
7363,fdo1
7435,fdi1
7643,fdo1
7715,fdi1
7759,fdo1
7831,fdi1
7875,fdo1
7947,fdi1
7991,fdo1
8063,fdi1
8271,fdo1
8343,fdi1
8387,fdo1
8459,fdi1
8503,fdo1
8575,fdi1
8619,fdo1
8691,fdi1
8899,fdo1
8971,fdi1
9015,fdo1
9087,fdi1
9131,fdo1
9203,fdi1
9247,fdo1
9319,fdi1
