npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
409,Speaking Tubes,29082,260,1,1608,1624,0.17,0.0,73.58,15,17,0,7358,17 7358 0 1 2 3 4 5
480,Gate: The Pit,29160,260,1,496,512,0.07,0.01,72.34,15,7,1,7234,7 7234 1 0 200 60 268 180
481,Cage Fence,29161,260,6,815,911,555.52,5.12,2.56,65,55552,512,256,55552 256 512 768 1024 46592 4718592 19342208
482,Cage Fence,29162,260,6,1059,1155,555.52,5.12,2.56,65,55552,512,256,55552 256 512 768 1024 46592 4718592 19342208
483,Cage Fence,29163,260,6,1303,1399,555.52,5.12,2.56,65,55552,512,256,55552 256 512 768 1024 46592 4718592 19342208
484,Cage Fence,29164,260,6,1547,1679,30.72,35.84,33.28,50,3072,3584,3328,3072 3328 3584 3840 68352 2359296 25166208 140672
488,Zandjarl,29168,260,1,1968,1996,115.06,0.02,115.19,45,11506,2,11519,11506 11519 2 500 5000 11513 12 1
489,Walzharn,29169,260,1,3300,3372,430.17,0.02,-59.99,90,43017,2,-5999,43017 -5999 2 161 -1040896 1933311 19145600 58720896
490,Hamgahn,29170,260,1,3552,3624,372.99,40.66,-59.99,90,37299,4066,-5999,37299 -5999 4066 161 -1040896 1933311 19145600 58720896
491,Djiahlm,29171,260,1,3804,3876,-367.15,40.95,-60.0,90,-36715,4095,-6000,-36715 -6000 4095 161 -1040896 1933311 19145600 58720896
492,Wahrouzam,29172,260,1,4056,4128,-424.73,40.94,-60.0,90,-42473,4094,-6000,-42473 -6000 4094 161 -1040896 1933311 19145600 58720896
493,Zhayard,29173,260,1,4308,4380,427.46,20.29,-60.0,90,42746,2029,-6000,42746 -6000 2029 161 -1040896 1933311 19145600 58720896
494,Sazahlam,29174,260,1,4560,4632,370.1,20.66,-60.0,90,37010,2066,-6000,37010 -6000 2066 161 -1040896 1933311 19145600 58720896
495,Ghadjuyan,29175,260,1,4812,4884,-374.2,20.61,-60.0,90,-37420,2061,-6000,-37420 -6000 2061 161 -1040896 1933311 19145600 58720896
496,Habhayam,29176,260,1,5064,5136,-433.12,20.25,-60.0,90,-43312,2025,-6000,-43312 -6000 2025 161 -1040896 1933311 19145600 58720896
497,Garawham,29177,260,1,5316,5368,-36.0,117.0,20.4,90,-3600,11700,2040,-3600 2040 11700 119 -1040896 1933311 33694592 8388880
498,Bebo Jhatabia,29178,260,1,5504,5556,-36.0,117.0,20.24,90,-3600,11700,2024,-3600 2024 11700 119 -1040896 1933311 33694592 8388880
499,Ghasherd,29179,260,1,5692,5720,117.01,0.25,0.0,90,11701,25,0,11701 0 25 200 -546958 -37023 -3600 2005
500,Masya Rhaliduva,29180,260,1,5880,5908,117.01,0.25,0.0,90,11701,25,0,11701 0 25 200 -546921 -43019 -3600 2034
501,Rhamurya,29181,260,1,6068,6120,-36.0,117.0,40.85,90,-3600,11700,4085,-3600 4085 11700 119 -1040896 1933311 33694592 8388880
502,Saco Alyahka,29182,260,1,6256,6308,-36.0,117.0,0.07,90,-3600,11700,7,-3600 7 11700 119 -1040896 1933311 33694592 8388880
503,Yassham,29183,260,1,6444,6472,117.01,0.25,0.0,90,11701,25,0,11701 0 25 200 -508999 -37025 -3600 4071
504,Vyki Parabuji,29184,260,1,6632,6660,117.01,0.25,0.0,90,11701,25,0,11701 0 25 200 -509110 -42986 -3600 4091
505,Kanawawa,29185,260,1,6820,6876,20.0,40.92,10.0,90,2000,4092,1000,2000 1000 4092 2 -596255 -40091 4 3
506,Kumumu,29186,260,1,7448,7504,20.0,40.92,10.0,90,2000,4092,1000,2000 1000 4092 2 -596255 -40091 4 3
507,Nalpupu,29187,260,1,8076,8132,20.0,40.92,10.0,90,2000,4092,1000,2000 1000 4092 2 -596255 -40091 4 3
508,Niwawa,29188,260,1,8704,8760,20.0,40.92,10.0,90,2000,4092,1000,2000 1000 4092 2 -596255 -40091 4 3
510,Kaheema,29190,260,1,9332,9384,0.0,0.01,25.0,30,0,1,2500,0 2500 1 2 3 11526 11527 11528
511,Abhrem,29191,260,1,12028,12112,115.97,115.98,0.02,45,11597,11598,2,11597 2 11598 2500 11600 11601 3 11602
512,Kadjayhal,29192,260,1,15528,15584,116.84,116.86,116.85,45,11684,11686,11685,11684 11685 11686 98 -1040896 1933311 18686848 336768
513,Rayeewa,29194,260,1,15700,15752,0.0,0.01,25.0,30,0,1,2500,0 2500 1 2 3 11526 11527 11528
514,Idjham,29195,260,1,18396,18480,115.97,115.98,0.02,45,11597,11598,2,11597 2 11598 2500 11600 11601 3 11602
515,Ghalizham,29196,260,1,21896,21952,116.84,116.86,116.85,45,11684,11686,11685,11684 11685 11686 98 -1040896 1933311 18686848 336768
516,Tadeewa,29198,260,1,22068,22120,0.0,0.01,25.0,30,0,1,2500,0 2500 1 2 3 11526 11527 11528
517,Biwhal,29199,260,1,24764,24848,115.97,115.98,0.02,45,11597,11598,2,11597 2 11598 2500 11600 11601 3 11602
518,Wharoub,29200,260,1,28264,28320,116.84,116.86,116.85,45,11684,11686,11685,11684 11685 11686 98 -1040896 1933311 18686848 336768
519,Salyadh,29202,260,1,28436,28488,0.0,0.01,25.0,30,0,1,2500,0 2500 1 2 3 11526 11527 11528
520,Whashai,29203,260,1,31164,31248,115.97,115.98,0.02,45,11597,11598,2,11597 2 11598 2500 11600 11601 3 11602
521,Zhashdi,29204,260,1,34664,34720,116.84,116.86,116.85,45,11684,11686,11685,11684 11685 11686 98 -1040896 1933311 18686848 336768
