index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Nepionic Soulfla,32769,260,79 65 72 00 00 00 00 00 00 00 00 00 01 80 04 01
2,64,Qiqirn Poulterer,32770,260,00 00 00 00 00 00 00 00 00 00 00 00 02 80 04 01
3,96,Qiqirn Goldsmith,32771,260,00 00 00 00 00 00 00 00 00 00 00 00 03 80 04 01
4,128,Qiqirn Mine,32772,260,00 00 00 00 00 00 00 00 00 00 00 00 04 80 04 01
5,160,Boompadu,32773,260,00 00 00 00 00 00 00 00 00 00 00 00 05 80 04 01
6,192,Qiqirn Poulterer,32774,260,00 00 00 00 00 00 00 00 00 00 00 00 06 80 04 01
7,224,Qiqirn Poulterer,32775,260,00 00 00 00 00 00 00 00 00 00 00 00 07 80 04 01
8,256,Qiqirn Goldsmith,32776,260,00 00 00 00 00 00 00 00 00 00 00 00 08 80 04 01
9,288,Qiqirn Mine,32777,260,00 00 00 00 00 00 00 00 00 00 00 00 09 80 04 01
10,320,Qiqirn Goldsmith,32778,260,00 00 00 00 00 00 00 00 00 00 00 00 0a 80 04 01
11,352,Qiqirn Mine,32779,260,00 00 00 00 00 00 00 00 00 00 00 00 0b 80 04 01
12,384,Qiqirn Goldsmith,32780,260,00 00 00 00 00 00 00 00 00 00 00 00 0c 80 04 01
13,416,Qiqirn Mine,32781,260,00 00 00 00 00 00 00 00 00 00 00 00 0d 80 04 01
14,448,Qiqirn Goldsmith,32782,260,00 00 00 00 00 00 00 00 00 00 00 00 0e 80 04 01
15,480,Qiqirn Mine,32783,260,00 00 00 00 00 00 00 00 00 00 00 00 0f 80 04 01
16,512,Qiqirn Goldsmith,32784,260,00 00 00 00 00 00 00 00 00 00 00 00 10 80 04 01
17,544,Qiqirn Mine,32785,260,00 00 00 00 00 00 00 00 00 00 00 00 11 80 04 01
18,576,Qiqirn Poulterer,32786,260,00 00 00 00 00 00 00 00 00 00 00 00 12 80 04 01
19,608,Qiqirn Poulterer,32787,260,00 00 00 00 00 00 00 00 00 00 00 00 13 80 04 01
20,640,Qiqirn Goldsmith,32788,260,00 00 00 00 00 00 00 00 00 00 00 00 14 80 04 01
21,672,Qiqirn Mine,32789,260,00 00 00 00 00 00 00 00 00 00 00 00 15 80 04 01
22,704,Cookieduster Lip,32790,260,69 72 6f 6f 6e 00 00 00 00 00 00 00 16 80 04 01
23,736,Qiqirn Poulterer,32791,260,00 00 00 00 00 00 00 00 00 00 00 00 17 80 04 01
24,768,Qiqirn Goldsmith,32792,260,00 00 00 00 00 00 00 00 00 00 00 00 18 80 04 01
25,800,Qiqirn Mine,32793,260,00 00 00 00 00 00 00 00 00 00 00 00 19 80 04 01
26,832,Qiqirn Goldsmith,32794,260,00 00 00 00 00 00 00 00 00 00 00 00 1a 80 04 01
27,864,Qiqirn Mine,32795,260,00 00 00 00 00 00 00 00 00 00 00 00 1b 80 04 01
28,896,Qiqirn Goldsmith,32796,260,00 00 00 00 00 00 00 00 00 00 00 00 1c 80 04 01
29,928,Qiqirn Mine,32797,260,00 00 00 00 00 00 00 00 00 00 00 00 1d 80 04 01
30,960,Qiqirn Poulterer,32798,260,00 00 00 00 00 00 00 00 00 00 00 00 1e 80 04 01
31,992,Qiqirn Goldsmith,32799,260,00 00 00 00 00 00 00 00 00 00 00 00 1f 80 04 01
32,1024,Qiqirn Mine,32800,260,00 00 00 00 00 00 00 00 00 00 00 00 20 80 04 01
33,1056,Qiqirn Goldsmith,32801,260,00 00 00 00 00 00 00 00 00 00 00 00 21 80 04 01
34,1088,Qiqirn Mine,32802,260,00 00 00 00 00 00 00 00 00 00 00 00 22 80 04 01
35,1120,Qiqirn Goldsmith,32803,260,00 00 00 00 00 00 00 00 00 00 00 00 23 80 04 01
36,1152,Qiqirn Mine,32804,260,00 00 00 00 00 00 00 00 00 00 00 00 24 80 04 01
37,1184,Qiqirn Poulterer,32805,260,00 00 00 00 00 00 00 00 00 00 00 00 25 80 04 01
38,1216,Qiqirn Poulterer,32806,260,00 00 00 00 00 00 00 00 00 00 00 00 26 80 04 01
39,1248,Qiqirn Poulterer,32807,260,00 00 00 00 00 00 00 00 00 00 00 00 27 80 04 01
40,1280,Qiqirn Goldsmith,32808,260,00 00 00 00 00 00 00 00 00 00 00 00 28 80 04 01
41,1312,Qiqirn Mine,32809,260,00 00 00 00 00 00 00 00 00 00 00 00 29 80 04 01
42,1344,Oupire,32810,260,00 00 00 00 00 00 00 00 00 00 00 00 2a 80 04 01
43,1376,Ob,32811,260,00 00 00 00 00 00 00 00 00 00 00 00 2b 80 04 01
44,1408,Cheese Hoarder G,32812,260,69 67 69 72 6f 6f 6e 00 00 00 00 00 2c 80 04 01
45,1440,Qiqirn Mine,32813,260,00 00 00 00 00 00 00 00 00 00 00 00 2d 80 04 01
46,1472,Qiqirn Mine,32814,260,00 00 00 00 00 00 00 00 00 00 00 00 2e 80 04 01
47,1504,Qiqirn Mine,32815,260,00 00 00 00 00 00 00 00 00 00 00 00 2f 80 04 01
48,1536,Qiqirn Mine,32816,260,00 00 00 00 00 00 00 00 00 00 00 00 30 80 04 01
49,1568,Qiqirn Mine,32817,260,00 00 00 00 00 00 00 00 00 00 00 00 31 80 04 01
50,1600,Armed Gears,32818,260,00 00 00 00 00 00 00 00 00 00 00 00 32 80 04 01
51,1632,Wulgaru,32819,260,00 00 00 00 00 00 00 00 00 00 00 00 33 80 04 01
52,1664,Vidmapire,32820,260,00 00 00 00 00 00 00 00 00 00 00 00 34 80 04 01
53,1696,Vidmapire,32821,260,00 00 00 00 00 00 00 00 00 00 00 00 35 80 04 01
54,1728,Vidmapire,32822,260,00 00 00 00 00 00 00 00 00 00 00 00 36 80 04 01
55,1760,Panaiveriyamman,32823,260,00 00 00 00 00 00 00 00 00 00 00 00 37 80 04 01
56,1792,Panaiveriyamman,32824,260,00 00 00 00 00 00 00 00 00 00 00 00 38 80 04 01
57,1824,Panaiveriyamman,32825,260,00 00 00 00 00 00 00 00 00 00 00 00 39 80 04 01
58,1856,Panaiveriyamman,32826,260,00 00 00 00 00 00 00 00 00 00 00 00 3a 80 04 01
59,1888,Apex Archaic Cog,32827,260,00 00 00 00 00 00 00 00 00 00 00 00 3b 80 04 01
60,1920,Apex Archaic Cog,32828,260,00 00 00 00 00 00 00 00 00 00 00 00 3c 80 04 01
61,1952,Apex Archaic Cog,32829,260,00 00 00 00 00 00 00 00 00 00 00 00 3d 80 04 01
62,1984,Apex Archaic Cog,32830,260,00 00 00 00 00 00 00 00 00 00 00 00 3e 80 04 01
63,2016,Apex Archaic Cog,32831,260,73 00 00 00 00 00 00 00 00 00 00 00 3f 80 04 01
64,2048,Apex Archaic Cog,32832,260,73 00 00 00 00 00 00 00 00 00 00 00 40 80 04 01
65,2080,Apex Archaic Cog,32833,260,00 00 00 00 00 00 00 00 00 00 00 00 41 80 04 01
66,2112,Apex Archaic Cog,32834,260,00 00 00 00 00 00 00 00 00 00 00 00 42 80 04 01
67,2144,Apex Archaic Cog,32835,260,00 00 00 00 00 00 00 00 00 00 00 00 43 80 04 01
68,2176,Apex Archaic Cog,32836,260,00 00 00 00 00 00 00 00 00 00 00 00 44 80 04 01
69,2208,Apex Archaic Cog,32837,260,73 00 00 00 00 00 00 00 00 00 00 00 45 80 04 01
70,2240,Apex Archaic Cog,32838,260,73 00 00 00 00 00 00 00 00 00 00 00 46 80 04 01
71,2272,Apex Archaic Cog,32839,260,00 00 00 00 00 00 00 00 00 00 00 00 47 80 04 01
72,2304,Apex Archaic Cog,32840,260,00 00 00 00 00 00 00 00 00 00 00 00 48 80 04 01
73,2336,Apex Archaic Cog,32841,260,00 00 00 00 00 00 00 00 00 00 00 00 49 80 04 01
74,2368,Apex Archaic Cog,32842,260,00 00 00 00 00 00 00 00 00 00 00 00 4a 80 04 01
75,2400,Apex Archaic Cog,32843,260,73 00 00 00 00 00 00 00 00 00 00 00 4b 80 04 01
76,2432,Apex Archaic Cog,32844,260,73 00 00 00 00 00 00 00 00 00 00 00 4c 80 04 01
77,2464,Apex Archaic Cog,32845,260,00 00 00 00 00 00 00 00 00 00 00 00 4d 80 04 01
78,2496,Apex Archaic Cog,32846,260,00 00 00 00 00 00 00 00 00 00 00 00 4e 80 04 01
79,2528,Apex Archaic Cog,32847,260,00 00 00 00 00 00 00 00 00 00 00 00 4f 80 04 01
80,2560,Apex Archaic Cog,32848,260,00 00 00 00 00 00 00 00 00 00 00 00 50 80 04 01
81,2592,Apex Archaic Cog,32849,260,73 00 00 00 00 00 00 00 00 00 00 00 51 80 04 01
82,2624,Apex Archaic Cog,32850,260,73 00 00 00 00 00 00 00 00 00 00 00 52 80 04 01
83,2656,Apex Archaic Cog,32851,260,00 00 00 00 00 00 00 00 00 00 00 00 53 80 04 01
84,2688,Apex Archaic Cog,32852,260,00 00 00 00 00 00 00 00 00 00 00 00 54 80 04 01
85,2720,Apex Archaic Cog,32853,260,00 00 00 00 00 00 00 00 00 00 00 00 55 80 04 01
86,2752,Apex Archaic Cog,32854,260,00 00 00 00 00 00 00 00 00 00 00 00 56 80 04 01
