npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
175,Gilded Doors,32952,260,1,51156,51316,74.6,74.61,74.67,90,7460,7461,7467,7460 7467 7461 200 -580000 -404000 3072 35
177,Gilded Doors,32954,260,1,4020,4040,0.1,0.01,72.4,15,10,1,7240,10 7240 1 0 200 60 19 217
178,Gilded Doors,32955,260,1,4452,4472,0.1,0.01,72.4,15,10,1,7240,10 7240 1 0 200 60 19 217
187,_20n,32964,260,11,56040,56188,75.02,75.04,75.03,45,7502,7504,7503,7502 7503 7504 221 268501760 -266436608 494927871 488865793
188,Gilded Gateway,32965,260,1,54448,54580,74.6,74.61,74.67,90,7460,7461,7467,7460 7467 7461 200 -580000 -404000 3072 35
189,_20o,32966,260,13,8568,8720,0.21,74.53,74.52,45,21,7453,7452,21 7452 7453 797 7471 7454 7456 7457
190,Gilded Gateway,32967,260,1,8624,8760,74.6,74.61,74.67,90,7460,7461,7467,7460 7467 7461 200 -580000 -404000 3072 35
191,_20p,32968,260,11,52776,52948,74.6,74.61,74.67,90,7460,7461,7467,7460 7467 7461 200 -580000 -404000 3072 35
192,Gilded Gateway,32969,260,1,51184,51316,74.6,74.61,74.67,90,7460,7461,7467,7460 7467 7461 200 -580000 -404000 3072 35
193,_20q,32970,260,11,54408,54580,74.6,74.61,74.67,90,7460,7461,7467,7460 7467 7461 200 -580000 -404000 3072 35
194,Gilded Gateway,32971,260,1,52816,52948,74.6,74.61,74.67,90,7460,7461,7467,7460 7467 7461 200 -580000 -404000 3072 35
195,Runic Seal,32972,260,1,4884,5040,74.64,74.61,1.2,90,7464,7461,120,7464 120 7461 200 -580000 -404000 3072 35
197,Runic Portal,32974,260,1,7200,7264,0.3,72.5,72.44,85,30,7250,7244,30 7244 7250 601 604053504 -2147385344 36012034 -2147348480
198,Runic Portal,32975,260,1,7884,7948,0.3,72.5,72.44,85,30,7250,7244,30 7244 7250 601 604053504 -2147385344 36012034 -2147348480
199,???,32976,260,127,10396,10512,-351.82,0.52,1.13,90,-35182,52,113,-35182 113 52 0 -697565184 66688 8388992 1049116
208,Nashmeira,32985,260,425,87575,87759,153.6,84.48,307.2,70,15360,8448,30720,15360 30720 8448 0 -1940 25165951 -127139712 41943039
209,Nashmeira,32986,260,68,11299,11447,76.8,0.0,732.16,65,7680,0,73216,7680 73216 0 3840 64000 76800 23040 1861120
226,Odin,33003,260,36,11319,11447,76.8,0.0,732.16,65,7680,0,73216,7680 73216 0 3840 64000 76800 23040 1861120
229,Balrahn Eidolon,33006,260,15,48556,48744,74.08,0.28,74.09,15,7408,28,7409,7408 7409 28 26 22 14 7417 0
230,Ramblix,33007,260,2,48692,48816,74.1,0.6,2.0,70,7410,60,200,7410 200 60 485 1107369984 -266469342 1249902591 2147483632
237,Shahayl,33014,260,1,56080,56188,75.02,75.04,75.03,45,7502,7504,7503,7502 7503 7504 221 268501760 -266436608 494927871 488865793
247,Ghatsad,33024,260,131,73751,73823,15.36,20.48,17.92,65,1536,2048,1792,1536 1792 2048 2304 322816 1626880 1627136 2560
248,???,33025,260,1,74624,74668,0.0,0.01,70.51,70,0,1,7051,0 7051 1 27 433811 -580007 50 2044
249,Tenzen,33026,260,217,11355,11447,76.8,0.0,732.16,65,7680,0,73216,7680 73216 0 3840 64000 76800 23040 1861120
251,Alexander,33028,260,170,11359,11447,76.8,0.0,732.16,65,7680,0,73216,7680 73216 0 3840 64000 76800 23040 1861120
254,Volto Oscuro,33031,260,19,87872,87920,0.23,79.47,79.46,30,23,7947,7946,23 7946 7947 1 0 899 8 15
255,Ethereal Junctio,33032,260,1,87900,87920,0.23,79.47,79.46,30,23,7947,7946,23 7946 7947 1 0 899 8 15
256,Ethereal Junctio,33033,260,1,89264,89284,0.23,79.47,79.46,30,23,7947,7946,23 7946 7947 1 0 899 8 15
257,Ethereal Junctio,33034,260,1,90628,90648,0.23,79.47,79.46,30,23,7947,7946,23 7946 7947 1 0 899 8 15
