npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
505,Rujawan,61955,260,1,7956,7980,73.74,0.01,0.0,30,7374,1,0,7374 0 1 2 3 7376 73 -2147476224
506,Perikia,61956,260,1,8084,8100,0.09,73.75,73.73,15,9,7375,7373,9 7373 7375 0 31 1 32 2
507,Heavy Iron Gate,61957,260,1,8220,8240,0.1,0.01,73.37,15,10,1,7337,10 7337 1 0 200 60 19 217
508,Runic Seal,61958,260,1,8652,8780,74.86,74.81,74.8,65,7486,7481,7480,7486 7480 7481 765 1124090624 1107369985 -2003 -1921
509,Runic Portal,61959,260,1,9564,9628,0.3,73.42,73.41,85,30,7342,7341,30 7341 7342 604 604053504 -2147385344 36012034 -2147348480
510,Heavy Iron Gate,61960,260,1,10248,10268,0.1,0.01,73.37,15,10,1,7337,10 7337 1 0 200 60 19 217
511,Runic Seal,61961,260,1,10680,10808,74.86,74.81,74.8,65,7486,7481,7480,7486 7480 7481 765 1124090624 1107369985 -2003 -1921
512,Runic Portal,61962,260,1,11592,11656,0.3,73.45,73.41,85,30,7345,7341,30 7341 7345 604 604053504 -2147385344 36012034 -2147348480
514,Door_277,61964,260,5,12320,12500,73.52,21.85,73.53,30,7352,2185,7353,7352 7353 2185 1 7354 4 200 0
515,Door_278,61965,260,5,12364,12500,73.52,21.85,73.53,30,7352,2185,7353,7352 7353 2185 1 7354 4 200 0
516,Door_279,61966,260,5,12408,12556,73.57,2.4,1.8,70,7357,240,180,7357 180 240 13 320468 -702003 3999 3072
517,Tyamah,61967,260,7,12452,12556,73.57,2.4,1.8,70,7357,240,180,7357 180 240 13 320468 -702003 3999 3072
518,Nasheefa,61968,260,7,13080,13184,73.57,2.4,1.8,90,7357,240,180,7357 180 240 13 -440998 -737897 3999 1024
519,Nuimahn,61969,260,7,13700,13804,73.57,2.4,1.8,90,7357,240,180,7357 180 240 13 -381991 -280931 -380000 -281000
520,Kwadaaf,61970,260,7,14320,14424,73.57,2.4,1.8,90,7357,240,180,7357 180 240 13 -638966 -262392 15999 3072
521,Engraved Tablet,61971,260,1,57100,57156,-120.0,80.7,10.24,90,-12000,8070,1024,-12000 1024 8070 126 604053504 -2147385344 36012034 -2147348480
522,Engraved Tablet,61972,260,1,57300,57316,0.07,0.01,80.72,50,7,1,8072,7 8072 1 0 761347 645707 -8220 763
524,Ramblix,61975,260,2,14948,15072,74.06,0.6,2.0,70,7406,60,200,7406 200 60 485 1107369984 -266469342 1249902591 2147483632
527,???,61978,260,65,15576,15640,0.15,0.2,10.21,70,15,20,1021,15 1021 20 15 172079 -386427 -16000 2137
534,Razfahd,61985,260,244,42896,43012,-147.7,0.2,25.26,90,-14770,20,2526,-14770 2526 20 13 179849 -383654 -15403 179882
535,Mnejing,61986,260,218,16379,16531,1359.36,0.0,48.64,40,135936,0,4864,135936 4864 0 3840 7680 66304 65280 2304
537,Aphmau,61988,260,184,45640,45732,102.79,-220.0,195.2,90,10279,-22000,19520,10279 19520 -22000 122 188082 -383926 -15320 2048
539,Luzaf,61990,260,183,46148,46296,16.75,-157.8,19.2,50,1675,-15780,1920,1675 1920 -15780 13 88 13699 156 2228224
540,Flit,61991,260,32,16275,16439,-2.56,327.68,12.79,10,-256,32768,1279,-256 1279 32768 3840 0 256 5632 1811939328
541,Raubahn,61992,260,30,46676,46760,-153.12,0.05,3.55,35,-15312,5,355,-15312 355 5 2 10 9 70 140
542,Whafael,61993,260,27,47128,47220,-152.76,0.7,36.59,90,-15276,70,3659,-15276 3659 70 13 179849 -383654 -15403 181219
543,Amkeen,61994,260,31,47456,47548,-151.93,0.68,27.29,90,-15193,68,2729,-15193 2729 68 13 180135 -383178 -15363 180743
548,Nashmeira,61999,260,96,16399,16531,1359.36,0.0,48.64,40,135936,0,4864,135936 4864 0 3840 7680 66304 65280 2304
552,Nahshib,62003,260,96,53436,53520,74.4,74.41,74.65,30,7440,7441,7465,7440 7465 7441 90 7442 7443 7466 7467
553,Nareema,62004,260,100,54344,54412,75.17,0.01,75.18,30,7517,1,7518,7517 7518 1 50 7521 7519 7520 7522
554,???,62005,260,1,54964,55068,73.65,73.69,73.67,45,7365,7369,7367,7365 7367 7369 85 -261209600 8388607 -1009280 151224319
555,Logging Point,62006,260,1,55028,55068,73.65,73.69,73.67,45,7365,7369,7367,7365 7367 7369 85 -261209600 8388607 -1009280 151224319
562,???,62013,260,11,55172,55244,62.95,1.2,19.02,50,6295,120,1902,6295 1902 120 51 3604480 41943424 8389504 92275767
563,???,62014,260,3,56804,56828,782.66,14.02,-318.64,90,78266,1402,-31864,78266 -31864 1402 11 -2147469568 -2147319807 -16744445 17101380
568,???,62019,260,6,57072,57156,-120.0,80.7,10.24,90,-12000,8070,1024,-12000 1024 8070 126 604053504 -2147385344 36012034 -2147348480
569,Liliroon,62020,260,66,57048,57156,-120.0,80.7,10.24,90,-12000,8070,1024,-12000 1024 8070 126 604053504 -2147385344 36012034 -2147348480
570,Dashahan,62021,260,59,56976,57156,-120.0,80.7,10.24,90,-12000,8070,1024,-12000 1024 8070 126 604053504 -2147385344 36012034 -2147348480
573,???,62024,260,1,57428,57500,0.45,0.06,77.13,30,45,6,7713,45 7713 6 20 3 7714 7715 90
574,Ahgdeen,62025,260,269,67788,67912,37.38,2.4,0.0,70,3738,240,0,3738 0 240 6 289760 -500042 3333 281425
575,Basweema,62026,260,124,67784,67912,37.38,2.4,0.0,70,3738,240,0,3738 0 240 6 289760 -500042 3333 281425
576,Ahgdeen,62027,260,31,67836,67912,37.38,2.4,0.0,70,3738,240,0,3738 0 240 6 289760 -500042 3333 281425
577,Basweema,62028,260,34,68156,68232,37.38,2.4,0.0,70,3738,240,0,3738 0 240 6 289760 -500042 3333 281425
