npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
742,???,8936,261,1,56120,56172,78.97,78.98,78.99,25,7897,7898,7899,7897 7899 7898 215 771825664 1853882424 2147483632 -258375679
746,Rainemard,8940,261,1,42344,42368,0.01,0.02,77.97,30,1,2,7797,1 7797 2 3 7794 7795 7796 238
747,Treasure Coffer,8942,261,1,201404,201436,86.15,0.86,0.01,65,8615,86,1,8615 1 86 768 16977922 51380992 268697602 83886851
771,Dimensional Port,8981,261,1,40160,40336,28.43,0.02,70.91,65,2843,2,7091,2843 7091 2 1085 1208033280 52658176 -2147414014 58720804
772,Shattered Telepo,8982,261,1,40224,40336,28.43,0.02,70.91,65,2843,2,7091,2843 7091 2 1085 1208033280 52658176 -2147414014 58720804
773,_2a0,8983,261,1,156556,156624,80.37,0.0,2.0,35,8037,0,200,8037 200 0 60 19 -144000 492824 1132
777,Wooden Gate,8987,261,1,41504,41520,0.07,0.01,77.39,15,7,1,7739,7 7739 1 0 200 60 19 217
782,Stone Monument,8992,261,1,9544,9576,77.7,77.72,77.71,65,7770,7772,7771,7770 7771 7772 27 -2147465216 -2147399645 -2147334109 -2147268573
783,"Roiloux, R.K.",8993,261,28,9620,9784,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
784,"Blazing Lizard,",8994,261,28,17692,17856,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
785,"Emmah Laali, M.C",8995,261,28,25764,25928,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
790,"Larkin, C.A.",9000,261,1,33836,33856,1.23,0.04,74.91,30,123,4,7491,123 7491 4 0 7504 1 7505 2
791,Cavernous Maw,9001,261,2,40252,40336,28.43,0.02,70.91,65,2843,2,7091,2843 7091 2 1085 1208033280 52658176 -2147414014 58720804
