offset,token
897,fdo1
922,main
976,whi1
996,fdo1
1013,fdo1F
1089,s201
1109,fdi1
1126,fdi1
1154,s201E
1169,s202
1186,fum0+
1209,fum1R
1224,s202E
1239,s203
1274,fdo1
1291,fdo1R
1306,s203F
1326,fdi1
1346,fdo1
1363,fdo1F
1439,s204
1459,fdi1
1476,fdi1
1509,s204E
1524,s205
1541,hap0+
1564,fdo1
1581,fdo1R
1596,s205F
1616,fdi1
1713,sha0S
1726,sha0
1750,sha1S
1763,sha1
2041,tlk0
2065,tlk1
2315,fdo0
2332,fdo0
2410,fdi1
2531,fdo1
2548,fdo1F
2565,fdi2
3290,c083
3308,c083
5147,fdo1
5164,fdo1F
5216,z81b
5283,z82b
5350,z83b
5417,z84b
5551,z88b
5618,z89b
5685,z90b
5752,z91b
5886,z95b
5953,z96b
6020,z97b
6087,z98b
6263,fdi1
6280,fdi1
6597,fdo1
6614,fdo1N
6640,fdi2
11274,fdo1
13219,fdo1
13236,fdo1F
13288,z81b
13355,z82b
13422,z83b
13489,z84b
13623,z88b
13690,z89b
13757,z90b
13824,z91b
13958,z95b
14025,z96b
14092,z97b
14159,z98b
14335,fdi1
14352,fdi1
14669,fdo1
14686,fdo1N
14712,fdi2
19346,fdo1
21291,fdo1
21308,fdo1F
21360,z81b
21427,z82b
21494,z83b
21561,z84b
21695,z88b
21762,z89b
21829,z90b
21896,z91b
22030,z95b
22097,z96b
22164,z97b
22231,z98b
22407,fdi1
22424,fdi1
22741,fdo1
22758,fdo1N
22784,fdi2
27418,fdo1
32092,fdo1
33450,main
33518,main
33586,main
33654,main
33698,main
33729,fdo1
33860,tlk0
33894,tlk0
33934,hap0
33968,hap0
34004,hap0
36570,main
36590,who1
36607,who1
36625,fdo1
36642,fdo1E
36657,whi1
53687,z80a
53715,z81a
53743,z82a
53771,z83a
53799,z84a
53827,z87a
53855,z88a
53883,z89a
53911,z90a
53939,z91a
53967,z94a
53995,z95a
54023,z96a
54051,z97a
54079,z98a
54107,d64a
54135,d71a
54163,d75a
54553,z80b
54581,z81b
54609,z82b
54637,z83b
54665,z84b
54693,z87b
54721,z88b
54749,z89b
54777,z90b
54805,z91b
54833,z94b
54861,z95b
54889,z96b
54917,z97b
54945,z98b
54973,d64b
55001,d71b
55029,d75b
56005,fdi2
56027,fdi0
56044,fdi0
56060,fdo0
56077,fdo0
56093,fdi1
56110,fdi1
56126,fdo1
56143,fdo1
56159,whi1
56176,whi1
56192,who1
56209,who1
56225,who2
56242,who2
56258,who3
56275,who3
56291,main
56311,fdo1
56328,fdo1
56344,fdi1
56361,main
56381,fdi1
56397,blon
56414,blon
56432,whi0
56449,whi0
56465,who0
56482,who0
56498,efon
56515,efon
56531,fdis
56549,fdos
56566,fdos
56582,fdif
56600,fdof
56617,fdof
56633,fdip
56651,fdop
56668,fdop
58116,frst
58136,ok00
62304,frst
62324,ok00
66492,frst
66512,ok00
70680,frst
70700,ok00
86328,fd00
86361,fsh0E
86376,s000
86393,fdi2
86455,s000E
86470,s080
86492,se03
86509,hap0+33
86540,s080E
86555,s081
86595,s157
86685,s158
86736,tla1n
86790,s159
86836,tha1
86890,s160
86971,s183
86988,tlk1+33
87059,s161
87140,s162
87157,tlk0+33
87210,s163
87305,s164
87356,s164E
87371,s003
87403,fsh1U
87418,s003E
87433,s004
87450,s004E
87465,s005
87513,s005E
87528,s006
87610,fd00R
87625,s006E
87640,s007
87657,tlk0+23
87695,s167
87735,tla1J33
87788,s168
87804,ov33
87821,ang0+33
87894,s170
87911,ang1
87929,tlk0J
87991,s169
88054,s171
88124,s172
88141,se03
88158,hap0+33
88226,fa00E
88241,s009
88273,hap1E
88288,s010
88372,s010E
88387,s026
88459,s026E
88474,s011
88499,s011E
88514,s012
88531,tlk0+23
88554,s012E
88569,s014
88597,s014E
